file	percent	reads	taxon_id	taxon_name
AttbisABBM1.plant.out	0.001655	2806	76956	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Rutaceae;Chorilaena;NA;
AttbisABBM1.plant.out	0.001569	2660	32390	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Cotesia;NA;
AttbisABBM1.plant.out	0.001273	2158	1578	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;NA;
AttbisABBM1.plant.out	0.001138	1930	1357	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;NA;
AttbisABBM1.plant.out	0.001062	1800	53845	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Caesalpinia;NA;
AttbisABBM1.plant.out	0.000979	1660	34569	Eukaryota;Mollusca;Cephalopoda;Teuthida;Loliginidae;Sepioteuthis;NA;
AttbisABBM1.plant.out	0.000557	945	131324	Eukaryota;Ascomycota;Dothideomycetes;Mycosphaerellales;Mycosphaerellaceae;Pseudocercospora;NA;
AttbisABBM1.plant.out	0.000508	861	1329971	Eukaryota;Foraminifera;NA;NA;NA;Arnoldiellina;NA;
AttbisABBM1.plant.out	0.000447	758	332217	Eukaryota;Chlorophyta;Chlorophyceae;Chlorosarcinales;Chlorosarcinaceae;Neochlorosarcina;NA;
AttbisABBM1.plant.out	0.000294	499	753400	Eukaryota;Arthropoda;Insecta;Lepidoptera;Gelechiidae;Pexicopia;NA;
AttbisABBM1.plant.out	0.000275	466	1663	Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Arthrobacter;NA;
AttbisABBM1.plant.out	0.000239	405	53614	Eukaryota;Annelida;Polychaeta;Terebellida;Ampharetidae;Amphisamytha;NA;
AttbisABBM1.plant.out	0.000222	376	7158	Eukaryota;Arthropoda;Insecta;Diptera;Culicidae;Aedes;NA;
AttbisABBM1.plant.out	0.000182	309	40568	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Campanulaceae;Campanula;NA;
AttbisABBM1.plant.out	0.000154	261	286	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;NA;
AttbisABBM1.plant.out	0.000150	255	29240	Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Gigartinaceae;Rhodoglossum;NA;
AttbisABBM1.plant.out	0.000124	210	1368982	Eukaryota;Arthropoda;Insecta;Lepidoptera;Tortricidae;Capnoptycha;NA;
AttbisABBM1.plant.out	0.000123	209	199019	Eukaryota;Arthropoda;Insecta;Lepidoptera;Gracillariidae;Phyllocnistis;NA;
AttbisABBM1.plant.out	0.000115	195	718228	Eukaryota;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae;Sporormiella;NA;
AttbisABBM1.plant.out	0.000103	175	1707	Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Cellulomonadaceae;Cellulomonas;NA;
AttbisABBM1.plant.out	0.000083	140	2905134	Eukaryota;Streptophyta;Magnoliopsida;Malpighiales;Clusiaceae;Arawakia;NA;
AttbisABBM1.plant.out	0.000082	139	863253	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Marinicella;NA;
AttbisABBM1.plant.out	0.000061	104	86795	Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae;Marmoricola;NA;
AttbisABBM1.plant.out	0.000061	103	92993	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Glyptapanteles;NA;
AttbisABBM1.plant.out	0.000060	102	123398	Eukaryota;Streptophyta;Magnoliopsida;Celastrales;Celastraceae;Campylostemon;NA;
AttbisABBM1.plant.out	0.000059	100	1386	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NA;
AttbisABBM1.plant.out	0.000058	98	28641	Eukaryota;Arthropoda;Insecta;Hymenoptera;Apidae;Bombus;NA;
AttbisABBM1.plant.out	0.000055	93	7150	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Chironomus;NA;
AttbisABBM1.plant.out	0.000054	92	1286463	Eukaryota;Mollusca;Gastropoda;Neogastropoda;Raphitomidae;Famelica;NA;
AttbisABBM1.plant.out	0.000047	80	47251	Bacteria;Cyanobacteria;NA;Pseudanabaenales;Leptolyngbyaceae;Leptolyngbya;NA;
AttbisABBM1.plant.out	0.000042	71	1497577	Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Waldoia;NA;
AttbisABBM1.plant.out	0.000041	69	1844866	Eukaryota;Arthropoda;Malacostraca;Decapoda;Calappidae;Cryptosoma;NA;
AttbisABBM1.plant.out	0.000037	63	13398	Eukaryota;Streptophyta;Magnoliopsida;Poales;Cyperaceae;Carex;NA;
AttbisABBM1.plant.out	0.000037	62	1499639	Eukaryota;Streptophyta;Magnoliopsida;Myrtales;Melastomataceae;Pleroma;NA;
AttbisABBM1.plant.out	0.000036	61	1279001	Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Paratendipes;NA;
AttbisABBM1.plant.out	0.000034	58	71590	Eukaryota;Ciliophora;Litostomatea;Entodiniomorphida;Cycloposthiidae;Cycloposthium;NA;
AttbisABBM1.plant.out	0.000034	57	34453	Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Hymenogastraceae;Hebeloma;NA;
AttbisABBM1.plant.out	0.000034	57	217161	Bacteria;Cyanobacteria;NA;Synechococcales;Chamaesiphonaceae;Chamaesiphon;NA;
AttbisABBM1.plant.out	0.000033	56	36165	Eukaryota;Arthropoda;Insecta;Diptera;Phoridae;Megaselia;NA;
AttbisABBM1.plant.out	0.000033	56	1405157	Eukaryota;Arthropoda;Arachnida;Araneae;Linyphiidae;Semljicola;NA;
AttbisABBM1.plant.out	0.000032	55	629	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;NA;
AttbisABBM1.plant.out	0.000032	54	1111199	Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Pyroglyphidae;Hirstia;NA;
AttbisABBM1.plant.out	0.000031	52	56534	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Pulicaria;NA;
AttbisABBM1.plant.out	0.000031	52	388983	Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Peliperdix;NA;
AttbisABBM1.plant.out	0.000030	51	91053	Eukaryota;NA;Phaeophyceae;Sphacelariales;Stypocaulaceae;Halopteris;NA;
AttbisABBM1.plant.out	0.000030	51	1300321	Eukaryota;Ascomycota;Lecanoromycetes;Peltigerales;Lobariaceae;Yoshimuriella;NA;
AttbisABBM1.plant.out	0.000028	47	2013	Bacteria;Actinobacteria;Actinomycetia;Streptosporangiales;Nocardiopsaceae;Nocardiopsis;NA;
AttbisABBM1.plant.out	0.000025	43	173908	Eukaryota;Streptophyta;Polypodiopsida;Polypodiales;Thelypteridaceae;Macrothelypteris;NA;
AttbisABBM1.plant.out	0.000025	43	537982	Eukaryota;Arthropoda;Insecta;Hymenoptera;Pompilidae;Ageniella;NA;
AttbisABBM1.plant.out	0.000025	42	1290002	Eukaryota;Mollusca;Gastropoda;Stylommatophora;Clausiliidae;Boettgeria;NA;
AttbisABBM1.plant.out	0.000024	41	1883	Bacteria;Actinobacteria;Actinomycetia;Streptomycetales;Streptomycetaceae;Streptomyces;NA;
AttbisABBM1.plant.out	0.000024	41	7403	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Apanteles;NA;
AttbisABBM1.plant.out	0.000023	39	46246	Eukaryota;Streptophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Delphinium;NA;
AttbisABBM1.plant.out	0.000022	37	375389	Eukaryota;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Ellisembia;NA;
AttbisABBM1.plant.out	0.000021	35	1253	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Pediococcus;NA;
AttbisABBM1.plant.out	0.000021	35	1763	Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium;NA;
AttbisABBM1.plant.out	0.000019	33	191938	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Mezoneuron;NA;
AttbisABBM1.plant.out	0.000017	28	507	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes;NA;
AttbisABBM1.plant.out	0.000015	26	5792	Eukaryota;Evosea;Eumycetozoa;Physariida;Didymiaceae;Didymium;NA;
AttbisABBM1.plant.out	0.000015	26	1890903	Eukaryota;Arthropoda;Insecta;Diptera;Phoridae;Trucidophora;NA;
AttbisABBM1.plant.out	0.000015	25	6639	Eukaryota;Mollusca;Cephalopoda;Octopoda;Octopodidae;Eledone;NA;
AttbisABBM1.plant.out	0.000014	24	1085959	Eukaryota;Arthropoda;Insecta;Diptera;Mycetophilidae;Sciophila;NA;
AttbisABBM1.plant.out	0.000012	21	469	Bacteria;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;NA;
AttbisABBM1.plant.out	0.000012	21	155862	Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus;NA;
AttbisABBM1.plant.out	0.000011	19	222	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;NA;
AttbisABBM1.plant.out	0.000011	18	58754	Eukaryota;Arthropoda;Insecta;Hymenoptera;Braconidae;Phaenocarpa;NA;
AttbisABBM1.plant.out	0.000010	17	99107	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tripleurospermum;NA;
AttbisABBM1.plant.out	0.000010	17	1101120	Eukaryota;Arthropoda;Insecta;Lepidoptera;Pyralidae;Matilella;NA;
AttbisABBM1.plant.out	0.000009	16	7201	Eukaryota;Arthropoda;Insecta;Diptera;Psychodidae;Psychoda;NA;
AttbisABBM1.plant.out	0.000009	16	108626	Eukaryota;Arthropoda;Insecta;Hymenoptera;Eulophidae;Aprostocetus;NA;
AttbisABBM1.plant.out	0.000009	15	7191	Eukaryota;Arthropoda;Insecta;Diptera;Simuliidae;Simulium;NA;
AttbisABBM1.plant.out	0.000008	14	1177	Bacteria;Cyanobacteria;NA;Nostocales;Nostocaceae;Nostoc;NA;
AttbisABBM1.plant.out	0.000008	14	5402	Eukaryota;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;NA;
AttbisABBM1.plant.out	0.000008	14	8565	Eukaryota;Chordata;Lepidosauria;Squamata;Gekkonidae;Gekko;NA;
AttbisABBM1.plant.out	0.000008	14	322641	Eukaryota;Arthropoda;Arachnida;Trombidiformes;Unionicolidae;Unionicola;NA;
AttbisABBM1.plant.out	0.000007	12	49237	Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;NA;
AttbisABBM1.plant.out	0.000007	12	401871	Eukaryota;Arthropoda;Insecta;Hymenoptera;Mymaridae;Anagrus;NA;
AttbisABBM1.plant.out	0.000007	12	610116	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aliihoeflea;NA;
AttbisABBM1.plant.out	0.000006	11	1279	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;NA;
AttbisABBM1.plant.out	0.000006	11	4119	Eukaryota;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;Ipomoea;NA;
