file	percent	reads	taxon_id	taxon_name
AttbisABBM1.out	45.576382	77281697	53335	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;NA;
AttbisABBM1.out	4.191630	7107548	286	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;NA;
AttbisABBM1.out	0.686610	1164252	34433	Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Leucoagaricus;NA;
AttbisABBM1.out	0.202013	342543	5340	Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus;NA;
AttbisABBM1.out	0.149987	254326	570	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;NA;
AttbisABBM1.out	0.141756	240369	551	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;NA;
AttbisABBM1.out	0.139803	237057	613	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;NA;
AttbisABBM1.out	0.138738	235252	547	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;NA;
AttbisABBM1.out	0.112482	190730	34435	Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Macrolepiota;NA;
AttbisABBM1.out	0.109952	186441	561	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;NA;
AttbisABBM1.out	0.080517	136528	32008	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;NA;
AttbisABBM1.out	0.073632	124854	71927	Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Lyophyllaceae;Termitomyces;NA;
AttbisABBM1.out	0.057203	96997	590	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;NA;
AttbisABBM1.out	0.050705	85978	413496	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter;NA;
AttbisABBM1.out	0.048382	82039	2716544	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Chimaeribacter;NA;
AttbisABBM1.out	0.039840	67554	41955	Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita;NA;
AttbisABBM1.out	0.034384	58304	629	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;NA;
AttbisABBM1.out	0.030075	50996	5314	Eukaryota;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Ganoderma;NA;
AttbisABBM1.out	0.027649	46883	544	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;NA;
AttbisABBM1.out	0.026043	44160	237	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;NA;
AttbisABBM1.out	0.025676	43537	662	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;NA;
