file	percent	reads	taxon_id	taxon_name
AttbisABBM2_FD.out	2.203924	3526224	5339	Agaricaceae
AttbisABBM2_FD.out	0.296650	474633	110618	Nectriaceae
AttbisABBM2_FD.out	0.251831	402923	2028214	Dacryobolaceae
AttbisABBM2_FD.out	0.233994	374385	104366	Pleurotaceae
AttbisABBM2_FD.out	0.230752	369198	184208	Psathyrellaceae
AttbisABBM2_FD.out	0.200637	321015	40562	Strophariaceae
AttbisABBM2_FD.out	0.192468	307944	5351	Tricholomataceae
AttbisABBM2_FD.out	0.130838	209337	227336	Suillaceae
AttbisABBM2_FD.out	0.127910	204653	5250	Ceratobasidiaceae
AttbisABBM2_FD.out	0.126013	201618	389951	Serpulaceae
AttbisABBM2_FD.out	0.123568	197706	40420	Bondarzewiaceae
AttbisABBM2_FD.out	0.105478	168763	862241	Physalacriaceae
AttbisABBM2_FD.out	0.101517	162425	5317	Polyporaceae
AttbisABBM2_FD.out	0.095388	152618	40465	Sparassidaceae
AttbisABBM2_FD.out	0.091369	146188	72117	Omphalotaceae
AttbisABBM2_FD.out	0.091188	145898	654128	Marasmiaceae
AttbisABBM2_FD.out	0.083584	133732	2024004	Mycenaceae
AttbisABBM2_FD.out	0.077761	124416	1131492	Aspergillaceae
AttbisABBM2_FD.out	0.072809	116492	452340	Gloeophyllaceae
AttbisABBM2_FD.out	0.069389	111021	5332	Schizophyllaceae
AttbisABBM2_FD.out	0.057345	91750	908827	Punctulariaceae
AttbisABBM2_FD.out	0.056743	90788	1769247	Fomitopsidaceae
AttbisABBM2_FD.out	0.048579	77725	80634	Coniophoraceae
AttbisABBM2_FD.out	0.048211	77136	103376	Stereaceae
AttbisABBM2_FD.out	0.044849	71758	396331	Phanerochaetaceae
AttbisABBM2_FD.out	0.036629	58605	40424	Hymenochaetaceae
AttbisABBM2_FD.out	0.034149	54637	2028212	Laetiporaceae
AttbisABBM2_FD.out	0.030867	49387	378192	Epitheliaceae
AttbisABBM2_FD.out	0.028773	46036	1156497	Pichiaceae
AttbisABBM2_FD.out	0.026029	41646	28983	Sclerotiniaceae
AttbisABBM2_FD.out	0.025240	40383	28556	Pleosporaceae
AttbisABBM2_FD.out	0.025162	40259	5192	Morchellaceae
AttbisABBM2_FD.out	0.020897	33434	1884633	Cryptococcaceae
AttbisABBM2_FD.out	0.020671	33073	5268	Ustilaginaceae
AttbisABBM2_FD.out	0.019800	31679	4893	Saccharomycetaceae
AttbisABBM2_FD.out	0.019796	31673	766764	Debaryomycetaceae
AttbisABBM2_FD.out	0.018769	30030	43219	Herpotrichiellaceae
AttbisABBM2_FD.out	0.018188	29101	28568	Trichocomaceae
AttbisABBM2_FD.out	0.016626	26601	1759442	Trichosporonaceae
AttbisABBM2_FD.out	0.014721	23554	57201	Cantharellaceae
AttbisABBM2_FD.out	0.014319	22910	4894	Schizosaccharomycetaceae
AttbisABBM2_FD.out	0.013479	21566	146292	Verrucariaceae
AttbisABBM2_FD.out	0.013303	21285	93133	Mycosphaerellaceae
AttbisABBM2_FD.out	0.012868	20589	5254	Dacrymycetaceae
AttbisABBM2_FD.out	0.011866	18985	1450293	Aplosporellaceae
AttbisABBM2_FD.out	0.011620	18592	286113	Synchytriaceae
AttbisABBM2_FD.out	0.011168	17868	474942	Ophiocordycipitaceae
AttbisABBM2_FD.out	0.011005	17608	165795	Mixiaceae
AttbisABBM2_FD.out	0.010975	17560	27319	Metschnikowiaceae
AttbisABBM2_FD.out	0.010836	17338	34479	Spizellomycetaceae
AttbisABBM2_FD.out	0.010818	17309	742845	Malasseziaceae
AttbisABBM2_FD.out	0.010766	17225	47021	Orbiliaceae
AttbisABBM2_FD.out	0.010021	16034	410830	Trichomonascaceae
AttbisABBM2_FD.out	0.009984	15974	5148	Sordariaceae
AttbisABBM2_FD.out	0.009522	15235	681950	Glomerellaceae
AttbisABBM2_FD.out	0.009027	14443	1344955	Rhizopodaceae
AttbisABBM2_FD.out	0.008900	14239	431959	Wallemiaceae
AttbisABBM2_FD.out	0.008767	14027	4854	Mortierellaceae
AttbisABBM2_FD.out	0.008343	13349	1799696	Sporidiobolaceae
AttbisABBM2_FD.out	0.007972	12755	36751	Glomeraceae
AttbisABBM2_FD.out	0.007721	12353	742847	Ceraceosoraceae
AttbisABBM2_FD.out	0.007681	12290	1344966	Phycomycetaceae
AttbisABBM2_FD.out	0.007413	11860	1033978	Plectosphaerellaceae
AttbisABBM2_FD.out	0.006744	10790	4862	Kickxellaceae
AttbisABBM2_FD.out	0.005651	9042	45131	Botryosphaeriaceae
AttbisABBM2_FD.out	0.005191	8306	221670	Cucurbitariaceae
AttbisABBM2_FD.out	0.005064	8103	5259	Melampsoraceae
AttbisABBM2_FD.out	0.005030	8048	5262	Pucciniaceae
AttbisABBM2_FD.out	0.004830	7728	40289	Tuberaceae
AttbisABBM2_FD.out	0.004647	7435	5129	Hypocreaceae
AttbisABBM2_FD.out	0.004564	7302	34353	Dipodascaceae
AttbisABBM2_FD.out	0.004464	7143	683158	Didymellaceae
AttbisABBM2_FD.out	0.004418	7068	5408	Filobasidiaceae
AttbisABBM2_FD.out	0.004409	7054	62920	Cryptobasidiaceae
AttbisABBM2_FD.out	0.004361	6978	44277	Ascoideaceae
AttbisABBM2_FD.out	0.004311	6898	34397	Clavicipitaceae
AttbisABBM2_FD.out	0.003850	6160	115784	Phaffomycetaceae
AttbisABBM2_FD.out	0.003725	5960	5215	Tremellaceae
AttbisABBM2_FD.out	0.003707	5931	35718	Chaetomiaceae
AttbisABBM2_FD.out	0.003694	5911	1910893	Cuniculitremaceae
AttbisABBM2_FD.out	0.003641	5826	190068	Brachybasidiaceae
AttbisABBM2_FD.out	0.003549	5678	34374	Leptosphaeriaceae
AttbisABBM2_FD.out	0.003513	5620	27330	Protomycetaceae
AttbisABBM2_FD.out	0.003450	5520	2589077	Lachnaceae
AttbisABBM2_FD.out	0.003374	5398	62919	Tilletiariaceae
AttbisABBM2_FD.out	0.003326	5321	56478	Ramalinaceae
AttbisABBM2_FD.out	0.003208	5133	44281	Pneumocystidaceae
AttbisABBM2_FD.out	0.002958	4732	474943	Cordycipitaceae
AttbisABBM2_FD.out	0.002853	4565	5152	Ophiostomataceae
AttbisABBM2_FD.out	0.002846	4554	668547	Teratosphaeriaceae
AttbisABBM2_FD.out	0.002730	4368	1812776	Sporocadaceae
AttbisABBM2_FD.out	0.002607	4171	2033035	Hypoxylaceae
AttbisABBM2_FD.out	0.002079	3326	34384	Arthrodermataceae
AttbisABBM2_FD.out	0.002063	3301	265081	Thyridiaceae
AttbisABBM2_FD.out	0.001978	3165	299071	Ajellomycetaceae
AttbisABBM2_FD.out	0.001761	2817	34379	Pseudeurotiaceae
AttbisABBM2_FD.out	0.001719	2751	1570301	Saccotheciaceae
AttbisABBM2_FD.out	0.001651	2641	81093	Magnaporthaceae
AttbisABBM2_FD.out	0.001573	2516	1756146	Togniniaceae
AttbisABBM2_FD.out	0.001466	2345	2528436	Pyriculariaceae
AttbisABBM2_FD.out	0.001454	2327	2609812	Podosporaceae
AttbisABBM2_FD.out	0.001384	2215	1111112	Sympoventuriaceae
AttbisABBM2_FD.out	0.001361	2177	5181	Helotiaceae
AttbisABBM2_FD.out	0.001350	2160	27974	Nosematidae
AttbisABBM2_FD.out	0.001301	2081	767018	Diaporthaceae
AttbisABBM2_FD.out	0.001269	2031	78060	Parmeliaceae
AttbisABBM2_FD.out	0.001231	1969	33184	Onygenaceae
AttbisABBM2_FD.out	0.001229	1967	2656784	Pleuroascaceae
AttbisABBM2_FD.out	0.001199	1919	221678	Didymosphaeriaceae
AttbisABBM2_FD.out	0.001156	1849	2755564	Mollisiaceae
AttbisABBM2_FD.out	0.001153	1844	152637	Acrospermaceae
AttbisABBM2_FD.out	0.001043	1668	744530	Dissoconiaceae
AttbisABBM2_FD.out	0.001043	1668	1217822	Xylonaceae
AttbisABBM2_FD.out	0.001042	1667	47743	Hyaloscyphaceae
AttbisABBM2_FD.out	0.001021	1634	103887	Bionectriaceae
AttbisABBM2_FD.out	0.001004	1606	281242	Mytilinidiaceae
AttbisABBM2_FD.out	0.000941	1506	1341112	Cyphellophoraceae
AttbisABBM2_FD.out	0.000878	1405	1208339	Trematosphaeriaceae
AttbisABBM2_FD.out	0.000868	1389	1682405	Microdochiaceae
AttbisABBM2_FD.out	0.000846	1353	241722	Eremomycetaceae
AttbisABBM2_FD.out	0.000838	1341	2907085	Amorphothecaceae
AttbisABBM2_FD.out	0.000824	1318	1131624	Thermoascaceae
AttbisABBM2_FD.out	0.000810	1296	37990	Xylariaceae
AttbisABBM2_FD.out	0.000801	1281	36734	Unikaryonidae
AttbisABBM2_FD.out	0.000782	1251	399129	Cryphonectriaceae
AttbisABBM2_FD.out	0.000721	1153	717954	Lindgomycetaceae
AttbisABBM2_FD.out	0.000719	1150	1812770	Pseudomassariaceae
AttbisABBM2_FD.out	0.000601	961	5593	Microascaceae
AttbisABBM2_FD.out	0.000476	762	34365	Saccharomycodaceae
AttbisABBM2_FD.out	0.000461	737	55176	Sporormiaceae
AttbisABBM2_FD.out	0.000414	663	2793945	Drepanopezizaceae
AttbisABBM2_FD.out	0.000386	617	5020	Phaeosphaeriaceae
AttbisABBM2_FD.out	0.000370	592	35232	Pleistophoridae
AttbisABBM2_FD.out	0.000273	437	548648	Dothidotthiaceae
AttbisABBM2_FD.out	0.000096	154	174683	Ordosporidae
AttbisABBM2_FD.out	0.000000	0	10239	Viruses
AttbisABBM2_FD.out	0.853971	1366332	NA	cannot be assigned to a (non-viral) family
AttbisABBM2_FD.out	93.226194	149159619	NA	unclassified
