file	percent	reads	taxon_id	taxon_name
AttcapACBM2.out	58.442451	122578564	53335	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;NA;
AttcapACBM2.out	0.666128	1397152	551	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;NA;
AttcapACBM2.out	0.585659	1228374	286	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;NA;
AttcapACBM2.out	0.440562	924046	34433	Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Leucoagaricus;NA;
AttcapACBM2.out	0.173389	363670	570	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;NA;
AttcapACBM2.out	0.126934	266235	547	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;NA;
AttcapACBM2.out	0.123532	259099	561	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;NA;
AttcapACBM2.out	0.113312	237663	5340	Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus;NA;
AttcapACBM2.out	0.077794	163168	613	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;NA;
AttcapACBM2.out	0.073848	154890	34435	Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Macrolepiota;NA;
AttcapACBM2.out	0.073492	154144	32008	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;NA;
AttcapACBM2.out	0.062198	130455	590	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;NA;
AttcapACBM2.out	0.048506	101737	71927	Eukaryota;Basidiomycota;Agaricomycetes;Agaricales;Lyophyllaceae;Termitomyces;NA;
AttcapACBM2.out	0.047608	99854	1357	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;NA;
AttcapACBM2.out	0.046707	97964	374	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Bradyrhizobiaceae;Bradyrhizobium;NA;
