file	percent	reads	taxon_id	taxon_name
AttcapACBM3_FD.out	0.297834	616086	5339	Agaricaceae
AttcapACBM3_FD.out	0.144167	298217	110618	Nectriaceae
AttcapACBM3_FD.out	0.104729	216637	1131492	Aspergillaceae
AttcapACBM3_FD.out	0.087163	180301	4893	Saccharomycetaceae
AttcapACBM3_FD.out	0.053503	110673	43219	Herpotrichiellaceae
AttcapACBM3_FD.out	0.048616	100564	34479	Spizellomycetaceae
AttcapACBM3_FD.out	0.044979	93041	1156497	Pichiaceae
AttcapACBM3_FD.out	0.040258	83275	286113	Synchytriaceae
AttcapACBM3_FD.out	0.038326	79280	184208	Psathyrellaceae
AttcapACBM3_FD.out	0.036998	76533	766764	Debaryomycetaceae
AttcapACBM3_FD.out	0.036366	75226	2028214	Dacryobolaceae
AttcapACBM3_FD.out	0.035831	74118	104366	Pleurotaceae
AttcapACBM3_FD.out	0.032179	66564	4854	Mortierellaceae
AttcapACBM3_FD.out	0.031800	65780	5351	Tricholomataceae
AttcapACBM3_FD.out	0.029656	61346	4862	Kickxellaceae
AttcapACBM3_FD.out	0.029187	60375	5148	Sordariaceae
AttcapACBM3_FD.out	0.028650	59264	40562	Strophariaceae
AttcapACBM3_FD.out	0.026171	54137	1344966	Phycomycetaceae
AttcapACBM3_FD.out	0.025895	53566	4894	Schizosaccharomycetaceae
AttcapACBM3_FD.out	0.025213	52154	5268	Ustilaginaceae
AttcapACBM3_FD.out	0.024462	50600	93133	Mycosphaerellaceae
AttcapACBM3_FD.out	0.023792	49216	1344955	Rhizopodaceae
AttcapACBM3_FD.out	0.023233	48058	681950	Glomerellaceae
AttcapACBM3_FD.out	0.022733	47025	28568	Trichocomaceae
AttcapACBM3_FD.out	0.022462	46463	742845	Malasseziaceae
AttcapACBM3_FD.out	0.021838	45173	227336	Suillaceae
AttcapACBM3_FD.out	0.021756	45004	1759442	Trichosporonaceae
AttcapACBM3_FD.out	0.021707	44903	1799696	Sporidiobolaceae
AttcapACBM3_FD.out	0.021560	44599	5250	Ceratobasidiaceae
AttcapACBM3_FD.out	0.020051	41477	5317	Polyporaceae
AttcapACBM3_FD.out	0.019984	41338	45131	Botryosphaeriaceae
AttcapACBM3_FD.out	0.019855	41072	2024004	Mycenaceae
AttcapACBM3_FD.out	0.019528	40394	908827	Punctulariaceae
AttcapACBM3_FD.out	0.019201	39719	40420	Bondarzewiaceae
AttcapACBM3_FD.out	0.018766	38819	36751	Glomeraceae
AttcapACBM3_FD.out	0.018335	37926	115784	Phaffomycetaceae
AttcapACBM3_FD.out	0.018302	37858	56478	Ramalinaceae
AttcapACBM3_FD.out	0.018043	37323	389951	Serpulaceae
AttcapACBM3_FD.out	0.017505	36210	72117	Omphalotaceae
AttcapACBM3_FD.out	0.016770	34690	1884633	Cryptococcaceae
AttcapACBM3_FD.out	0.016585	34307	5332	Schizophyllaceae
AttcapACBM3_FD.out	0.016322	33762	431959	Wallemiaceae
AttcapACBM3_FD.out	0.016233	33578	452340	Gloeophyllaceae
AttcapACBM3_FD.out	0.015951	32995	265081	Thyridiaceae
AttcapACBM3_FD.out	0.015923	32937	862241	Physalacriaceae
AttcapACBM3_FD.out	0.015399	31854	410830	Trichomonascaceae
AttcapACBM3_FD.out	0.015277	31602	28556	Pleosporaceae
AttcapACBM3_FD.out	0.015133	31304	668547	Teratosphaeriaceae
AttcapACBM3_FD.out	0.014778	30569	1769247	Fomitopsidaceae
AttcapACBM3_FD.out	0.013584	28099	35718	Chaetomiaceae
AttcapACBM3_FD.out	0.013125	27149	80634	Coniophoraceae
