file	percent	reads	taxon_id	taxon_name
AttlaeALBM2_FD.out	3.971746	7813436	5339	Agaricaceae
AttlaeALBM2_FD.out	0.415543	817478	184208	Psathyrellaceae
AttlaeALBM2_FD.out	0.406246	799190	40562	Strophariaceae
AttlaeALBM2_FD.out	0.398991	784917	5351	Tricholomataceae
AttlaeALBM2_FD.out	0.361069	710314	104366	Pleurotaceae
AttlaeALBM2_FD.out	0.286746	564103	227336	Suillaceae
AttlaeALBM2_FD.out	0.265174	521664	2028214	Dacryobolaceae
AttlaeALBM2_FD.out	0.229188	450872	862241	Physalacriaceae
AttlaeALBM2_FD.out	0.199123	391726	654128	Marasmiaceae
AttlaeALBM2_FD.out	0.195980	385543	389951	Serpulaceae
AttlaeALBM2_FD.out	0.191103	375948	72117	Omphalotaceae
AttlaeALBM2_FD.out	0.182127	358290	5317	Polyporaceae
AttlaeALBM2_FD.out	0.179715	353545	40465	Sparassidaceae
AttlaeALBM2_FD.out	0.178118	350404	40420	Bondarzewiaceae
AttlaeALBM2_FD.out	0.176158	346547	2024004	Mycenaceae
AttlaeALBM2_FD.out	0.154182	303316	452340	Gloeophyllaceae
AttlaeALBM2_FD.out	0.145754	286736	5332	Schizophyllaceae
AttlaeALBM2_FD.out	0.142486	280306	5250	Ceratobasidiaceae
AttlaeALBM2_FD.out	0.130735	257190	1131492	Aspergillaceae
AttlaeALBM2_FD.out	0.129644	255042	396331	Phanerochaetaceae
AttlaeALBM2_FD.out	0.118974	234053	908827	Punctulariaceae
AttlaeALBM2_FD.out	0.118946	233998	1769247	Fomitopsidaceae
AttlaeALBM2_FD.out	0.117312	230783	103376	Stereaceae
AttlaeALBM2_FD.out	0.100847	198391	80634	Coniophoraceae
AttlaeALBM2_FD.out	0.098538	193850	110618	Nectriaceae
AttlaeALBM2_FD.out	0.088866	174823	40424	Hymenochaetaceae
AttlaeALBM2_FD.out	0.073558	144708	2028212	Laetiporaceae
AttlaeALBM2_FD.out	0.067214	132227	378192	Epitheliaceae
AttlaeALBM2_FD.out	0.054635	107480	5192	Morchellaceae
