file	percent	reads	taxon_id	taxon_name
AttsexASBM2_FD.out	1.350797	2148397	5339	Agaricaceae
AttsexASBM2_FD.out	0.130830	208080	184208	Psathyrellaceae
AttsexASBM2_FD.out	0.127302	202469	40562	Strophariaceae
AttsexASBM2_FD.out	0.123911	197077	5351	Tricholomataceae
AttsexASBM2_FD.out	0.121445	193154	2028214	Dacryobolaceae
AttsexASBM2_FD.out	0.119671	190332	104366	Pleurotaceae
AttsexASBM2_FD.out	0.111946	178047	110618	Nectriaceae
AttsexASBM2_FD.out	0.085609	136159	227336	Suillaceae
AttsexASBM2_FD.out	0.085166	135453	389951	Serpulaceae
AttsexASBM2_FD.out	0.080837	128568	40420	Bondarzewiaceae
AttsexASBM2_FD.out	0.079113	125827	1131492	Aspergillaceae
AttsexASBM2_FD.out	0.078377	124656	5250	Ceratobasidiaceae
AttsexASBM2_FD.out	0.069221	110094	5317	Polyporaceae
AttsexASBM2_FD.out	0.067627	107559	862241	Physalacriaceae
AttsexASBM2_FD.out	0.062958	100132	40465	Sparassidaceae
AttsexASBM2_FD.out	0.059217	94182	654128	Marasmiaceae
AttsexASBM2_FD.out	0.058984	93812	72117	Omphalotaceae
AttsexASBM2_FD.out	0.055024	87514	2024004	Mycenaceae
AttsexASBM2_FD.out	0.050434	80213	452340	Gloeophyllaceae
AttsexASBM2_FD.out	0.047144	74981	5332	Schizophyllaceae
AttsexASBM2_FD.out	0.041488	65986	908827	Punctulariaceae
AttsexASBM2_FD.out	0.038008	60450	1769247	Fomitopsidaceae
AttsexASBM2_FD.out	0.035644	56690	4893	Saccharomycetaceae
AttsexASBM2_FD.out	0.033696	53592	103376	Stereaceae
AttsexASBM2_FD.out	0.032782	52138	80634	Coniophoraceae
AttsexASBM2_FD.out	0.031661	50355	396331	Phanerochaetaceae
AttsexASBM2_FD.out	0.027507	43749	286113	Synchytriaceae
AttsexASBM2_FD.out	0.025867	41140	40424	Hymenochaetaceae
AttsexASBM2_FD.out	0.025210	40096	1884633	Cryptococcaceae
AttsexASBM2_FD.out	0.023049	36659	2028212	Laetiporaceae
AttsexASBM2_FD.out	0.021101	33560	5192	Morchellaceae
AttsexASBM2_FD.out	0.020317	32313	378192	Epitheliaceae
AttsexASBM2_FD.out	0.020143	32036	1156497	Pichiaceae
AttsexASBM2_FD.out	0.019812	31511	766764	Debaryomycetaceae
AttsexASBM2_FD.out	0.019069	30328	681950	Glomerellaceae
AttsexASBM2_FD.out	0.018089	28770	43219	Herpotrichiellaceae
AttsexASBM2_FD.out	0.016322	25959	28568	Trichocomaceae
AttsexASBM2_FD.out	0.015567	24759	5268	Ustilaginaceae
AttsexASBM2_FD.out	0.014332	22794	34479	Spizellomycetaceae
AttsexASBM2_FD.out	0.014061	22364	1759442	Trichosporonaceae
AttsexASBM2_FD.out	0.013619	21661	4894	Schizosaccharomycetaceae
AttsexASBM2_FD.out	0.013122	20870	742845	Malasseziaceae
AttsexASBM2_FD.out	0.012730	20246	93133	Mycosphaerellaceae
AttsexASBM2_FD.out	0.012490	19865	28556	Pleosporaceae
AttsexASBM2_FD.out	0.011534	18345	4854	Mortierellaceae
AttsexASBM2_FD.out	0.011523	18327	36751	Glomeraceae
AttsexASBM2_FD.out	0.011342	18039	57201	Cantharellaceae
AttsexASBM2_FD.out	0.011212	17833	28983	Sclerotiniaceae
AttsexASBM2_FD.out	0.011016	17521	165795	Mixiaceae
AttsexASBM2_FD.out	0.010979	17461	27319	Metschnikowiaceae
AttsexASBM2_FD.out	0.010301	16384	431959	Wallemiaceae
AttsexASBM2_FD.out	0.010112	16083	5148	Sordariaceae
AttsexASBM2_FD.out	0.009977	15868	1344955	Rhizopodaceae
AttsexASBM2_FD.out	0.009857	15678	5129	Hypocreaceae
AttsexASBM2_FD.out	0.009642	15336	5254	Dacrymycetaceae
AttsexASBM2_FD.out	0.009154	14559	1344966	Phycomycetaceae
AttsexASBM2_FD.out	0.008867	14103	4862	Kickxellaceae
AttsexASBM2_FD.out	0.008421	13394	410830	Trichomonascaceae
AttsexASBM2_FD.out	0.008026	12765	742847	Ceraceosoraceae
AttsexASBM2_FD.out	0.007991	12709	1799696	Sporidiobolaceae
AttsexASBM2_FD.out	0.007183	11425	45131	Botryosphaeriaceae
AttsexASBM2_FD.out	0.007064	11235	474942	Ophiocordycipitaceae
AttsexASBM2_FD.out	0.006752	10739	683158	Didymellaceae
AttsexASBM2_FD.out	0.006661	10594	5259	Melampsoraceae
AttsexASBM2_FD.out	0.006560	10434	146292	Verrucariaceae
AttsexASBM2_FD.out	0.006556	10427	115784	Phaffomycetaceae
AttsexASBM2_FD.out	0.006313	10041	47021	Orbiliaceae
AttsexASBM2_FD.out	0.006033	9595	1450293	Aplosporellaceae
AttsexASBM2_FD.out	0.005539	8810	44281	Pneumocystidaceae
AttsexASBM2_FD.out	0.005384	8563	1033978	Plectosphaerellaceae
AttsexASBM2_FD.out	0.005253	8354	5262	Pucciniaceae
AttsexASBM2_FD.out	0.005046	8026	34353	Dipodascaceae
AttsexASBM2_FD.out	0.004973	7910	62920	Cryptobasidiaceae
AttsexASBM2_FD.out	0.004499	7156	668547	Teratosphaeriaceae
AttsexASBM2_FD.out	0.004165	6625	27330	Protomycetaceae
AttsexASBM2_FD.out	0.003912	6222	35718	Chaetomiaceae
AttsexASBM2_FD.out	0.003778	6009	44277	Ascoideaceae
AttsexASBM2_FD.out	0.003549	5645	2589077	Lachnaceae
AttsexASBM2_FD.out	0.003530	5614	56478	Ramalinaceae
AttsexASBM2_FD.out	0.003508	5579	5152	Ophiostomataceae
AttsexASBM2_FD.out	0.003482	5538	5408	Filobasidiaceae
AttsexASBM2_FD.out	0.003385	5384	190068	Brachybasidiaceae
AttsexASBM2_FD.out	0.003208	5102	34374	Leptosphaeriaceae
AttsexASBM2_FD.out	0.003203	5095	1910893	Cuniculitremaceae
AttsexASBM2_FD.out	0.003185	5066	2033035	Hypoxylaceae
AttsexASBM2_FD.out	0.003046	4845	62919	Tilletiariaceae
AttsexASBM2_FD.out	0.002988	4753	40289	Tuberaceae
AttsexASBM2_FD.out	0.002835	4509	5215	Tremellaceae
AttsexASBM2_FD.out	0.002723	4331	221670	Cucurbitariaceae
