file	percent	reads	taxon_id	taxon_name
AttsexASBM3.out	38.212742	78383678	441	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter;NA;
AttsexASBM3.out	12.373415	25380902	91914	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia;NA;
AttsexASBM3.out	6.923536	14201867	444052	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Tanticharoenia;NA;
AttsexASBM3.out	2.178841	4469335	320496	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Neoasaia;NA;
AttsexASBM3.out	1.079429	2214173	434	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;NA;
AttsexASBM3.out	0.489527	1004140	1434011	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Komagataeibacter;NA;
AttsexASBM3.out	0.459294	942124	286	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;NA;
AttsexASBM3.out	0.409921	840849	89583	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter;NA;
AttsexASBM3.out	0.294960	605035	53335	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;NA;
AttsexASBM3.out	0.255757	524621	153497	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Kozakia;NA;
AttsexASBM3.out	0.117822	241682	413496	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter;NA;
AttsexASBM3.out	0.113358	232526	13687	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;NA;
AttsexASBM3.out	0.106750	218970	442968	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Ameyamaea;NA;
