file	percent	reads	taxon_id	taxon_name
FG2.out	33.646229	4678553	5339	Agaricaceae
FG2.out	1.341519	186540	2028214	Dacryobolaceae
FG2.out	1.233286	171490	389951	Serpulaceae
FG2.out	0.950577	132179	104366	Pleurotaceae
FG2.out	0.939193	130596	40562	Strophariaceae
FG2.out	0.921645	128156	5351	Tricholomataceae
FG2.out	0.900653	125237	184208	Psathyrellaceae
FG2.out	0.800431	111301	103376	Stereaceae
FG2.out	0.721352	100305	862241	Physalacriaceae
FG2.out	0.684877	95233	227336	Suillaceae
FG2.out	0.659627	91722	654128	Marasmiaceae
FG2.out	0.501843	69782	5317	Polyporaceae
FG2.out	0.491372	68326	72117	Omphalotaceae
FG2.out	0.408475	56799	2024004	Mycenaceae
FG2.out	0.403218	56068	40420	Bondarzewiaceae
FG2.out	0.378249	52596	2589077	Lachnaceae
FG2.out	0.372639	51816	1131492	Aspergillaceae
FG2.out	0.359932	50049	452340	Gloeophyllaceae
FG2.out	0.345498	48042	40424	Hymenochaetaceae
FG2.out	0.335646	46672	5332	Schizophyllaceae
FG2.out	0.311957	43378	80634	Coniophoraceae
FG2.out	0.300385	41769	221670	Cucurbitariaceae
FG2.out	0.298372	41489	908827	Punctulariaceae
FG2.out	0.271763	37789	34374	Leptosphaeriaceae
FG2.out	0.269555	37482	1769247	Fomitopsidaceae
FG2.out	0.253043	35186	396331	Phanerochaetaceae
FG2.out	0.202422	28147	40465	Sparassidaceae
FG2.out	0.184687	25681	742847	Ceraceosoraceae
FG2.out	0.180041	25035	378192	Epitheliaceae
FG2.out	0.150585	20939	165795	Mixiaceae
FG2.out	0.144306	20066	2028212	Laetiporaceae
FG2.out	0.137920	19178	431959	Wallemiaceae
FG2.out	0.130937	18207	5250	Ceratobasidiaceae
FG2.out	0.122717	17064	28568	Trichocomaceae
FG2.out	0.095785	13319	35718	Chaetomiaceae
FG2.out	0.085479	11886	5254	Dacrymycetaceae
FG2.out	0.078309	10889	1884633	Cryptococcaceae
FG2.out	0.077871	10828	57201	Cantharellaceae
FG2.out	0.056555	7864	1759442	Trichosporonaceae
FG2.out	0.045300	6299	5129	Hypocreaceae
FG2.out	0.044724	6219	110618	Nectriaceae
FG2.out	0.041237	5734	5259	Melampsoraceae
FG2.out	0.039446	5485	43219	Herpotrichiellaceae
