ant,yeast,source,publication
Atta laevigata,Aureobasidium pullulans,Ant exoskeleton,Angelis et al 1983
Atta laevigata,Aureobasidium pullulans,Fungus Garden,Angelis et al 1983
Atta laevigata,Aureobasidium pullulans,Fungus pellet,Angelis et al 1983
Atta laevigata,Candida javanica (?),Ant exoskeleton,Angelis et al 1983
Atta laevigata,Candida javanica (?),Fungus Garden,Angelis et al 1983
Atta laevigata,Candida javanica (?),Fungus pellet,Angelis et al 1983
Atta laevigata,Candida membranifaciens,Ant exoskeleton,Angelis et al 1983
Atta laevigata,Candida membranifaciens,Fungus Garden,Angelis et al 1983
Atta laevigata,Candida membranifaciens,Fungus pellet,Angelis et al 1983
Atta laevigata,Candida parapsilosis,Ant exoskeleton,Angelis et al 1983
Atta laevigata,Candida parapsilosis,Fungus Garden,Angelis et al 1983
Atta laevigata,Candida parapsilosis,Fungus pellet,Angelis et al 1983
Atta laevigata,Lachancea thermotolerans (Torulopsis dattila),Ant exoskeleton,Angelis et al 1983
Atta laevigata,Lachancea thermotolerans (Torulopsis dattila),Fungus Garden,Angelis et al 1983
Atta laevigata,Lachancea thermotolerans (Torulopsis dattila),Fungus pellet,Angelis et al 1983
Atta laevigata,Papiliotrema laurentii (Cryptococcus laurentii),Ant exoskeleton,Angelis et al 1983
Atta laevigata,Papiliotrema laurentii (Cryptococcus laurentii),Fungus Garden,Angelis et al 1983
Atta laevigata,Papiliotrema laurentii (Cryptococcus laurentii),Fungus pellet,Angelis et al 1983
Atta laevigata,Rhodotorula glutinis,Ant exoskeleton,Angelis et al 1983
Atta laevigata,Rhodotorula glutinis,Fungus Garden,Angelis et al 1983
Atta laevigata,Rhodotorula glutinis,Fungus pellet,Angelis et al 1983
Atta laevigata,Starmerella etchellsii (Torulopsis etchellsii),Ant exoskeleton,Angelis et al 1983
Atta laevigata,Starmerella etchellsii (Torulopsis etchellsii),Fungus Garden,Angelis et al 1983
Atta laevigata,Starmerella etchellsii (Torulopsis etchellsii),Fungus pellet,Angelis et al 1983
Atta laevigata,Starmerella magnoliae (Torulopsis magnoliae),Ant exoskeleton,Angelis et al 1983
Atta laevigata,Starmerella magnoliae (Torulopsis magnoliae),Fungus Garden,Angelis et al 1983
Atta laevigata,Starmerella magnoliae (Torulopsis magnoliae),Fungus pellet,Angelis et al 1983
Atta sexdens,Apiotrichum mycotoxinovorans (Trichosporon mycotoxinovorans),Ant exoskeleton,Angelis et al 1983
Atta sexdens,Apiotrichum mycotoxinovorans (Trichosporon mycotoxinovorans),Fungus Garden,Angelis et al 1983
Atta sexdens,Apiotrichum mycotoxinovorans (Trichosporon mycotoxinovorans),Waste deposit,Angelis et al 1983
Atta sexdens,"Aureobasidium leucospermi
  Aureobasidium melanogenum (Aureobasidium pullulans var. melanogenum)",Ant exoskeleton,Angelis et al 1983
Atta sexdens,"Aureobasidium leucospermi
  Aureobasidium melanogenum (Aureobasidium pullulans var. melanogenum)",Fungus Garden,Angelis et al 1983
Atta sexdens,"Aureobasidium leucospermi
  Aureobasidium melanogenum (Aureobasidium pullulans var. melanogenum)",Waste deposit,Angelis et al 1983
Atta sexdens,Aureobasidium pullulans,Ant exoskeleton,Angelis et al 1983
Atta sexdens,Aureobasidium pullulans,Fungus Garden,Angelis et al 1983
