intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4300000,0.0019822044141387415,0.8484609313338595,0.0019822044141387415,0.0008598774592883113,5.26,5.0,3.1216915509920073,"GCA_002077695.1 Pantoea latae strain=AS1, ASM207769v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,243c9d03bc2a27f54bf2f8fe45c20dfc,0.8484609313338595,4300000,0,87485000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
3117000,0.0014368677113652225,0.46487695749440716,0.0014368677113652225,0.00019639786695036768,1.6573628488931664,1.0,5.174096519268067,"GCA_003096615.1 Methylobacterium organophilum strain=DSM 760, ASM309661v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,090d09e28d6c1474f5aa09ef474267c2,0.46487695749440716,3117000,1,84368000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
2639000,0.0012165203369563114,0.7085683588503895,0.0012160593591855813,0.00077224736185885,7.700151630022744,4.0,9.176266894772048,"GCA_011753235.1 Asaia sp. As-1742 strain=As-1742, ASM1175323v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,7b05b9a439745ff8addcac8d593ee208,0.7088369594413108,2638000,2,81730000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
2389000,0.0011012758942738263,0.6667600896860987,0.0010966661165665269,0.00023757070665366775,2.626733921815889,2.0,2.2377159625650287,"GCA_000963885.1 Tanticharoenia sakaeratensis NBRC 103193 strain=NBRC 103193, ASM96388v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,2505a7687e5aa3c1ee9492585f05ecc0,0.6695627802690582,2379000,3,79351000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
2220000,0.0010233706510204665,0.6674735249621785,0.0010169169622302474,0.00038123844556296695,4.545784224841341,4.0,4.445034298558687,"GCA_018256045.1 Gluconobacter wancherniae strain=Dm-15, ASM1825604v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,50b6964c749c3b75b745a8eeae1a7d04,0.6717095310136157,2206000,4,77145000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
2192000,0.001010463273440028,0.7081699346405229,0.0009989388291717796,0.0004963551201904763,6.024919243193355,6.0,4.375153994830427,"GCA_015244605.1 Gluconobacter sphaericus strain=LMG1414, ASM1524460v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,98baf15fe1bb09b596afeded74175d44,0.7163398692810458,2167000,5,74978000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
2101000,0.0009685142963036037,0.6391371340523883,0.0009560678964938953,0.00029406455688368063,3.7295081967213113,3.0,2.4007044629038954,"GCA_022453865.1 Gluconobacter frateurii strain=ML.ISBL3, ASM2245386v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,84b7d4bb2729f097c0edcd643e66da24,0.6474576271186441,2074000,6,72904000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
1390000,0.0006407591013146164,0.27021235145139294,0.0006393761680024266,9.899729878799021e-05,1.8774333093006488,1.0,2.0138603473469847,"GCA_007680725.1 Pseudomonas oryzihabitans strain=DE0011, ASM768072v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,eb7eea52f6d374bc55897353b7d26bda,0.2707968049873368,1387000,7,71517000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
1306000,0.0006020369685733014,0.35088253195374314,0.0005315073696516207,0.00013116001567533265,2.992194275802255,2.0,2.3723124198224617,"GCA_018256135.1 Gluconobacter sp. Dm-74 strain=Dm-74, ASM1825613v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,55ab0ae12ceb15c4ee4a1b3220255407,0.39744370054777844,1153000,8,70364000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
1131000,0.000521365858695562,0.1336186400380409,0.0005181390143004523,6.767096460930207e-05,1.583629893238434,1.0,1.6991568952971738,"GCA_018129525.1 Bradyrhizobium denitrificans strain=SZCCT0094, ASM1812952v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,55c12934700488d6173babf86a3be4a5,0.13445078459343796,1124000,9,69240000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
