intersect_bp,jaccard,max_containment,f_query_match,f_match_query,match_filename,match_name,match_md5,match_bp,query_filename,query_name,query_md5,query_bp
7860000,0.01927462664606783,0.08407316290512354,0.08407316290512354,0.024397814750434565,GCA_000382605.1.fna,,f8d0f4c8,93490000,1119573.scaffolds.fasta,,e2e810f2,322160000
30000,9.191739689931981e-05,0.007058823529411765,0.007058823529411765,9.312143034517011e-05,GCA_002928325.1.fna,,a79ac191,4250000,1119573.scaffolds.fasta,,e2e810f2,322160000
50000,0.00015276504735716468,0.009633911368015413,0.009633911368015413,0.00015520238390861685,GCA_002928355.1.fna,,faaad7ff,5190000,1119573.scaffolds.fasta,,e2e810f2,322160000
50000,0.00015264845061822624,0.009191176470588236,0.009191176470588236,0.00015520238390861685,GCA_002928365.1.fna,,491c7c35,5440000,1119573.scaffolds.fasta,,e2e810f2,322160000
50000,0.00015264379045060446,0.009174311926605505,0.009174311926605505,0.00015520238390861685,GCA_011752515.1.fna,,5ff02c7c,5450000,1119573.scaffolds.fasta,,e2e810f2,322160000
50000,0.00015276504735716468,0.009633911368015413,0.009633911368015413,0.00015520238390861685,GCA_011752575.1.fna,,faaad7ff,5190000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,3.0527826113502456e-05,0.0018450184501845018,0.0018450184501845018,3.104047678172337e-05,GCA_011752615.1.fna,,75037606,5420000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,3.0502684236212788e-05,0.0017574692442882249,0.0017574692442882249,3.104047678172337e-05,GCA_011752625.1.fna,,efd871c1,5690000,1119573.scaffolds.fasta,,e2e810f2,322160000
50000,0.00015277905093653558,0.009689922480620155,0.009689922480620155,0.00015520238390861685,GCA_011752635.1.fna,,dea459ea,5160000,1119573.scaffolds.fasta,,e2e810f2,322160000
20000,6.13101989515956e-05,0.004914004914004914,0.004914004914004914,6.208095356344674e-05,GCA_011752675.1.fna,,68400367,4070000,1119573.scaffolds.fasta,,e2e810f2,322160000
40000,0.00012201073694485115,0.006993006993006993,0.006993006993006993,0.00012416190712689348,GCA_011752685.1.fna,,5effad17,5720000,1119573.scaffolds.fasta,,e2e810f2,322160000
40000,0.00012206286237412267,0.007168458781362007,0.007168458781362007,0.00012416190712689348,GCA_011752715.1.fna,,3f9535a0,5580000,1119573.scaffolds.fasta,,e2e810f2,322160000
40000,0.00012206286237412267,0.007168458781362007,0.007168458781362007,0.00012416190712689348,GCA_011752735.1.fna,,3f9535a0,5580000,1119573.scaffolds.fasta,,e2e810f2,322160000
980000,0.0030050288237458605,0.19838056680161945,0.19838056680161945,0.00304196672460889,GCA_011752745.1.fna,,e9ee7271,4940000,1119573.scaffolds.fasta,,e2e810f2,322160000
30000,9.164222873900293e-05,0.0057361376673040155,0.0057361376673040155,9.312143034517011e-05,GCA_011752755.1.fna,,c2868438,5230000,1119573.scaffolds.fasta,,e2e810f2,322160000
100000,0.0003058665198507371,0.020491803278688523,0.020491803278688523,0.0003104047678172337,GCA_011752765.1.fna,,322a110d,4880000,1119573.scaffolds.fasta,,e2e810f2,322160000
20000,6.115272894052898e-05,0.004073319755600814,0.004073319755600814,6.208095356344674e-05,GCA_011752815.1.fna,,ff3e1930,4910000,1119573.scaffolds.fasta,,e2e810f2,322160000
20000,6.121449559255632e-05,0.004366812227074236,0.004366812227074236,6.208095356344674e-05,GCA_011752835.1.fna,,2a5f74a7,4580000,1119573.scaffolds.fasta,,e2e810f2,322160000
190000,0.0005816801371540534,0.04068522483940043,0.04068522483940043,0.0005897690588527439,GCA_011752845.1.fna,,04760ff8,4670000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,3.0579169469757204e-05,0.002053388090349076,0.002053388090349076,3.104047678172337e-05,GCA_011752855.1.fna,,f74384a2,4870000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,3.057823441274501e-05,0.0020491803278688526,0.0020491803278688526,3.104047678172337e-05,GCA_011752865.1.fna,,0a5d5582,4880000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,3.0284675953967292e-05,0.0012422360248447205,0.0012422360248447205,3.104047678172337e-05,GCA_011752985.1.fna,,2163b024,8050000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,3.027092477675193e-05,0.0012195121951219512,0.0012195121951219512,3.104047678172337e-05,GCA_011753035.1.fna,,f9a0dfd9,8200000,1119573.scaffolds.fasta,,e2e810f2,322160000
220000,0.0006661619984859955,0.026474127557160047,0.026474127557160047,0.0006828904891979141,GCA_011753045.1.fna,,7b878cd7,8310000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,3.0290179923668747e-05,0.0012515644555694619,0.0012515644555694619,3.104047678172337e-05,GCA_011753075.1.fna,,ed17eed3,7990000,1119573.scaffolds.fasta,,e2e810f2,322160000
260000,0.0007897454589636109,0.03551912568306011,0.03551912568306011,0.0008070523963248076,GCA_011753085.1.fna,,3017937e,7320000,1119573.scaffolds.fasta,,e2e810f2,322160000
220000,0.0006662225183211193,0.026570048309178744,0.026570048309178744,0.0006828904891979141,GCA_011753135.1.fna,,68009c3d,8280000,1119573.scaffolds.fasta,,e2e810f2,322160000
220000,0.0006662426940431846,0.026602176541717048,0.026602176541717048,0.0006828904891979141,GCA_011753145.1.fna,,6761aa32,8270000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,3.0296603750719543e-05,0.0012626262626262627,0.0012626262626262627,3.104047678172337e-05,GCA_011753155.1.fna,,96e91579,7920000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,3.0298439630359037e-05,0.0012658227848101266,0.0012658227848101266,3.104047678172337e-05,GCA_011753175.1.fna,,f7d1633b,7900000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,3.0484087306426047e-05,0.001697792869269949,0.001697792869269949,3.104047678172337e-05,GCA_011753195.1.fna,,90bbfc5c,5890000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,3.065040152025992e-05,0.0024330900243309003,0.0024330900243309003,3.104047678172337e-05,GCA_011753255.1.fna,,22677795,4110000,1119573.scaffolds.fasta,,e2e810f2,322160000
30000,9.025270758122743e-05,0.0029211295034079843,0.0029211295034079843,9.312143034517011e-05,GCA_011754595.1.fna,,e1e75b9f,10270000,1119573.scaffolds.fasta,,e2e810f2,322160000
12980000,0.029646209716099856,0.10089389817333852,0.10089389817333852,0.04029053886267693,GCA_022457215.1.fna,,61a8610e,128650000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,2.852090582396897e-05,0.00035124692658939234,0.00035124692658939234,3.104047678172337e-05,GCF_000002655.1_ASM265v1_genomic.fna,,da51220c,28470000,1119573.scaffolds.fasta,,e2e810f2,322160000
30000,9.155832265152902e-05,0.0054249547920434,0.0054249547920434,9.312143034517011e-05,GCF_009648975.1.fna,,23562a2a,5530000,1119573.scaffolds.fasta,,e2e810f2,322160000
4120000,0.012759368225456797,0.8477366255144033,0.8477366255144033,0.012788676434070027,GCF_011044475.1.fna,,0a3a4ba8,4860000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,2.721310583176858e-05,0.0002206531332744925,0.0002206531332744925,3.104047678172337e-05,GCF_900067095.1_F._proliferatum_ET1_version_1_genomic.fna,,30f69fb9,45320000,1119573.scaffolds.fasta,,e2e810f2,322160000
20000,5.694436535504812e-05,0.000687757909215956,0.000687757909215956,6.208095356344674e-05,ICBG2046.fna,,b78f627e,29080000,1119573.scaffolds.fasta,,e2e810f2,322160000
70000,0.00020007431331637464,0.0025197984161267097,0.0025197984161267097,0.00021728333747206356,ICBG2047.fna,,731bd216,27780000,1119573.scaffolds.fasta,,e2e810f2,322160000
10000,2.8731504094239332e-05,0.0003861003861003861,0.0003861003861003861,3.104047678172337e-05,ICBG2048.fna,,3b59f034,25900000,1119573.scaffolds.fasta,,e2e810f2,322160000
20000,5.7045065601825445e-05,0.0007027406886858749,0.0007027406886858749,6.208095356344674e-05,ICBG731.fna,,214eb090,28460000,1119573.scaffolds.fasta,,e2e810f2,322160000
