intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
2705000,0.0015108980152218087,0.008287656753138127,0.0015108980152218087,0.0008462404144307652,6.862107208872459,3.0,141.3891152451014,"GCA_003640505.1 Plasmopara halstedii, ASM364050v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,5905a6d59272b14945d51be7ae4ba091,0.008287656753138127,2705000,0,5806000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
2109000,0.0011779977501304231,0.005871496135655785,0.0008529172899237346,0.001579189834902881,22.684348395546824,4.0,109.85306569169663,"GCA_003640625.1 Plasmopara obducens strain=PA1-1, ASM364062v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,9c3e6b6322f38622fb32c9b943118532,0.008109355173607107,1527000,1,4279000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
512000,0.0002859814357832037,0.0015821129292551387,0.0002787201883902708,0.00015208803052155117,6.6853707414829655,1.0,27.57731355405277,"GCA_009731375.1 Paulinella micropora strain=MYN1, PmicroMYN1_1.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,55b86d1a457576dc7b722a939775d0b6,0.0016233303001575773,499000,2,3780000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
485000,0.00027090038350557384,0.0006741752855742493,0.00018823387472449151,0.0006447328919771513,41.96439169139466,1.0,502.5676846592895,"GCA_004523865.1 Nephromyces sp. ex Molgula occidentalis, ASM452386v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,ad6fc4de5b99575aa255510de485b129,0.0009702522655890531,337000,3,3443000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
421000,0.0002351527040326734,0.0015984614012966006,0.00014019793043278152,4.937390199485609e-05,4.314741035856573,1.0,24.264490102061025,"GCA_000413255.3 Physarum polycephalum strain=LU352, Physarum_polycephalum-10.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,200cb1bbde8cc7f8e754aeb27195d81f,0.0026810846611389195,251000,4,3192000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
257000,0.00014354927538336594,0.0040823699421965315,0.00012623399313867978,0.00029250503711818714,28.38938053097345,2.0,107.80057248015841,"GCA_900092245.1 Acytostelium leptosomum, ASM90009224v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,3e2ce51a8fb67a45fbb75ad2dcb7cff9,0.004642341040462428,226000,5,2966000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
358000,0.00019996358205153698,0.006148222000664672,0.00010333313597635291,0.00013417118519931805,15.908108108108108,1.0,182.3648472206915,"GCA_000004695.1 Dictyostelium discoideum AX4 strain=AX4, dicty_2.7",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,30cc1135c029092008016d4bab47b41d,0.011897640412097042,185000,6,2781000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
206000,0.00011506284330339838,0.002732951587714732,9.383765861636372e-05,0.00013316820658077066,17.386904761904763,1.0,121.77349805485075,"GCA_000252605.1 Pseudoperonospora cubensis, ASM25260v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,dfc0f3aeb81135e5b79bb7dde23e4ff0,0.003351119208745445,168000,7,2613000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
249000,0.00013908081544925337,0.010434224255558231,7.261247392932908e-05,2.3068508226590193e-05,3.8923076923076922,3.0,2.4845558459167885,"GCA_000344925.1 Entamoeba histolytica HM-1:IMSS-B strain=HM-1:IMSS-B, EHA_CB v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,d5ff84c245e8d00d84b5e41054a1fad8,0.019985552612569228,130000,8,2483000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
304000,0.00016980147749627721,0.00021355987495817085,7.093680145403686e-05,9.893016373853897e-06,1.7086614173228347,1.0,2.1991774991490223,"GCA_905221605.1 Symbiodinium natans, Snat_CCMP2548",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,3261c17d06e6b49255d90a885bed112b,0.0005111984408447554,127000,9,2356000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
157000,8.769352620695896e-05,0.0021795465856630455,7.093680145403686e-05,0.0006061182151630764,104.68503937007874,3.0,251.73482175662738,"GCA_000318465.2 Phytophthora lateralis MPF4 strain=MPF4, MPF4_v2.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,6326779a8412ca0bbcba967fdc89d7c2,0.0026944001098354185,127000,10,2229000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
318000,0.0001776212823809742,7.469284473034359e-05,5.473863419287884e-05,1.1534254113295097e-05,2.5816326530612246,1.0,7.764286988287127,"GCA_905237085.1 Polarella glacialis, Pgla_CCMP1383",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,0a11c405ad29bbf73087b69d861026b6,0.0002423706594311149,98000,11,2131000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
282000,0.00015751321267746767,0.0022944932162809258,5.1387289242294423e-05,6.063461648491098e-06,1.4456521739130435,1.0,1.136012576809424,"GCA_015252675.1 Dictyostelium gargantuum strain=MYA-3825, ASM1525267v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,3d03ae1ac15785882db120c7709d3a96,0.007033120510774142,92000,12,2039000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
124000,6.926112897874465e-05,0.0013362560807158729,4.971161676700221e-05,9.801836499440497e-06,2.4157303370786516,1.0,4.656296905385451,"GCA_000258005.2 Hammondia hammondi strain=H.H.34, HHA1 v02",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,c8bda741a45f3b4ab80122c5ada99cfe,0.0018617500450423398,89000,13,1950000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
118000,6.590978402816023e-05,0.001086481071242116,4.300892686583337e-05,8.589144169742277e-05,24.467532467532468,1.0,199.21701176613448,"GCA_000826325.1 Acanthamoeba palestinensis, Acanthamoeba palestinensis",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,cb71f4c616eba4168bcef6bc949d1002,0.0016649969663190868,77000,14,1873000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
134000,7.484670389638535e-05,0.002046843474955408,3.909902442348489e-05,0.0014621148761560752,458.15714285714284,1.0,1651.5648219250763,"GCA_900088545.1 Plasmodium ovale wallikeri, Pow2",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,e82289cca00b3bc955f9cf4aa98b6a39,0.0039182432234860665,70000,15,1803000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
141000,7.875660633873384e-05,0.0007495877267502874,3.3513449505844184e-05,7.499544670502148e-05,27.416666666666668,1.0,194.9757499166385,"GCA_015144965.1 Chromulinospumella sphaerica strain=JBC27, ASM1514496v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,792e49b1775670b0fb3f8a44fcc7d7a1,0.0017615311578631752,60000,16,1743000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
