intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4487000,0.0492438376610549,0.8553183377811666,0.0492438376610549,0.0492438376610549,,,,"GCA_022319725.1 Klebsiella aerogenes strain=CFSAN086770, PDT000569674.1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,3d727aa61e427e74451ab1d688a43731,0.8553183377811666,4487000,0,58150000,AttcolfgardenTop_FD_2029527005.a.fna,ACOFG987_contig02605,59d7bd57,91118000
3805000,0.04175903773129349,0.8190746398952422,0.04118834917359907,0.04118834917359907,,,,"GCA_000330845.1 Enterobacteriaceae bacterium strain FGI 57 strain=FGI 57, ASM33084v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,8aa7aae4817b9cea43e4118748cd82fc,0.8304233958969882,3753000,1,54397000,AttcolfgardenTop_FD_2029527005.a.fna,ACOFG987_contig02605,59d7bd57,91118000
3735000,0.04099080313439715,0.37699813161718915,0.03986040079896398,0.03986040079896398,,,,"GCA_900558945.1 Enterobacter kobei strain=2485STDY5438361, 9716_2#72",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,e81360c5be95c1ee9532fef08f1d1954,0.38768943325721406,3632000,2,50765000,AttcolfgardenTop_FD_2029527005.a.fna,ACOFG987_contig02605,59d7bd57,91118000
3061000,0.03359380144428104,0.5432167314454932,0.03221097916986764,0.03221097916986764,,,,"GCA_004353845.1 Citrobacter sp. LY-1 strain=LY-1, ASM435384v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,ec8cde88291bfceb4f881dfab719ccf1,0.5665371090135111,2935000,3,47830000,AttcolfgardenTop_FD_2029527005.a.fna,ACOFG987_contig02605,59d7bd57,91118000
2673000,0.029335586821484228,0.47098765432098766,0.025121271318510063,0.025121271318510063,,,,"GCA_004193715.1 Enterobacter cloacae strain=CZ-1, ASM419371v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,2d2368ce764a83513f74c8cbe957c250,0.55,2289000,4,45541000,AttcolfgardenTop_FD_2029527005.a.fna,ACOFG987_contig02605,59d7bd57,91118000
2171000,0.023826247283741962,0.30562209384246863,0.023804297723830636,0.023804297723830636,,,,"GCA_001941965.1 Pseudomonas putida strain=GM4FR, ASM194196v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,95ab129410972f50e4a8d6e71775c49e,0.30590390305763,2169000,5,43372000,AttcolfgardenTop_FD_2029527005.a.fna,ACOFG987_contig02605,59d7bd57,91118000
1946000,0.021356921793718037,0.3234724423313964,0.02016067077855089,0.02016067077855089,,,,"GCA_000511325.1 Pseudomonas sp. FGI182 strain=FGI182, ASM51132v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,b32752d3d235262af90e16fdcbab0bd2,0.3426659623173094,1837000,6,41535000,AttcolfgardenTop_FD_2029527005.a.fna,ACOFG987_contig02605,59d7bd57,91118000
2336000,0.025637085976426173,0.3633930409717933,0.019370486621743233,0.019370486621743233,,,,"GCA_022213245.1 Enterobacter mori strain=N8, ASM2221324v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,bc8c3c0c51de0f4b82bb0823811f753b,0.48095532221535925,1765000,7,39770000,AttcolfgardenTop_FD_2029527005.a.fna,ACOFG987_contig02605,59d7bd57,91118000
1536000,0.016857262011896662,0.28779739063699156,0.016462169933492834,0.016462169933492834,,,,"GCA_004009945.1 Pantoea dispersa strain=C34, ASM400994v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,bfa116a528e6c6b67237fee28d47a62b,0.29470452801227937,1500000,8,38270000,AttcolfgardenTop_FD_2029527005.a.fna,ACOFG987_contig02605,59d7bd57,91118000
1457000,0.015990254395399372,0.3693830921553694,0.01596830483548805,0.01596830483548805,,,,"GCA_008764415.1 Acinetobacter baumannii strain=DE0058, FS152",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,cb19e7dd9a843afc4e2f3353ff891695,0.3698908352373699,1455000,9,36815000,AttcolfgardenTop_FD_2029527005.a.fna,ACOFG987_contig02605,59d7bd57,91118000
