intersect_bp,jaccard,max_containment,f_query_match,f_match_query,match_filename,match_name,match_md5,match_bp,query_filename,query_name,query_md5,query_bp
8140000,0.010834120825735696,0.08706813562947908,0.08706813562947908,0.012222589266944953,GCA_000382605.1.fna,,f8d0f4c8,93490000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
50000,7.460682204780805e-05,0.011764705882352941,0.011764705882352941,7.507732964953903e-05,GCA_002928325.1.fna,,a79ac191,4250000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
40000,5.960097149583538e-05,0.007707129094412331,0.007707129094412331,6.006186371963122e-05,GCA_002928355.1.fna,,faaad7ff,5190000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
40000,5.9578778039262416e-05,0.007352941176470588,0.007352941176470588,6.006186371963122e-05,GCA_002928365.1.fna,,491c7c35,5440000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
40000,5.9577890644781724e-05,0.007339449541284404,0.007339449541284404,6.006186371963122e-05,GCA_011752515.1.fna,,5ff02c7c,5450000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
40000,5.960097149583538e-05,0.007707129094412331,0.007707129094412331,6.006186371963122e-05,GCA_011752575.1.fna,,faaad7ff,5190000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
10000,1.4894472661195431e-05,0.0018450184501845018,0.0018450184501845018,1.5015465929907804e-05,GCA_011752615.1.fna,,75037606,5420000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
30000,4.4666785778095405e-05,0.005272407732864675,0.005272407732864675,4.504639778972342e-05,GCA_011752625.1.fna,,efd871c1,5690000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
30000,4.4702060765001266e-05,0.005813953488372093,0.005813953488372093,4.504639778972342e-05,GCA_011752635.1.fna,,dea459ea,5160000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
50000,7.462686567164179e-05,0.012285012285012284,0.012285012285012284,7.507732964953903e-05,GCA_011752675.1.fna,,68400367,4070000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
40000,5.9553940982044485e-05,0.006993006993006993,0.006993006993006993,6.006186371963122e-05,GCA_011752685.1.fna,,5effad17,5720000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
2710000,0.0040517305823428275,0.48566308243727596,0.48566308243727596,0.004069191267005015,GCA_011752715.1.fna,,3f9535a0,5580000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
2710000,0.0040517305823428275,0.48566308243727596,0.48566308243727596,0.004069191267005015,GCA_011752735.1.fna,,3f9535a0,5580000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
660000,0.0009846925073851939,0.13360323886639677,0.13360323886639677,0.0009910207513739151,GCA_011752745.1.fna,,e9ee7271,4940000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
2670000,0.003993777485266401,0.5105162523900574,0.5105162523900574,0.0040091294032853836,GCA_011752755.1.fna,,c2868438,5230000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
110000,0.00016399552739470742,0.022540983606557378,0.022540983606557378,0.00016517012522898586,GCA_011752765.1.fna,,322a110d,4880000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
20000,2.981203511857737e-05,0.004073319755600814,0.004073319755600814,3.003093185981561e-05,GCA_011752815.1.fna,,ff3e1930,4910000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
20000,2.9826706833298535e-05,0.004366812227074236,0.004366812227074236,3.003093185981561e-05,GCA_011752835.1.fna,,2a5f74a7,4580000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
360000,0.000537080964955467,0.07708779443254818,0.07708779443254818,0.000540556773476681,GCA_011752845.1.fna,,04760ff8,4670000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
10000,1.4906684157176078e-05,0.002053388090349076,0.002053388090349076,1.5015465929907804e-05,GCA_011752855.1.fna,,f74384a2,4870000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
10000,1.490646195125587e-05,0.0020491803278688526,0.0020491803278688526,1.5015465929907804e-05,GCA_011752865.1.fna,,0a5d5582,4880000,11254.6.198438.TGACCA.fastq.gz.abundtrim,,631a46a7,665980000
