assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCA_002013975.2	PRJNA321657	SAMN05519344	MKYP00000000.2		representative genome		2709	2709	Citrus cavaleriei	cultivar=XJC		latest	Scaffold	Major	Full	2018/01/24	ASM201397v2	Huazhong Agriculture University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/013/975/GCA_002013975.2_ASM201397v2	./genbank/GCA_002013975.2_ASM201397v2_genomic.fna.gz
GCA_000317415.1	PRJNA86123	SAMN02981414	AJPS00000000.1		representative genome		2711	2711	Citrus sinensis	cultivar=Valencia		latest	Chromosome	Major	Full	2012/12/12	Csi_valencia_1.0	China sweet orange genome project	GCF_000317415.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/415/GCA_000317415.1_Csi_valencia_1.0	./genbank/GCA_000317415.1_Csi_valencia_1.0_genomic.fna.gz
GCA_000695605.1	PRJNA225968	SAMN02389851	JJOQ00000000.1		na		2711	2711	Citrus sinensis	cultivar=Ridge Pineapple sweet orange		latest	Scaffold	Major	Full	2014/05/30	Citrus_sinensis_v1.0	DOE-Joint Genome Institute	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/605/GCA_000695605.1_Citrus_sinensis_v1.0	./genbank/GCA_000695605.1_Citrus_sinensis_v1.0_genomic.fna.gz
GCA_018104345.1	PRJNA347609	SAMN05893359	MORK00000000.1		na		2711	2711	Citrus sinensis	cultivar=Valencia		latest	Scaffold	Major	Full	2021/04/20	ASM1810434v1	Huazhong Agriculture University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/104/345/GCA_018104345.1_ASM1810434v1	./genbank/GCA_018104345.1_ASM1810434v1_genomic.fna.gz
GCA_018105775.1	PRJNA347609	SAMN16516428	JAFBAU000000000.1		na		2711	2711	Citrus sinensis		HZAU_DHSO_2021	latest	Chromosome	Major	Full	2021/04/23	ASM1810577v1	Huazhong Agriculture University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/105/775/GCA_018105775.1_ASM1810577v1	./genbank/GCA_018105775.1_ASM1810577v1_genomic.fna.gz
GCA_019143665.1	PRJNA321100	SAMN07311581	JAFVMJ000000000.1		na		2711	2711	Citrus sinensis	cultivar=SO3		latest	Chromosome	Major	Full	2021/07/06	ASM1914366v1	Huazhong Agriculture University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/143/665/GCA_019143665.1_ASM1914366v1	./genbank/GCA_019143665.1_ASM1914366v1_genomic.fna.gz
GCA_019144155.1	PRJNA321100	SAMN07313349	JAFVMM000000000.1		na		2711	2711	Citrus sinensis	cultivar=TCPS1		latest	Chromosome	Major	Full	2021/07/06	ASM1914415v1	Huazhong Agriculture University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/144/155/GCA_019144155.1_ASM1914415v1	./genbank/GCA_019144155.1_ASM1914415v1_genomic.fna.gz
GCA_019144185.1	PRJNA321100	SAMN07313221	JAFVML000000000.1		na		2711	2711	Citrus sinensis	cultivar=NW		latest	Chromosome	Major	Full	2021/07/06	ASM1914418v1	Huazhong Agriculture University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/144/185/GCA_019144185.1_ASM1914418v1	./genbank/GCA_019144185.1_ASM1914418v1_genomic.fna.gz
GCA_019144195.1	PRJNA321100	SAMN05412752	JAFVMK000000000.1		na		2711	2711	Citrus sinensis	cultivar=NHE		latest	Chromosome	Major	Full	2021/07/06	ASM1914419v1	Huazhong Agriculture University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/144/195/GCA_019144195.1_ASM1914419v1	./genbank/GCA_019144195.1_ASM1914419v1_genomic.fna.gz
GCA_019144225.1	PRJNA321100	SAMN07311744	JAFVMN000000000.1		na		2711	2711	Citrus sinensis	cultivar=BT2		latest	Chromosome	Major	Full	2021/07/06	ASM1914422v1	Huazhong Agriculture University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/144/225/GCA_019144225.1_ASM1914422v1	./genbank/GCA_019144225.1_ASM1914422v1_genomic.fna.gz
GCA_019144245.1	PRJNA321100	SAMN07313355	JAFVMO000000000.1		na		2711	2711	Citrus sinensis	cultivar=UKXC		latest	Chromosome	Major	Full	2021/07/06	ASM1914424v1	Huazhong Agriculture University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/144/245/GCA_019144245.1_ASM1914424v1	./genbank/GCA_019144245.1_ASM1914424v1_genomic.fna.gz
GCA_022201045.1	PRJNA736174	SAMN19611724	JAHMIS000000000.1		na		2711	2711	Citrus sinensis	cultivar=Valencia sweet orange		latest	Chromosome	Major	Full	2022/02/11	DVS_A1.0	Clemson University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/201/045/GCA_022201045.1_DVS_A1.0	./genbank/GCA_022201045.1_DVS_A1.0_genomic.fna.gz
GCA_022201065.1	PRJNA736176	SAMN19611724	JAHMIT000000000.1		na		2711	2711	Citrus sinensis	cultivar=Valencia sweet orange		latest	Chromosome	Major	Full	2022/02/11	DVS_B1.0	Clemson University	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/201/065/GCA_022201065.1_DVS_B1.0	./genbank/GCA_022201065.1_DVS_B1.0_genomic.fna.gz
GCA_000350225.2	PRJEA78309	SAMEA2272275	CAKH00000000.1		representative genome		2769	2769	Chondrus crispus	strain=Stackhouse		latest	Scaffold	Major	Full	2013/05/22	ASM35022v2	Genoscope - Centre National de Sequencage	GCF_000350225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/225/GCA_000350225.2_ASM35022v2	./genbank/GCA_000350225.2_ASM35022v2_genomic.fna.gz
