intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4019000,0.0035220710022872866,0.012313527723054392,0.0035220710022872866,0.010644680024806286,53.92784274695198,24.0,82.29448011063637,"GCA_003640505.1 Plasmopara halstedii, ASM364050v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,5905a6d59272b14945d51be7ae4ba091,0.012313527723054392,4019000,0,5379000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1897000,0.001662445556441648,0.004833314107740224,0.001101578315470296,0.008140869916358106,131.86634844868735,25.0,369.7435645652564,"GCA_003640625.1 Plasmopara obducens strain=PA1-1, ASM364062v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,9c3e6b6322f38622fb32c9b943118532,0.007294190025762295,1257000,1,4122000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
634000,0.0005556091105872455,0.0019689221023395614,0.000544216494755015,0.00022626624499059943,7.418679549114332,2.0,52.2072721428827,"GCA_009731375.1 Paulinella micropora strain=MYN1, PmicroMYN1_1.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,55b86d1a457576dc7b722a939775d0b6,0.002010139473242,621000,2,3501000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
524000,0.00045921005354529444,0.00904985549132948,0.00043905388707288646,0.0009799140699050227,39.82435129740519,1.0,282.08742342918185,"GCA_900092245.1 Acytostelium leptosomum, ASM90009224v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,3e2ce51a8fb67a45fbb75ad2dcb7cff9,0.009465317919075145,501000,3,3000000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
543000,0.0004758607997616314,0.0006221617620581351,0.00027254642490951635,0.0013184539498095596,86.31832797427653,1.0,1297.4058751125744,"GCA_004523865.1 Nephromyces sp. ex Molgula occidentalis, ASM452386v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,ad6fc4de5b99575aa255510de485b129,0.0010862824334326926,311000,4,2689000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
286000,0.0002506375483090729,0.0071931927834147195,0.0002155833457483634,0.0026922588998588427,222.83333333333334,2.0,1479.6771211285682,"GCA_900088545.1 Plasmodium ovale wallikeri, Pow2",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,e82289cca00b3bc955f9cf4aa98b6a39,0.008362817626246381,246000,5,2443000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
253000,0.00022171783119648758,0.0035137948984903696,0.0001892926938278313,0.0005321455968033741,50.16203703703704,2.0,482.76291689522276,"GCA_000252605.1 Pseudoperonospora cubensis, ASM25260v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,dfc0f3aeb81135e5b79bb7dde23e4ff0,0.004115694950546591,216000,6,2227000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
342000,0.0002997134318940662,0.001057149771375441,0.0001454749406269444,2.8338533396912494e-05,3.4759036144578315,1.0,9.828469715808522,"GCA_000413255.3 Physarum polycephalum strain=LU352, Physarum_polycephalum-10.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,200cb1bbde8cc7f8e754aeb27195d81f,0.002177983263918077,166000,7,2061000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
280000,0.0002453794179249665,0.011959226262139818,0.00013057690453864289,0.0002727276879602341,37.26845637583892,24.0,45.17165335411956,"GCA_000344925.1 Entamoeba histolytica HM-1:IMSS-B strain=HM-1:IMSS-B, EHA_CB v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,d5ff84c245e8d00d84b5e41054a1fad8,0.022473713781202345,149000,8,1912000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
363000,0.0003181168882384387,0.0001849731200425102,9.639905704195112e-05,9.478920183022723e-06,1.7545454545454546,1.0,2.216411364986873,"GCA_905221605.1 Symbiodinium natans, Snat_CCMP2548",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,3261c17d06e6b49255d90a885bed112b,0.0006104112961402836,110000,9,1802000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
348000,0.0003049715622781726,6.021157891527697e-05,6.923205005740126e-05,1.1541690378291917e-05,2.9746835443037973,1.0,4.8678087070792495,"GCA_905237085.1 Polarella glacialis, Pgla_CCMP1383",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,0a11c405ad29bbf73087b69d861026b6,0.0002652358159812201,79000,10,1723000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
103000,9.026457159382696e-05,0.0013386191628481697,6.835569499338351e-05,0.002714310895517792,708.5384615384615,3.0,1222.0153456200812,"GCA_000318465.2 Phytophthora lateralis MPF4 strain=MPF4, MPF4_v2.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,6326779a8412ca0bbcba967fdc89d7c2,0.0017676637663251473,78000,11,1645000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
122000,0.00010691531781016397,0.00247039162973189,5.959214435320615e-05,5.25515264032866e-06,1.5735294117647058,1.0,0.8963352916276927,"GCA_002754635.1 Plasmodium vivax strain=CMB-1, CMB-1_v2",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,8125e7913e0d0b88deb63c9ad28f827c,0.00443217321804839,68000,12,1577000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
