contig	cluster	completeness	purity	coverage_stddev	gc_content_stddev	coverage	gc_content	length	superkingdom	phylum	class	order	family	genus	species	taxid	x_1	x_2
scaffold00016	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	107.18554077961318	45.11101834734729	50307	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.095758965729777	-23.12441124171878
scaffold00031	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	91.62678598448004	46.68309448155113	46263	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.152052744467593	-22.4682721268938
scaffold00038	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	100.35089691039713	42.65943849442461	45378	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.410894683058135	-23.622130628388238
scaffold00220	bin_0002	54.67625899280576	98.68421052631578	4.363019743596938	1.4445794159868899	118.00645300728664	46.06644436210942	32388	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	7.878390240606552	-23.522057262965287
scaffold00502	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	96.9631277111977	42.471141827806775	27202	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.526283857272	-23.609637788553776
scaffold00897	bin_0002	54.67625899280576	98.68421052631578	4.363019743596938	1.4445794159868899	127.13575945283264	44.28098249236461	23247	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	8.050693832035993	-23.404621619459597
scaffold01427	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	94.18707516500838	43.473549403999606	20302	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.211953420622217	-23.336955646306865
scaffold01799	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	88.13139958789031	44.074602419823535	18927	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.344287772843346	-23.1607069538825
scaffold01836	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	108.871538665958	44.90034546904066	18815	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.100548603180776	-23.294929809485843
scaffold01884	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	104.24187590342096	45.73585309706087	18679	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	7.8381242058269	-23.2739170510338
scaffold02200	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	91.08425832492432	43.96793362484584	17838	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.112925760775791	-23.36403179393112
scaffold02636	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	105.82133333333331	45.54666666666667	16875	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.05456508248292	-23.209480234536887
scaffold03162	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	90.19665720592872	42.15704824976349	15855	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.231326966488547	-23.46673904250396
scaffold03301	bin_0002	54.67625899280576	98.68421052631578	4.363019743596938	1.4445794159868899	115.08908414571574	45.22190867111339	15592	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.085126286559692	-23.382377134364784
scaffold04418	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	100.11240116817436	43.95612223092813	14039	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	leuconostoc	leuconostoc_gelidum	1244	8.136469360958534	-23.34145251023557
scaffold04421	bin_0002	54.67625899280576	98.68421052631578	4.363019743596938	1.4445794159868899	119.61369628732274	44.6305137889261	14033	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.037750642265207	-23.46331102465732
scaffold04785	bin_0002	54.67625899280576	98.68421052631578	4.363019743596938	1.4445794159868899	118.36071953010278	46.83553597650514	13620	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	7.662736048558782	-23.322625297535875
scaffold04941	bin_0002	54.67625899280576	98.68421052631578	4.363019743596938	1.4445794159868899	120.8159678260222	45.42340061070976	13427	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	7.865232882697562	-23.40903702066139
scaffold05017	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	88.43227061817093	43.309384822631344	13362	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.390957851260938	-22.858975322283552
scaffold05158	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	91.52486772486772	43.79440665154951	13230	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	8.270134714988126	-22.89018497935849
scaffold05336	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	99.92698607071787	44.69615796724322	13066	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	7.983543526118138	-23.636982887046948
scaffold05462	bin_0002	54.67625899280576	98.68421052631578	4.363019743596938	1.4445794159868899	112.50104319604358	45.174252376168766	12941	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	7.819956373197859	-23.522174896616185
scaffold06053	bin_0002	54.67625899280576	98.68421052631578	4.363019743596938	1.4445794159868899	119.31830667312974	46.58264663111973	12378	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	7.685804987782672	-23.73319100706141
scaffold06089	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	89.9952246054229	40.76891946580332	12355	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.878118105548037	-23.469269382202
scaffold06409	bin_0002	54.67625899280576	98.68421052631578	4.363019743596938	1.4445794159868899	119.51684184391294	45.12124472399238	12083	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	7.833284759058784	-23.4365394856406
scaffold06652	bin_0002	54.67625899280576	98.68421052631578	4.363019743596938	1.4445794159868899	120.90244517267456	46.16418788337115	11901	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	7.730802551529298	-23.62540305211944
scaffold06832	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	100.57542279255546	42.39823234469279	11767	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	8.973724414952935	-23.156118016835592
scaffold07072	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	99.45125948930296	47.13595583160801	11592	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	7.832395331595941	-23.25925723290208
scaffold07127	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	104.84737843917632	46.40076137740093	11558	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	7.748280197666628	-23.18981723749279
scaffold07169	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	99.54592766068176	45.580709515135744	11529	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	7.828022920398229	-23.4431732001514
scaffold07655	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	99.23524678111588	47.91666666666666	11184	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	7.581295866772067	-23.09574163448587
scaffold07976	bin_0001	31.654676258992804	100.0	6.6443702341127	1.7093757837308736	103.2815294761818	46.65997444789195	10958	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	7.736193907972474	-23.54926544431482
scaffold08101	bin_0002	54.67625899280576	98.68421052631578	4.363019743596938	1.4445794159868899	128.42602298850574	44.43218390804598	10875	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	8.092366200361347	-23.22562156228153
