intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
3481000,0.0282982822674395,0.004142267430306737,0.0282982822674395,0.0282982822674395,,,,GCA_002180455.1_ASM218045v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d956f9f6a1df8936ddc8a86ff740ca56,0.004142267430306737,3481000,0,7714000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
2868000,0.023314988090495974,0.0027734564349263346,0.02088431115916463,0.02088431115916463,,,,GCA_020205505.1_ASM2020550v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a28aa180c80267d8c07248dfab45d404,0.0030962526490341483,2569000,1,5145000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
1455000,0.011828210485241157,0.0036611061157113523,0.011088439245270748,0.011088439245270748,,,,GCA_009867345.1_ASM986734v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e634882be6ebe1736bb645a200a7bf3e,0.003905358796451626,1364000,2,3781000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
589000,0.004788189674094187,0.0008832014725924353,0.004056547788409167,0.004056547788409167,,,,GCA_001687015.1_ASM168701v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,0dc1cb25e7c7b4bf1bceb809ce434656,0.001042496327368626,499000,3,3282000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
1537000,0.012494817536643065,0.00028931430523519865,0.0035525278227150417,0.0035525278227150417,,,,GCA_000347455.1_ASM34745v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,383cae64eeb6253e86e6b31637ae0746,0.0010175654168112134,437000,4,2845000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
1397000,0.011356707936688588,5.0023812355575385e-05,0.0023900301599043988,0.0023900301599043988,,,,GCA_004151065.1_LarixSibirica0.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b309a98d23e9e98a80fb2411d43bd10d,0.00023769818319979187,294000,5,2551000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
431000,0.003503751697002707,0.00018932859871593138,0.00219492565705506,0.00219492565705506,,,,GCA_024704795.1_ASM2470479v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,571e1770f92148b38017b63373df3302,0.00030222454091320894,270000,6,2281000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
677000,0.005503572851208428,0.00016702618997707617,0.0020079505084911104,0.0020079505084911104,,,,GCA_021461685.1_ASM2146168v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,2a21ee2ea96dab2ed61840693100701d,0.000457800528803565,247000,7,2034000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
588000,0.0047800603198087975,0.0007099436482229223,0.001820975359927161,0.001820975359927161,,,,GCA_000004655.2_ASM465v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e32dc1176a23ed090bfaf5fad864a8d2,0.0018636020765851712,224000,8,1810000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
232000,0.001886010194210274,1.427355865128954e-05,0.0012194031428083667,0.0012194031428083667,,,,GCA_000404065.3_Ptaeda2.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,09600f102d08c3df5838f4fbf029ac81,2.2076437380661156e-05,150000,9,1660000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
