intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4464000,0.0071387221303584394,0.8808208366219415,0.0071387221303584394,0.0071387221303584394,,,,"GCA_002077695.1 Pantoea latae strain=AS1, ASM207769v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,243c9d03bc2a27f54bf2f8fe45c20dfc,0.8808208366219415,4464000,0,40499000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
3810000,0.00609286095803442,0.8111753371868978,0.006059278259840531,0.006059278259840531,,,,"GCA_019132875.1 Erwiniaceae bacterium CMYE1 strain=CMYE1, ASM1913287v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,a75287f96fe29a0da07a837f45d7d592,0.8156711624919717,3789000,1,36710000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
3149000,0.005035805552979105,0.8822535211267606,0.0050086195592030985,0.0050086195592030985,,,,"GCA_000735525.1 Tatumella ptyseos ATCC 33301 strain=ATCC 33301, GTPT_DRAFTv1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,d3992950d9c6316d1f8d72cf36206bce,0.8870422535211268,3132000,2,33578000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
3092000,0.004944652515024259,0.9285067873303168,0.0049222640495616655,0.0049222640495616655,,,,"GCA_002752555.1 Tatumella sp. OPLPL6 strain=OPLPL6, ASM275255v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,c3ff4c5bb444e8d8b5fa5ec32a80eb11,0.9327300150829563,3078000,3,30500000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
2888000,0.00461842058971218,0.867418469978665,0.0045512551933244,0.0045512551933244,,,,"GCA_000439375.1 Tatumella saanichensis strain=NML 06-3099, 06-3099_v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,704063496381d1296b4000523aa26faa,0.8802194452910698,2846000,4,27654000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
2811000,0.004495284029667915,0.5156984395563076,0.0043865400545638885,0.0043865400545638885,,,,"GCA_016658625.1 Pantoea sp. S62 strain=S62, ASM1665862v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,533bca3224fe56c7eb4df399cfe895ee,0.5284827975183305,2743000,5,24911000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
2521000,0.0040315229593713316,0.42042413012147417,0.003265517605329734,0.003265517605329734,,,,"GCA_000738765.1 Pantoea sp. NGS-ED-1003 strain=NGS-ED-1003, ASM73876v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,b01b989c7c3a97031ef01d0166c455e2,0.5190446777846407,2042000,6,22869000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
2007000,0.00320954644167325,0.8324346744089589,0.00320954644167325,0.00320954644167325,,,,"GCA_002115575.1 Weissella cibaria strain=DmW_103, ASM211557v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,2d544b81ed010b9a07366fe080666ba6,0.8324346744089589,2007000,7,20862000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
2661000,0.004255407613997269,0.6023117775695095,0.0030832115294200427,0.0030832115294200427,,,,"GCA_022602565.1 Rosenbergiella sp. JB07 strain=JB07, ASM2260256v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,e2d113e72930ffabf316cb0fc899c9ca,0.831302717900656,1928000,8,18934000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
1818000,0.0029073021579282352,0.4104265402843602,0.0027697730129437313,0.0027697730129437313,,,,"GCA_002928325.1 Pantoea sp. ICBG 1758 strain=ICBG 1758, ASM292832v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,8ddbe0f1f6ed052daa015de77bbfa950,0.4308056872037915,1732000,9,17202000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
1559000,0.0024931155468702524,0.6068509147528222,0.0024931155468702524,0.0024931155468702524,,,,"GCA_015627205.1 Acinetobacter sp. FNA11 strain=FNA11, ASM1562720v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,cee9d3acc1f79b8b6317cec6defb1bcd,0.6068509147528222,1559000,10,15643000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
2773000,0.004434515337698018,0.4595010779180782,0.002385970747870697,0.002385970747870697,,,,"GCA_001602605.1 bacteria symbiont BFo2 of Frankliniella occidentalis strain=Swan69, ASM160260v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,d52987ccd4dc700b13c412d81a38b78c,0.8540190945488143,1492000,11,14151000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
2726000,0.004359354060787882,0.2566091954022989,0.0014280642612925821,0.0014280642612925821,,,,"GCA_022602545.1 Rosenbergiella epipactidis strain=JB02, ASM2260254v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,d2fe300b5c7c00c601dfb7e457547be8,0.7833333333333333,893000,12,13258000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
679000,0.001085840574935793,0.10749444268021593,0.001082642222726851,0.001082642222726851,,,,"GCA_013374995.1 Pseudomonas sp. NP-1 strain=NP-1, ASM1337499v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,3796c6a4bacef37079ec91f1a95b47d9,0.10781200381073357,677000,13,12581000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
3048000,0.004874288766427537,0.16038223140495866,0.0009930883608764765,0.0009930883608764765,,,,"GCA_022394795.1 Pantoea sp. Z09 strain=Z09, ASM2239479v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,bef8277c633abc3e34e94de11cbe5baa,0.7871900826446281,621000,14,11960000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
706000,0.0011290183297565095,0.10324089542265286,0.0009882908325630636,0.0009882908325630636,,,,"GCA_011752625.1 Pantoea sp. Acro-805 strain=Acro-805, ASM1175262v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,c0b9f89b1af2337b6da4533b7db130ba,0.11794186435015035,618000,15,11342000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
657000,0.0010506587006374316,0.11736474694589878,0.0008603567442053854,0.0008603567442053854,,,,"GCA_002095485.1 Pantoea wallisii strain=LMG 26277, ASM209548v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,552367cf3c443e81d532837ba3ad5946,0.14332460732984292,538000,16,10804000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
