intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
230000,0.0001235960429920775,0.0026543872404759432,0.0001235960429920775,0.0003154320846046202,3.108695652173913,2.0,4.8991048910448285,"GCA_003521225.1 Tuber microsphaerosporum strain=MG111, ASM352122v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,e43e37bd5ca80a6b98bf1d69bb214bc7,0.0026543872404759432,230000,0,2264000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
173000,9.29657192940409e-05,0.004822743040866401,9.189097109410979e-05,9.308555223996485e-05,1.2339181286549707,1.0,0.5109518399719949,"GCA_022496225.1 Russula aff. rugulosa BPL654 strain=BPL654, Rusrug1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,8ecd09255cf9d1edfc0afe1ed615183c,0.004879149392221564,171000,1,2093000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
166000,8.920410059428202e-05,0.0013459660605420812,8.221823729472981e-05,0.00018528877697054615,2.7450980392156863,2.0,3.421442213519567,"GCA_003314295.1 Cantharellus lutescens strain=MG144, ASM331429v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,962d0da28fbde9e858ee7dab0940317e,0.0014603291898691861,153000,2,1940000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
133000,7.147075529541873e-05,0.0026091177541361595,6.93212588955565e-05,7.676249331636911e-05,1.3488372093023255,1.0,0.8684938650642431,"GCA_019925775.1 Aureobasidium melanogenum strain=EXF-8258, ASM1992577v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,146c715b73fe9ab0813401806a45d1b9,0.002690020630233405,129000,3,1811000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
166000,8.920410059428202e-05,0.0027614250166899316,4.8901043096865444e-05,5.6910124355239175e-05,1.4175824175824177,1.0,0.926602372915727,"GCA_015178925.1 Russula emetica strain=Prilba, Ruseme1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,5115007118e36d93629c9326d69da471,0.005037324755720094,91000,4,1720000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
90000,4.836366899689989e-05,0.001548207993735986,4.6751546697003226e-05,7.455667454291024e-05,1.9425287356321839,1.0,2.929659357386741,"GCA_902501155.1 Saitozyma podzolica, P5-13",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,3dbe93f10f0738cb4862026718e1e97c,0.0016015944762786062,87000,5,1633000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
113000,6.0723273296107636e-05,0.0012372876241059842,4.406467619717545e-05,0.00010455580986195104,2.8902439024390243,1.5,4.793303503545021,"GCA_001179745.1 Clavaria fumosa, Cla_fum_l100.fa",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,0843b6a64f1859895a164d6d010d6b2e,0.0017050427015119051,82000,6,1551000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
82000,4.406467619717545e-05,0.0017520038544084798,4.298992799724435e-05,4.32340479597941e-05,1.225,1.0,0.49937460888595453,"GCA_000827325.1 Oidiodendron maius Zn strain=Zn, Oidiodendron maius Zn v1.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,49a33c57e784f166a72b1130c0bae55e,0.0017958039507686918,80000,7,1471000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
114000,6.12606473960732e-05,0.0007280259218243715,3.815356109755436e-05,7.190969201475957e-05,2.295774647887324,1.0,3.2170074721667943,"GCA_003314335.1 Cantharellus appalachiensis strain=MG38, ASM331433v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,028f00607ff3aa55a88a6f927d6f2060,0.0011689430294081456,71000,8,1400000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
64000,3.439194239779548e-05,0.000531809955139257,3.3317194197864366e-05,3.2204954092499686e-05,1.1774193548387097,1.0,0.38202320265571005,"GCA_001692895.1 Cenococcum geophilum 1.58 strain=1.58, Cenococcum geophilum 1.58 v2.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,65f81445858ed2698d0667a8ea288898,0.0005489651149824589,62000,9,1338000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
