intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
915000,8.037436358217382e-05,0.010559844891458644,8.037436358217382e-05,0.00024181592888644025,5.103825136612022,2.0,34.47123036784804,"GCA_003521225.1 Tuber microsphaerosporum strain=MG111, ASM352122v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,e43e37bd5ca80a6b98bf1d69bb214bc7,0.010559844891458644,915000,0,7994000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
630000,5.533972574510329e-05,0.01596339603457041,5.516404407607122e-05,0.02368159832561887,728.2547770700637,17.0,7754.424589776351,"GCA_900068985.1 Pterula multifida, Pterula_subulata-8",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,52708a3c7de62afa321928bd6e29fa93,0.01601423487544484,628000,1,7366000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
389000,3.417008462673838e-05,0.0028713803895354137,3.3203835447061975e-05,4.054429814091707e-05,2.0714285714285716,1.0,5.82438575197034,"GCA_910591825.1 Funneliformis caledonium strain=UK204, Funneliformis_caledonium_UK204",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,4798937cc040ebe379a4c35f09f67321,0.0029549390781197778,378000,2,6988000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
361000,3.171054126028935e-05,0.0030707736119331293,3.1447018756741236e-05,2.3715566473231183e-05,1.2793296089385475,1.0,1.005664180743539,"GCA_001692895.1 Cenococcum geophilum 1.58 strain=1.58, Cenococcum geophilum 1.58 v2.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,65f81445858ed2698d0667a8ea288898,0.003096506351697932,358000,3,6630000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
302000,2.6527932023843166e-05,0.0044361287986238946,2.582520534771487e-05,8.466146546666591e-05,5.561224489795919,2.0,15.903236092962835,"GCA_001179745.1 Clavaria fumosa, Cla_fum_l100.fa",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,0843b6a64f1859895a164d6d010d6b2e,0.004556839786341552,294000,4,6336000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
370000,3.250110877093368e-05,0.002109511981297487,2.029123277320454e-05,2.946322559665621e-05,2.463203463203463,1.0,5.540655418368501,"GCA_003833025.1 Glomus cerebriforme strain=JS1, ASM383302v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,b3deba94e143dde3ad38400792bc5591,0.003378872004675628,231000,5,6105000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
272000,2.3892706988362057e-05,0.0019265788709719987,1.9237142759012096e-05,7.042176944016247e-05,6.210045662100456,2.0,20.89354818372594,"GCA_003314295.1 Cantharellus lutescens strain=MG144, ASM331429v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,962d0da28fbde9e858ee7dab0940317e,0.0023928285520748113,219000,6,5886000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
262000,2.3014298643201687e-05,0.0015731904599355882,1.8622256917399836e-05,1.667338952921494e-05,1.5188679245283019,1.0,1.435606058827064,"GCA_002104975.1 Neocallimastix californiae strain=G1, Neocallimastix sp. G1 v1.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,06ac0c8fb4b56b9f96901eb245d0ada7,0.0019442259457694534,212000,7,5674000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
365000,3.2061904598353496e-05,0.0013500071053005542,1.335180684643762e-05,1.0459703990377072e-05,1.3289473684210527,1.0,0.8942529651340104,"GCA_003833135.1 Oehlia diaphana strain=SD1, ASM383313v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,06d31dc0e81424b403391948d01cfe3b,0.0032417933778598833,152000,8,5522000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
166000,1.4581578529662137e-05,0.0026471334807992167,1.2824761839341398e-05,1.0252581139082477e-05,1.356164383561644,1.0,3.1443354722451526,"GCA_910592345.1 Paraglomus brasilianum ecotype=caatinga, /strain=BR232B, Paraglomus_brasilianum_BR232B",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,4201501754d8a4a6261dd865eb277622,0.003009754505566233,146000,9,5376000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
205000,1.800737107578758e-05,8.832574534884655e-05,1.2561239335793287e-05,1.7191196657451427e-05,2.3216783216783217,1.0,4.614664067509532,"GCA_006912095.1 Massospora platypediae, Mplat_NP02_megahit",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,a0ebc114cce059d9ce69be7f9581c8cd,0.00012662082375184295,143000,10,5233000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
158000,1.3878851853533842e-05,0.004162269902684957,1.247339850127725e-05,2.9359664171008913e-05,3.992957746478873,2.0,6.939879122697403,"GCA_001430945.1 Amauroascus niger, ASM143094v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,e237504f9eef2190378dcf2ac2770126,0.0046312580607339665,142000,11,5091000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
181000,1.5899191047402692e-05,0.0010911785542698468,1.1770671825148955e-05,1.3462985334148708e-05,1.9402985074626866,1.0,8.696165902478551,"GCA_910592325.1 Scutellospora calospora strain=AU212A, Scutellospora_calospora_AU212A",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,456237244f4928f8aca0551cc998e50c,0.001473905360618226,134000,12,4957000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
152000,1.335180684643762e-05,0.002463006419331691,1.1155785983536696e-05,2.4078031462996727e-05,3.661417322834646,2.0,5.557460010717445,"GCA_003521295.1 Cantharellus cibarius strain=MG75, ASM352129v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,49d17a7b6460024ffe0a27480bc6b2d5,0.0029478502026647016,127000,13,4830000,GraSoiAngelo_129_FD/GraSoiAngelo_129_FD_9013.1.117809.GGTAGC.fastq.gz,GraSoiAngelo_129_FD,0278b217,11384227000
