intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
16706000,0.01650045384643496,0.04513841980405613,0.01650045384643496,0.0014219598622334084,1.768286843050401,1.0,4.059373475237262,GCA_022530915.1_ASM2253091v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,8c4f4903b390fb6b329e8ed3eee665ca,0.04513841980405613,16706000,0,29314000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
9673000,0.009553985996442318,0.011258256868179271,0.009344594387712268,0.2104198788843124,462.0485149561357,22.0,721.7071378080545,GCA_002180455.1_ASM218045v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d956f9f6a1df8936ddc8a86ff740ca56,0.011510529403434952,9461000,1,19853000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
4070000,0.004019923809109918,0.007810840786275574,0.002615419716590433,0.015205165400006777,119.29191842900302,3.0,1273.4170499632494,GCA_002573525.1_SJ18_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c6856d9aba99d13739b57ee6a09aa7c2,0.012005333081624466,2648000,2,17205000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
2309000,0.002280590681875872,0.004208150624494166,0.0021620671297645235,0.0006642647878819618,6.304248515303792,3.0,79.15225617505227,GCA_023376185.1_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,224c62fd568fb581780bfe68067845a6,0.004438839557769315,2189000,3,15016000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
2470000,0.0024396097809585987,0.00033539509218001145,0.0016366127154042098,0.062474055165168955,783.2764031382015,3.0,1049.0724354870977,GCA_014338645.1_ASM1433864v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b404ebeeb8c725b1bf7e86a81b3eeac0,0.0004999552671603067,1657000,4,13359000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
4156000,0.004104865688123051,0.0008919333788654392,0.0013027713769572435,0.0011349782198165782,17.87642153146323,4.0,107.2193476902032,GCA_021461685.1_ASM2146168v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,2a21ee2ea96dab2ed61840693100701d,0.002810367795727646,1319000,5,12040000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
2950000,0.0029137039894039946,0.0020829107569897676,0.0012069648390005698,0.05772008536476416,981.2815057283142,1139.0,587.2884381845336,GCA_002813485.1_ASM281348v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,552dccd73e76599a21f769da83fc9f08,0.0050283033822584415,1222000,6,10818000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
2462000,0.0024317082108178422,0.0029229798827050315,0.0010756012354104915,0.007464121999833645,142.39302112029384,3.0,492.01011937132324,GCA_009867345.1_ASM986734v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e634882be6ebe1736bb645a200a7bf3e,0.006608242856951136,1089000,7,9729000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
916000,0.0009047297811166301,0.0026109834704405328,0.0007733661775265518,0.0004398106787592381,11.669220945083014,7.0,54.71819513615966,GCA_003254925.1_ASM325492v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73a901abe080a83f6c433d60ffaeb5b4,0.003054483855585604,783000,8,8946000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
1205000,0.0011901740024514622,0.0006434332562149067,0.0005886669754863663,0.025039027963044542,872.7885906040268,3.5,1077.7814051650223,GCA_020205505.1_ASM2020550v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a28aa180c80267d8c07248dfab45d404,0.001300901130434501,596000,9,8350000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
832000,0.0008217632946386859,0.00030328937102619495,0.000545208339712205,0.004757002313566867,179.0326086956522,15.0,1685.941134739359,GCA_904848325.1_MorexV3_illumina_tritex_scaffolds_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,be5ae4f95caff07df2224c0ccd026a3d,0.00045713180560469965,552000,10,7798000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
1169000,0.0011546169368180574,0.0002566685287716793,0.0004701434233750174,0.00033983401467004715,14.831932773109244,1.0,204.7474492439274,GCA_910594505.1_hordeum_vulgare_accession_hor_337_contigs_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,84cf0563c97674146150abf4f478ae67,0.0006303477103657419,476000,11,7322000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
541000,0.0005343436807686647,0.0005998072707187273,0.00044940180175553137,3.4079671726118044e-05,1.556043956043956,1.0,2.214001836028145,GCA_023529015.1_Yrk_Pnu_10X_1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c55cac35c182bafceb47ec1a0fb5ea32,0.000713177436173256,455000,12,6867000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
563000,0.0005560729986557454,0.0011954780348287235,0.0003397675160525336,0.0009913911283490498,59.872093023255815,2.0,329.8093457894089,GCA_002141455.1_Co_S7_2014_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a1af95f9e475528b31792ecebfb4d3db,0.001956552713978405,344000,13,6523000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
395000,0.0003901400256998569,0.0017234742943808992,0.00029630888027837234,0.0004173797083858327,28.903333333333332,15.5,35.95664967089614,GCA_000512025.1_FNI_r1.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c031cdca2d3bb9f9e0cfa19960e9ff9a,0.002269241154268184,300000,14,6223000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
984000,0.0009718931273130612,4.679098094484092e-05,0.00027161647358850795,0.0027368190612032397,206.75272727272727,2.0,615.4771842324814,GCA_004151065.1_LarixSibirica0.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b309a98d23e9e98a80fb2411d43bd10d,0.0001674266372717217,275000,15,5948000,AttbisABBM3_FD_11254.6.198438.TGACCA.fastq.gz,,4025626a,1012457000
