intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
9685000,0.037393100519294994,0.011524808980902254,0.037393100519294994,0.037393100519294994,,,,GCA_002180455.1_ASM218045v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d956f9f6a1df8936ddc8a86ff740ca56,0.011524808980902254,9685000,0,17374000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
5989000,0.023123105731549583,0.01351442030249755,0.01943977915484257,0.01943977915484257,,,,GCA_009867345.1_ASM986734v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e634882be6ebe1736bb645a200a7bf3e,0.016075047307181296,5035000,1,12339000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
2906000,0.011219860620451343,0.007470832680367246,0.010675469585529236,0.010675469585529236,,,,GCA_022530915.1_ASM2253091v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,8c4f4903b390fb6b329e8ed3eee665ca,0.007851804618136426,2765000,2,9574000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
3976000,0.015351054998938244,0.0011827077176919279,0.006752765390629524,0.006752765390629524,,,,GCA_021461685.1_ASM2146168v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,2a21ee2ea96dab2ed61840693100701d,0.0026886483050560924,1749000,3,7825000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
1646000,0.006355089670083589,0.00023641609394463086,0.0045095654524043936,0.0045095654524043936,,,,GCA_014338645.1_ASM1433864v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b404ebeeb8c725b1bf7e86a81b3eeac0,0.00033316857074731373,1168000,4,6657000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
2666000,0.010293237582286056,0.0019158688141215213,0.004339684562074091,0.004339684562074091,,,,GCA_002813485.1_ASM281348v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,552dccd73e76599a21f769da83fc9f08,0.004544222649864747,1124000,5,5533000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
3188000,0.012308642690295555,0.0026930882318238667,0.003525028474353777,0.003525028474353777,,,,GCA_002573525.1_SJ18_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c6856d9aba99d13739b57ee6a09aa7c2,0.00940368596172452,913000,6,4620000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
934000,0.0036061079901932394,0.00032245331975937864,0.0023088357367618386,0.0023088357367618386,,,,GCA_910594505.1_hordeum_vulgare_accession_hor_337_contigs_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,84cf0563c97674146150abf4f478ae67,0.0005036311047746817,598000,7,4022000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
1093000,0.004219995752977742,0.0005743397521918294,0.002054014401266385,0.002054014401266385,,,,GCA_020205505.1_ASM2020550v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a28aa180c80267d8c07248dfab45d404,0.0011799874983941159,532000,8,3490000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
545000,0.002104206482500338,0.0014605501405529416,0.0016910870446516476,0.0016910870446516476,,,,GCA_003254925.1_ASM325492v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73a901abe080a83f6c433d60ffaeb5b4,0.0018173512022861946,438000,9,3052000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
404000,0.001559815447578232,0.0004455711153910546,0.0013049941120827782,0.0013049941120827782,,,,GCA_023529015.1_Yrk_Pnu_10X_1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c55cac35c182bafceb47ec1a0fb5ea32,0.0005325761260887161,338000,10,2714000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
839000,0.0032393197042528137,0.000988850081453356,0.0012046099496148723,0.0012046099496148723,,,,GCA_000004655.2_ASM465v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e32dc1176a23ed090bfaf5fad864a8d2,0.0026591192895492493,312000,11,2402000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
973000,0.0037566842338950988,0.0005546010939198466,0.000868709098279956,0.000868709098279956,,,,GCA_003482435.1_Corteva_Sorghum_ONT_TX430_1.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,5a5c647771a72abd22a15d39df45edf2,0.002398341619484492,225000,12,2177000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
787000,0.0030385513793170014,0.0005629454233117441,0.0007490202891836065,0.0007490202891836065,,,,GCA_000347275.4_ASM34727v4_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,7ca050c5581e315942732647bbc664af,0.0022837012791048585,194000,13,1983000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
252000,0.0009729541900735507,0.0009076964617072736,0.0006100268334588135,0.0006100268334588135,,,,GCA_000512025.1_FNI_r1.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c031cdca2d3bb9f9e0cfa19960e9ff9a,0.0014477184072799554,158000,14,1825000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
780000,0.0030115248740371805,0.000776073389781522,0.0005598347522248606,0.0005598347522248606,,,,GCA_900006705.1_sca_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c8bf25d7967b207db9f02751b9564677,0.004174739613997153,145000,15,1680000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
633000,0.002443968263160943,1.8205945313083558e-05,0.0004131194378486902,0.0004131194378486902,,,,GCA_004151065.1_LarixSibirica0.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b309a98d23e9e98a80fb2411d43bd10d,0.00010770433068394291,107000,16,1573000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
831000,0.0032084322696473043,0.0002770996899122518,0.0004053975791973128,0.0004053975791973128,,,,GCA_009936405.1_ASM993640v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,30b2405466d3e463ee999d369e6079cd,0.0021930461173055352,105000,17,1468000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
374000,0.0014439875678075712,6.310953290531045e-05,0.0003474836393119824,0.0003474836393119824,,,,GCA_024704795.1_ASM2470479v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,571e1770f92148b38017b63373df3302,0.000262255170073179,90000,18,1378000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
463000,0.001787610277793865,0.0002926742943486636,0.0003320399220092276,0.0003320399220092276,,,,GCA_019338905.1_ASM1933890v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,8d6effdaf6563113fe51ad7fe9186093,0.0015756767242259447,86000,19,1292000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
258000,0.0009961197660276829,0.0002745429207891545,0.00030501341672940676,0.00030501341672940676,,,,GCA_002141455.1_Co_S7_2014_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a1af95f9e475528b31792ecebfb4d3db,0.0008966085261215426,79000,20,1213000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
285000,0.0011003648578212775,8.899129910143292e-06,0.00026640412347251984,0.00026640412347251984,,,,GCA_024346515.1_shallot_DHA_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a4534bb31e68273bd66fc458c95be41a,3.6757275715809254e-05,69000,21,1144000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
269000,0.0010385899886102585,0.00016519715170522912,0.00025868226482114243,0.00025868226482114243,,,,GCA_010261695.1_La_Amiga3.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73767c04d625fb0443ae1675113386f4,0.0006632542359508452,67000,22,1077000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
692000,0.0026717630933765757,3.442641618359343e-05,0.00020076832493581205,0.00020076832493581205,,,,GCA_000347455.1_ASM34745v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,383cae64eeb6253e86e6b31637ae0746,0.00045813615382782027,52000,23,1025000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
367000,0.0014169610625277503,7.53672340949772e-05,0.00020076832493581205,0.00020076832493581205,,,,GCA_020010975.1_BSMRAU-JF-1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,f253c46224ea374d0db54d83587531ca,0.000531918748324166,52000,24,973000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
441000,0.0017026698326287138,4.383421534471501e-05,0.0001853246076330573,0.0001853246076330573,,,,GCA_003544955.1_Sspon.HiC_chr_asm_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,59e0fb7f42cf48af6ae0dfc05ba0f358,0.00040272685347956914,48000,25,925000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
238000,0.000918901179513909,2.5350301940203468e-05,0.00016215903167892513,0.00016215903167892513,,,,GCA_944222845.1_aegilops_speltoides_cv_tivon_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,81441a121df0ea132d13ea1816f9dd50,0.0001436517109944863,42000,26,883000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
225000,0.000868709098279956,6.027717726866189e-05,0.00014285438505048166,0.00014285438505048166,,,,GCA_018493915.1_araca.K10017.gnm1.DQ4M_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,6df040e944ac2c13fc4f1a59a1d5e082,0.00036655040230943044,37000,27,846000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
181000,0.0006988282079496535,5.7672233318787114e-05,0.0001158278797706608,0.0001158278797706608,,,,GCA_023376185.1_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,224c62fd568fb581780bfe68067845a6,0.0003479558076900156,30000,28,816000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
197000,0.0007606030771606726,3.949179616441049e-06,0.00010424509179359471,0.00010424509179359471,,,,GCA_023213395.1_ASM2321339v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,67f24e02b95870df5db1623ebffbb7f1,2.8814384608847655e-05,27000,29,789000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
106000,0.0004092585085230015,5.57246345749925e-05,0.00010038416246790602,0.00010038416246790602,,,,GCA_017589505.1_ASM1758950v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,13b316f22c0f3aceff01cbf3478de0b8,0.0002271850486518925,26000,30,763000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
221000,0.0008532653809772013,4.5566390230565937e-05,9.652323314221733e-05,9.652323314221733e-05,,,,GCA_900235945.1_Canthatch-W_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,39129f194483f72b6f6bd6db3fd87669,0.00040280688963820286,25000,31,738000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
133000,0.0005135036003165962,9.803683371716884e-06,8.880137449083994e-05,8.880137449083994e-05,,,,GCA_021442155.1_ASM2144215v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,51f96419206143d57631203f09326881,5.6690864714710685e-05,23000,32,715000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
249000,0.0009613714020964846,8.732376476565477e-05,8.494044516515125e-05,8.494044516515125e-05,,,,GCA_001974825.1_COLO4_1.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,34ca6c25f7851bf7292fe88e72480cb9,0.00098834624666582,22000,33,693000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
219000,0.0008455435223258238,4.936587292326748e-05,8.494044516515125e-05,8.494044516515125e-05,,,,GCA_004799145.1_ASM479914v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,026f45495c96e46a2b0d32dea5b6af26,0.0004914148259179808,22000,34,671000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
195000,0.0007528812185092951,4.740010428022942e-05,8.107951583946256e-05,8.107951583946256e-05,,,,GCA_000230855.2_Pigeonpea-Version-2.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d9b4e1f98df5b1e3d5129e9e3e015c18,0.00044014382545927314,21000,35,650000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
119000,0.0004594505897569545,2.9038627828039698e-05,6.949672786239648e-05,6.949672786239648e-05,,,,GCA_902829185.1_FRAX03-0.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,ead471dbb3967939a1259671f5fbad96,0.00019197759508537358,18000,36,632000,AttcapACBM3_FD_111482.assembled.fna,Ga0157359_1000001,0243a048,259005000
