intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
3524000,0.025097212528665234,0.00623727853590329,0.025097212528665234,0.049906849257798924,5.419977298524404,5.0,3.6331661160379682,GCA_001687015.1_ASM168701v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,0dc1cb25e7c7b4bf1bceb809ce434656,0.00623727853590329,3524000,0,13905000,reverse/11489.2.TCAG.2009_10_21_06_46_59.F4EQGSL02.fastq.gz.abundtrim,11489.1.TCAG.2009_10_21_06_46_59.F4EQGSL01,b40d8125,140414000
3362000,0.0239434814192317,0.009798947542298889,0.023658609540359223,0.054518660197066734,6.2808549066827215,5.0,8.51189913963357,GCA_002573525.1_SJ18_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c6856d9aba99d13739b57ee6a09aa7c2,0.009916936073813625,3322000,1,10583000,reverse/11489.2.TCAG.2009_10_21_06_46_59.F4EQGSL02.fastq.gz.abundtrim,11489.1.TCAG.2009_10_21_06_46_59.F4EQGSL01,b40d8125,140414000
2837000,0.020204538009030437,0.0005434736406175804,0.019122024869315024,0.023602542897680507,3.364245810055866,1.0,4.949117920684075,GCA_014338645.1_ASM1433864v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b404ebeeb8c725b1bf7e86a81b3eeac0,0.0005742401185966762,2685000,2,7898000,reverse/11489.2.TCAG.2009_10_21_06_46_59.F4EQGSL02.fastq.gz.abundtrim,11489.1.TCAG.2009_10_21_06_46_59.F4EQGSL01,b40d8125,140414000
1863000,0.01326790775848562,0.004536121213747937,0.012035836882362158,0.011042217013793626,2.5005917159763316,2.0,2.4711949303120573,GCA_009867345.1_ASM986734v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e634882be6ebe1736bb645a200a7bf3e,0.005000469716693732,1690000,3,6208000,reverse/11489.2.TCAG.2009_10_21_06_46_59.F4EQGSL02.fastq.gz.abundtrim,11489.1.TCAG.2009_10_21_06_46_59.F4EQGSL01,b40d8125,140414000
3144000,0.0223909296793767,0.003881828386347919,0.007955047217513923,0.010033628332458003,3.4377797672336614,2.0,2.9127764266979455,GCA_002141455.1_Co_S7_2014_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a1af95f9e475528b31792ecebfb4d3db,0.010926113202039263,1117000,4,5091000,reverse/11489.2.TCAG.2009_10_21_06_46_59.F4EQGSL02.fastq.gz.abundtrim,11489.1.TCAG.2009_10_21_06_46_59.F4EQGSL01,b40d8125,140414000
2269000,0.016159357329041262,0.0022166005878059844,0.006402495477658923,0.014425953651953292,6.1412680756396,4.0,6.345367745776171,GCA_010261695.1_La_Amiga3.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73767c04d625fb0443ae1675113386f4,0.00559451249580843,899000,5,4192000,reverse/11489.2.TCAG.2009_10_21_06_46_59.F4EQGSL02.fastq.gz.abundtrim,11489.1.TCAG.2009_10_21_06_46_59.F4EQGSL01,b40d8125,140414000
1161000,0.008268406284273649,0.000987670774821773,0.0059110914866039,0.0032975101446776046,1.5204819277108435,1.0,2.0337963218053705,GCA_002180455.1_ASM218045v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d956f9f6a1df8936ddc8a86ff740ca56,0.0013815491199615404,830000,6,3362000,reverse/11489.2.TCAG.2009_10_21_06_46_59.F4EQGSL02.fastq.gz.abundtrim,11489.1.TCAG.2009_10_21_06_46_59.F4EQGSL01,b40d8125,140414000
829000,0.005903969689632088,0.00022485457247434934,0.002969789337245574,0.005432269089369841,4.985611510791367,1.0,9.362140410573938,GCA_910594505.1_hordeum_vulgare_accession_hor_337_contigs_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,84cf0563c97674146150abf4f478ae67,0.0004470130469573995,417000,7,2945000,reverse/11489.2.TCAG.2009_10_21_06_46_59.F4EQGSL02.fastq.gz.abundtrim,11489.1.TCAG.2009_10_21_06_46_59.F4EQGSL01,b40d8125,140414000
521000,0.0037104562223140144,0.0008486875813983934,0.0026777956614012846,0.012620423136919834,12.845744680851064,13.5,6.660269065129315,GCA_000230855.2_Pigeonpea-Version-2.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d9b4e1f98df5b1e3d5129e9e3e015c18,0.0011759740157142632,376000,8,2569000,reverse/11489.2.TCAG.2009_10_21_06_46_59.F4EQGSL02.fastq.gz.abundtrim,11489.1.TCAG.2009_10_21_06_46_59.F4EQGSL01,b40d8125,140414000
430000,0.003062372697879129,0.00017818008023892854,0.001972737761191904,0.000849200314596055,1.1732851985559567,1.0,0.6234940281496832,GCA_019775975.1_OSU_SAla_1.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,24b444ede46220a92a1a738fffee434c,0.00027659723647198295,277000,9,2292000,reverse/11489.2.TCAG.2009_10_21_06_46_59.F4EQGSL02.fastq.gz.abundtrim,11489.1.TCAG.2009_10_21_06_46_59.F4EQGSL01,b40d8125,140414000
612000,0.0043585397467488995,0.0008113641693976254,0.0018231800247838536,0.0021556623370515243,3.22265625,2.0,4.214144983782112,GCA_000004655.2_ASM465v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e32dc1176a23ed090bfaf5fad864a8d2,0.0019396674674661985,256000,10,2036000,reverse/11489.2.TCAG.2009_10_21_06_46_59.F4EQGSL02.fastq.gz.abundtrim,11489.1.TCAG.2009_10_21_06_46_59.F4EQGSL01,b40d8125,140414000
550000,0.00391698833449656,0.00038458033354597646,0.0015026991610523168,0.004938426444881674,8.957345971563981,7.0,7.844041453298291,GCA_900235945.1_Canthatch-W_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,39129f194483f72b6f6bd6db3fd87669,0.0010024605850724505,211000,11,1825000,reverse/11489.2.TCAG.2009_10_21_06_46_59.F4EQGSL02.fastq.gz.abundtrim,11489.1.TCAG.2009_10_21_06_46_59.F4EQGSL01,b40d8125,140414000
