intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
5311000,0.002448252940346711,0.16998463705031366,0.002448252940346711,0.09725617809294705,481.6799096215402,357.0,1483.6351725222873,"GCA_019327925.1 Leucocoprinus sp. KB1807203, ASM1932792v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,b5898af61a7208d43ba558668a3056de,0.16998463705031366,5311000,0,12229000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
1887000,0.0008698650533673965,0.023689598432416817,0.0008694040755966666,0.00014518843474321607,2.02492046659597,1.0,4.860723445824926,"GCA_001013415.1 Puccinia arachidis strain=MRf11, ASM101341v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,4af773e2a6b63626906a6dc3b629f1de,0.023702159195106327,1886000,1,10343000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
600000,0.0002765866624379639,0.004377950914326643,0.000276125684667234,0.00025855630916172097,11.353923205342237,2.0,112.93043767465777,"GCA_016946835.1 Neocallimastix sp. JGI-2020a strain=sp3, ASM1694683v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,360d9c6746cff78a7965173397647f0e,0.004385259680460745,599000,2,9744000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
590000,0.00027197688473066454,0.014844941535332994,0.00026921101810628486,0.0009965119799657449,44.88356164383562,5.0,413.13312575100315,"GCA_900068985.1 Pterula multifida, Pterula_subulata-8",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,52708a3c7de62afa321928bd6e29fa93,0.014997458057956279,584000,3,9160000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
548000,0.000252615818360007,0.009537216259018124,0.0002498499517356274,2.82089077191585e-05,1.3690036900369005,1.0,1.0748717094929525,"GCA_011421375.1 Fusarium oxysporum strain=EtdFoc-189, ASM1142137v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,0559f50fbf6dd49b2e6c34275b92f269,0.009642794298785853,542000,4,8618000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
707000,0.00032591128390606746,0.004828683489972619,0.0002406303963210286,0.00325953548520918,164.24904214559388,1.0,821.1556495654517,"GCA_022457215.1 Leucoagaricus gongylophorus strain=LEU18496, HybridAssembly_LEU18496",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,49e72065873690f56cbf53e83438fb8f,0.006539998519943758,522000,5,8096000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
557000,0.0002567646182965765,0.0002884484131322471,0.00021527661893088192,0.00015328614005882354,8.633832976445396,2.0,29.405034800247986,"GCA_006912095.1 Massospora platypediae, Mplat_NP02_megahit",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,a0ebc114cce059d9ce69be7f9581c8cd,0.0003440380430720806,467000,6,7629000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
410000,0.00018900088599927534,0.004350886911562742,0.00017378861956518732,6.28427553366159e-05,4.384615384615385,1.0,22.506069371151277,"GCA_003521225.1 Tuber microsphaerosporum strain=MG111, ASM352122v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,e43e37bd5ca80a6b98bf1d69bb214bc7,0.004731733776500594,377000,7,7252000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
346000,0.0001594983086725592,0.0126723816623183,0.00015673244204817956,1.8742576153025796e-05,1.45,1.0,1.4102044073779643,"GCA_013403735.1 Teratosphaeria pseudoeucalypti, ASM1340373v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,0f0024bb5a1fd59139e0957ee08bce52,0.012896011926947447,340000,8,6912000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
286000,0.0001318396424287628,0.004110348225006928,0.00012308106478489393,1.7678089069283967e-05,1.7415730337078652,1.0,2.2678080454060474,"GCA_018398735.1 Podosphaera cerasi cultivar=Bing, WSU_PS_Poc_1.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,8a12f0446eeb345eb805cf5090511900,0.00440284491517596,267000,9,6645000,AttlaeALBM3_FD_11231.6.197619.GTGGCC.fastq.gz,,fb97790f,2169302000
