intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
12650000,0.10922120531859783,0.09832879906723668,0.10922120531859783,0.10922120531859783,,,,GCA_022457215.1.fna,input_sig/GCA_022457215.1.fna.k51.sig,61a8610e5b1824da60ba94cea13b0942,0.09832879906723668,12650000,0,4200000,1119564.scaffolds.fasta,,509570d5,115820000
2040000,0.01761353824900708,0.41975308641975306,0.01761353824900708,0.01761353824900708,,,,GCF_011044475.1.fna,input_sig/GCF_011044475.1.fna.k51.sig,0a3a4ba8cd342941787f000be36b100e,0.41975308641975306,2040000,1,2160000,1119564.scaffolds.fasta,,509570d5,115820000
7740000,0.06682783629770334,0.01722109316504439,0.01390088067691245,0.01390088067691245,,,,GCA_000382605.1.fna,input_sig/GCA_000382605.1.fna.k51.sig,f8d0f4c8aeaf1197cd6a346e63a4192c,0.08278960316611403,1610000,2,550000,1119564.scaffolds.fasta,,509570d5,115820000
360000,0.003108271455707132,0.04918032786885246,0.003108271455707132,0.003108271455707132,,,,GCA_011753085.1.fna,input_sig/GCA_011753085.1.fna.k51.sig,3017937ecd1c380344c7c1062832e2f7,0.04918032786885246,360000,3,190000,1119564.scaffolds.fasta,,509570d5,115820000
180000,0.001554135727853566,0.012033694344163659,0.0008634087376964255,0.0008634087376964255,,,,GCA_011753045.1.fna,input_sig/GCA_011753045.1.fna.k51.sig,7b878cd72981707a942b35d7c2904ac8,0.021660649819494584,100000,4,90000,1119564.scaffolds.fasta,,509570d5,115820000
30000,0.0002590226213089276,0.007058823529411765,0.0002590226213089276,0.0002590226213089276,,,,GCA_002928325.1.fna,input_sig/GCA_002928325.1.fna.k51.sig,a79ac191490384b6201aa780a4f57d89,0.007058823529411765,30000,5,60000,1119564.scaffolds.fasta,,509570d5,115820000
70000,0.0006043861163874979,0.0010799136069114472,0.0002590226213089276,0.0002590226213089276,,,,ICBG2047.fna,input_sig/ICBG2047.fna.k51.sig,731bd2168ec0e826ecdc9dd777c6936e,0.0025197984161267097,30000,6,30000,1119564.scaffolds.fasta,,509570d5,115820000
10000,8.634087376964255e-05,0.0024330900243309003,8.634087376964255e-05,8.634087376964255e-05,,,,GCA_011753255.1.fna,input_sig/GCA_011753255.1.fna.k51.sig,2267779531016036abfee16cf279733c,0.0024330900243309003,10000,7,20000,1119564.scaffolds.fasta,,509570d5,115820000
10000,8.634087376964255e-05,0.00035124692658939234,8.634087376964255e-05,8.634087376964255e-05,,,,GCF_000002655.1_ASM265v1_genomic.fna,input_sig/GCF_000002655.1_ASM265v1_genomic.fna.k51.sig,da51220c51981b8ab2e14e3603fab7b9,0.00035124692658939234,10000,8,10000,1119564.scaffolds.fasta,,509570d5,115820000
20000,0.0001726817475392851,0.000343878954607978,8.634087376964255e-05,8.634087376964255e-05,,,,ICBG2046.fna,input_sig/ICBG2046.fna.k51.sig,b78f627e07f6ed1f8804e5e6856012a2,0.000687757909215956,10000,9,0,1119564.scaffolds.fasta,,509570d5,115820000
