intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
48580000,0.024960180855983147,0.37761368052856586,0.024960180855983147,0.024960180855983147,,,,GCA_022457215.1.fna,input_sig/GCA_022457215.1.fna.k51.sig,61a8610e5b1824da60ba94cea13b0942,0.37761368052856586,48580000,0,11410000,11231.7.197622.CGTACG.fastq.gz.abundtrim,,96cc9d49,1946300000
2630000,0.0013512819195396393,0.6188235294117647,0.0013512819195396393,0.0013512819195396393,,,,GCA_002928325.1.fna,input_sig/GCA_002928325.1.fna.k51.sig,a79ac191490384b6201aa780a4f57d89,0.6188235294117647,2630000,1,8780000,11231.7.197622.CGTACG.fastq.gz.abundtrim,,96cc9d49,1946300000
13430000,0.0069002723115655345,0.02716868114236817,0.0013050403329394236,0.0013050403329394236,,,,GCA_000382605.1.fna,input_sig/GCA_000382605.1.fna.k51.sig,f8d0f4c8aeaf1197cd6a346e63a4192c,0.1436517274574821,2540000,2,6240000,11231.7.197622.CGTACG.fastq.gz.abundtrim,,96cc9d49,1946300000
1430000,0.0007347274315367621,0.294238683127572,0.0007347274315367621,0.0007347274315367621,,,,GCF_011044475.1.fna,input_sig/GCF_011044475.1.fna.k51.sig,0a3a4ba8cd342941787f000be36b100e,0.294238683127572,1430000,3,4810000,11231.7.197622.CGTACG.fastq.gz.abundtrim,,96cc9d49,1946300000
1270000,0.0006525201664697118,0.22568807339449543,0.0006319683502029492,0.0006319683502029492,,,,GCA_011752515.1.fna,input_sig/GCA_011752515.1.fna.k51.sig,5ff02c7c8a39597507e8ab1bf06be035,0.23302752293577983,1230000,4,3580000,11231.7.197622.CGTACG.fastq.gz.abundtrim,,96cc9d49,1946300000
1070000,0.0005497610851358989,0.18006993006993008,0.0005292092688691363,0.0005292092688691363,,,,GCA_011752685.1.fna,input_sig/GCA_011752685.1.fna.k51.sig,5effad1723a84a98ceb21c3cc914f5a7,0.18706293706293706,1030000,5,2550000,11231.7.197622.CGTACG.fastq.gz.abundtrim,,96cc9d49,1946300000
950000,0.0004881056363356112,0.1335676625659051,0.00039048450906848894,0.00039048450906848894,,,,GCA_011752625.1.fna,input_sig/GCA_011752625.1.fna.k51.sig,efd871c192ddb1665cf4f4d8d38070f1,0.16695957820738136,760000,6,1790000,11231.7.197622.CGTACG.fastq.gz.abundtrim,,96cc9d49,1946300000
500000,0.0002568977033345322,0.09040590405904059,0.00025175974926784156,0.00025175974926784156,,,,GCA_011752615.1.fna,input_sig/GCA_011752615.1.fna.k51.sig,750376065720fabd488ec578a7042a9d,0.09225092250922509,490000,7,1300000,11231.7.197622.CGTACG.fastq.gz.abundtrim,,96cc9d49,1946300000
1260000,0.0006473822124030211,0.057803468208092484,0.0001541386220007193,0.0001541386220007193,,,,GCA_002928355.1.fna,input_sig/GCA_002928355.1.fna.k51.sig,faaad7ff39d4b3a81d3e732c46e191be,0.24277456647398843,300000,8,1000000,11231.7.197622.CGTACG.fastq.gz.abundtrim,,96cc9d49,1946300000
2430000,0.0012485228382058265,0.0343980343980344,7.193135693366901e-05,7.193135693366901e-05,,,,GCA_011752675.1.fna,input_sig/GCA_011752675.1.fna.k51.sig,684003673069dd77e08162eee740329b,0.597051597051597,140000,9,860000,11231.7.197622.CGTACG.fastq.gz.abundtrim,,96cc9d49,1946300000
