intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
3909000,0.04784284927483018,0.068784092908675,0.04784284927483018,0.04784284927483018,,,,"GCA_011421375.1 Fusarium oxysporum strain=EtdFoc-189, ASM1142137v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,0559f50fbf6dd49b2e6c34275b92f269,0.068784092908675,3909000,0,4839000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
1059000,0.012961263080594823,0.01899693306873534,0.012887828162291169,0.012887828162291169,,,,"GCA_009298925.1 Fusarium oxysporum strain=VPRI42339, ASM929892v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,70d35a3c1bde8839889a2e1cfc584f5a,0.01910517770160563,1053000,1,3786000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
908000,0.011113150969952879,0.011267004132490925,0.010978520286396181,0.010978520286396181,,,,"GCA_001013415.1 Puccinia arachidis strain=MRf11, ASM101341v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,4af773e2a6b63626906a6dc3b629f1de,0.01140517252207554,897000,2,2889000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
705000,0.008628602900679273,0.019398214482530585,0.008616363747628664,0.008616363747628664,,,,"GCA_020744315.1 Curvularia eragrostidis cultivar=eragrostidis, /ecotype=IBT, /strain=C52, ASM2074431v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,3e8c6e6d1b05732c9d0503a07437ceb2,0.019425768764465997,704000,3,2185000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
908000,0.011113150969952879,0.004379988320031147,0.003855333210941803,0.003855333210941803,,,,"GCA_020740365.1 Calonectria ilicicola strain=GDGZ125, ASM2074036v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,69a3fa10f8626e173cee829a21fc49ae,0.0126254901415501,315000,4,1870000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
274000,0.003353527935866838,0.005501395574612678,0.00332904962976562,0.00332904962976562,,,,"GCA_019925775.1 Aureobasidium melanogenum strain=EXF-8258, ASM1992577v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,146c715b73fe9ab0813401806a45d1b9,0.0055418470126613,272000,5,1598000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
257000,0.003145462334006487,0.004753507628613049,0.0030353099565510067,0.0030353099565510067,,,,"GCA_009299095.1 Fusarium oxysporum strain=VPRI42119, ASM929909v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,1272cfb8e991ce07671a5268f45a1f0a,0.004926013953844974,248000,6,1350000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
534000,0.006535707729025152,0.004196743327178109,0.002141851783856557,0.002141851783856557,,,,"GCA_016618355.2 Astraeus odoratus, ASM1661835v2",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,82d8f6e6f738e030dababdede9409399,0.012806062495503489,175000,7,1175000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
145000,0.0017746771923382902,0.0030552546045503792,0.0017257205801358545,0.0017257205801358545,,,,"GCA_006523515.1 Corynespora cassiicola, ASM652351v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,7167e5138f1982745aae09de44bda150,0.00314192849404117,141000,8,1034000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
116000,0.0014197417538706321,0.0034497367306179265,0.0013952634477694143,0.0013952634477694143,,,,"GCA_012650125.1 Ceratocystis albifundus strain=CMW24860, ASM1265012v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,abbf64c118e8a31ad97fd007f06f2c6c,0.003510258427646311,114000,9,920000,CypfungaCombined_FD_2030936005.a.fna,CLOF_contig00001,40724a5f,81705000
