intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4674000,0.004096083569218905,0.9253613145911701,0.004096083569218905,0.4460366792955679,1943.0335900727428,2114.5,1085.4268570808406,"GCA_017052115.1 Pantoea stewartii subsp. indologenes strain=PANS 07-6, ASM1705211v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,e3c23af48347ce2225d58d58eb1336f3,0.9253613145911701,4674000,0,65253000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
4435000,0.0038866347089186654,0.8396137095247113,0.003885758353854648,0.00970774033396937,44.57803337843933,27.0,62.48011952726579,"GCA_003057735.2 Pseudomonas sp. RIT 411 strain=RIT 411, ASM305773v2",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,25364a8ba9aea8c3689e4c4e86cc1df3,0.8398030676008332,4434000,1,60819000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
3956000,0.003466860633254169,0.8307659843848914,0.003450209887037832,0.0009179327368947912,4.7472694945389895,3.0,48.742587755463674,"GCA_009755685.1 Enterobacter asburiae strain=AEB30, ASM975568v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,b1e7ced572f7f546ce2ec4926abeff9b,0.8347752690441022,3937000,2,56882000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
3619000,0.003171528976680192,0.7812294902647123,0.00312946393360734,0.059765672252631984,340.76925231027724,367.0,389.3759512831597,"GCA_007679955.1 Pantoea agglomerans strain=DE0059, ASM767995v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,fb15133dfdb2dd511d97f59eb7ab4ac6,0.7917304747320061,3571000,3,53311000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
2423000,0.0021234083201149777,0.47413112164297,0.0021041285087065875,0.0011190528309335376,9.489795918367347,9.0,5.915974181875408,"GCA_001716895.1 Serratia marcescens strain=UENF-22GI, ASM171689v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,380d3e2fee416ab1333fbe4194077b7c,0.47847551342812006,2401000,4,50910000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
2115000,0.0018534909603975147,0.23177283192632386,0.001852614605333497,0.0001942933069639269,1.871333964049196,1.0,2.348231770820285,"GCA_020420265.1 Burkholderia cepacia strain=AU23071, ASM2042026v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,460acb5c0be7bc43319f4afd1aa2dcb8,0.2318824690275189,2114000,5,48796000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1693000,0.0014836691233820294,0.31591309453904876,0.0014144370733246282,0.00016069962092668576,2.0272614622057,1.0,16.41897986890035,"GCA_900637945.1 Klebsiella aerogenes strain=NCTC9735, 53421_E01",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,5d899778a101484738bcf51f10b71f23,0.3313760031317283,1614000,6,47182000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1637000,0.0014345932397970362,0.3002680965147453,0.0013741247403798124,0.0003236093527768742,4.202168367346939,1.0,59.34883103565042,"GCA_002858935.1 Pantoea endophytica strain=596, ASM285893v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,b36eaf838090ebac3caa3c2b1821156a,0.3134814247414784,1568000,7,45614000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
2255000,0.001976180669359998,0.25101140125045973,0.0011962246623842116,0.003644030890671264,54.356043956043955,19.0,67.32763347273065,"GCA_913775755.1 uncultured Pseudomonas sp., S1C62909_SP162_cleaned",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,a8383e1cd91c46860663365269f455c3,0.41467451268848843,1365000,8,44249000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
2082000,0.0018245712432849294,0.1338501881199407,0.0010288408451568237,9.213706872202399e-05,1.5979557069846677,1.0,1.0732281438747022,"GCA_002223085.1 Burkholderia sp. HI2714 strain=HI2714, ASM222308v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,ee2be86068e575d2e2c2ec7801cf6e89,0.23737316155512483,1174000,9,43075000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
2425000,0.0021251610302430134,0.2278797996661102,0.0009569797299073693,0.00011664474318486512,2.1749084249084247,1.0,12.080377653824126,"GCA_018455465.1 Enterobacter asburiae strain=CVM 45463, PDT000589423.2",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,352deef19259b8af443207930242fdf5,0.5060517529215359,1092000,10,41983000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
2227000,0.0019516427275675012,0.20757695343330704,0.0009219255273466598,0.001419873484410295,27.480988593155892,3.0,62.79941678736012,"GCA_014522265.1 Pseudomonas psychrotolerans strain=KNF2016, ASM1452226v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,c10368aca38603ea12504b9bc46e8138,0.43942383583267564,1052000,11,40931000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
4593000,0.004025098809033468,0.1959234608985025,0.0008255264703047086,0.045989854412135295,994.0530785562632,858.5,804.619251219605,"GCA_017051935.1 Pantoea stewartii subsp. indologenes strain=PANS 07-14, ASM1705193v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,7db75d5e893e4e6951c9a831eb3dad67,0.9552828618968386,942000,12,39989000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1573000,0.001378506515699901,0.1239601800081822,0.0007966067531921233,9.218618229810183e-05,2.064906490649065,2.0,1.443916915325363,"GCA_011753085.1 Burkholderia sp. Tr-862 strain=Tr-862, ASM1175308v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,511616c2c2b80ad2d7f8056b5c617fb8,0.21450975044320197,909000,13,39080000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
4342000,0.0038051336879650157,0.18099733223886721,0.0007729451664636444,0.0008136646148815413,18.78344671201814,12.0,27.023539715917543,"GCA_913777085.1 uncultured Pseudomonas sp., SP29_3_metabat2_genome_mining.23",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,1cda99e3248b7f8f2c81dc3caa731b66,0.8910322183459881,882000,14,38198000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
768000,0.0006730406891656223,0.11409395973154363,0.0006704116239735691,6.3945876053345e-05,1.7019607843137254,1.0,12.070492680124776,"GCA_003096615.1 Methylobacterium organophilum strain=DSM 760, ASM309661v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,090d09e28d6c1474f5aa09ef474267c2,0.1145413870246085,765000,15,37433000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1943000,0.0017027578893864638,0.05312653519545231,0.0006634007834614272,0.0002659009008854146,7.1519154557463676,1.0,89.01284197587252,"GCA_900496815.1 Klebsiella pneumoniae strain=4300STDY7045912, 24276_3#68",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,755c510df16405f684ef4032445e96a4,0.13636044634711209,757000,16,36676000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1784000,0.0015634174342076435,0.13803230543318648,0.0006590190081413386,0.002002409610269531,54.21675531914894,21.0,64.83723144121291,"GCA_001512295.1 Pseudomonas sp. EpS/L25 strain=EpSL25, ASM151229v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,b172705e27cbf5a141c550248a6fd078,0.3274596182085169,752000,17,35924000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
747000,0.0006546372328212498,0.13442081354532315,0.0005705071466755471,6.311094526002176e-05,1.9738863287250383,1.0,14.108236205453208,"GCA_003864115.1 Kosakonia sp. CCTCC M2018092 strain=CCTCC M2018092, ASM386411v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,d5558f87d1ba90b75f62180a271a2357,0.15424323766260584,651000,18,35273000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
3465000,0.0030365702968214604,0.1385881333910784,0.000560867240971352,0.008101235260463292,257.7328125,352.5,172.1692177723412,"GCA_001485375.1 Type-F symbiont of Plautia stali, F_1.0",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,864341bde06d3e0e0e1e508aca22eb37,0.7503248159376353,640000,19,34633000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
