#
#,Current,dir:,/home/gotting/jgi
#,Date:,Wed,Jul,13,20:42:42,2022
#,Pipeline,mode:,SCAN
#,Program:,cmscan
#,Query,file:,AttcapACBM1_FD/111485.assembled.fna
#,Target,file:,/home/gotting/db/Rfam.cm
#,Version:,1.1.2,(July,2016)
#,[ok]
#---,--------------------,---------,--------------------,---------,---------,---,--------,--------,--------,--------,------,-----,----,----,-----,------,---------,---,---,------,------,------,------,------,------,---------------------
#idx,target,name,accession,query,name,accession,clan,name,mdl,mdl,from,mdl,to,seq,from,seq,to,strand,trunc,pass,gc,bias,score,E-value,inc,olp,anyidx,afrct1,afrct2,winidx,wfrct1,wfrct2,description,of,target
1,tRNA,RF00005,Ga0157357_1154063,-,CL00001,cm,28,71,1,45,+,5',2,0.60,0.0,29.8,0.0082,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0157357_1031666,-,CL00001,cm,27,71,1,46,+,5',2,0.61,0.0,29.2,0.012,!,*,-,-,-,-,-,-,tRNA
3,SSU_rRNA_archaea,RF01959,Ga0157357_1130387,-,CL00111,cm,1430,1477,1,48,+,5',2,0.58,0.0,50.4,6e-11,!,=,2,1.000,0.960,",",",Archaeal,small,subunit,ribosomal,RNA
2,SSU_rRNA_bacteria,RF00177,Ga0157357_1130387,-,CL00111,cm,1484,1533,1,50,+,5',2,0.56,0.0,50.8,2.9e-12,!,^,-,-,-,-,-,-,Bacterial,small,subunit,ribosomal,RNA
2,tRNA,RF00005,Ga0157357_1132551,-,CL00001,cm,22,71,1,51,+,5',2,0.57,0.0,35.3,0.00024,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0157357_1128954,-,CL00001,cm,20,71,1,53,+,5',2,0.66,0.0,37.4,6.1e-05,!,*,-,-,-,-,-,-,tRNA
3,SSU_rRNA_eukarya,RF01960,Ga0157357_1095233,-,CL00111,cm,1794,1851,1,58,+,5',2,0.53,0.0,51.7,1.8e-11,!,=,1,1.000,0.921,",",",Eukaryotic,small,subunit,ribosomal,RNA
3,SSU_rRNA_eukarya,RF01960,Ga0157357_1201235,-,CL00111,cm,1794,1851,1,58,+,5',2,0.53,0.0,51.7,1.8e-11,!,=,1,1.000,0.921,",",",Eukaryotic,small,subunit,ribosomal,RNA
4,SSU_rRNA_eukarya,RF01960,Ga0157357_1172033,-,CL00111,cm,1794,1851,1,58,+,5',2,0.57,0.0,51.7,1.8e-11,!,=,1,1.000,0.921,",",",Eukaryotic,small,subunit,ribosomal,RNA
1,tRNA,RF00005,Ga0157357_1172146,-,CL00001,cm,15,71,1,59,+,5',2,0.68,0.0,37.1,7.4e-05,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0157357_1006595,-,CL00001,cm,13,71,1,61,+,5',2,0.62,0.0,34.7,0.00034,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0157357_1142294,-,CL00001,cm,13,71,1,61,+,5',2,0.67,0.0,39.5,1.6e-05,!,*,-,-,-,-,-,-,tRNA
2,SSU_rRNA_archaea,RF01959,Ga0157357_1095233,-,CL00111,cm,1417,1477,1,61,+,5',2,0.54,0.0,53.7,6.4e-12,!,=,1,1.000,0.968,",",",Archaeal,small,subunit,ribosomal,RNA
2,SSU_rRNA_archaea,RF01959,Ga0157357_1201235,-,CL00111,cm,1417,1477,1,61,+,5',2,0.54,0.0,53.7,6.4e-12,!,=,1,1.000,0.968,",",",Archaeal,small,subunit,ribosomal,RNA
3,SSU_rRNA_archaea,RF01959,Ga0157357_1172033,-,CL00111,cm,1417,1477,1,61,+,5',2,0.57,0.0,55.5,1.8e-12,!,=,1,1.000,0.968,",",",Archaeal,small,subunit,ribosomal,RNA
1,SSU_rRNA_bacteria,RF00177,Ga0157357_1095233,-,CL00111,cm,1471,1533,1,63,+,5',2,0.52,0.0,59.9,3.3e-15,!,^,-,-,-,-,-,-,Bacterial,small,subunit,ribosomal,RNA
1,SSU_rRNA_bacteria,RF00177,Ga0157357_1172033,-,CL00111,cm,1471,1533,1,63,+,5',2,0.56,0.0,61.4,1e-15,!,^,-,-,-,-,-,-,Bacterial,small,subunit,ribosomal,RNA
1,SSU_rRNA_bacteria,RF00177,Ga0157357_1201235,-,CL00111,cm,1471,1533,1,63,+,5',2,0.52,0.0,59.9,3.3e-15,!,^,-,-,-,-,-,-,Bacterial,small,subunit,ribosomal,RNA
1,tRNA,RF00005,Ga0157357_1160788,-,CL00001,cm,10,71,1,64,+,5',2,0.67,0.0,45.3,3.7e-07,!,*,-,-,-,-,-,-,tRNA
2,tRNA,RF00005,Ga0157357_1136879,-,CL00001,cm,11,71,1,64,+,5',2,0.55,0.0,47.4,9.5e-08,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0157357_1145505,-,CL00001,cm,17,71,1,65,+,5',2,0.57,0.0,33.4,0.00081,!,*,-,-,-,-,-,-,tRNA
1,rimP,RF01770,Ga0157357_1042284,-,-,cm,34,111,1,68,+,5',2,0.40,0.0,64.2,3.5e-08,!,*,-,-,-,-,-,-,Gammaprotebacteria,rimP,leader
1,rimP,RF01770,Ga0157357_1042286,-,-,cm,34,111,1,68,+,5',2,0.40,0.0,64.2,3.5e-08,!,*,-,-,-,-,-,-,Gammaprotebacteria,rimP,leader
1,tRNA,RF00005,Ga0157357_1186357,-,CL00001,cm,3,71,1,69,+,5',2,0.30,0.0,43.9,9.5e-07,!,*,-,-,-,-,-,-,tRNA
3,SSU_rRNA_eukarya,RF01960,Ga0157357_1195266,-,CL00111,cm,1783,1851,1,69,+,5',2,0.51,0.0,52.1,1.3e-11,!,=,1,1.000,0.932,",",",Eukaryotic,small,subunit,ribosomal,RNA
3,SSU_rRNA_eukarya,RF01960,Ga0157357_1195531,-,CL00111,cm,1783,1851,1,69,+,5',2,0.51,0.0,52.1,1.3e-11,!,=,1,1.000,0.932,",",",Eukaryotic,small,subunit,ribosomal,RNA
4,SSU_rRNA_eukarya,RF01960,Ga0157357_1041937,-,CL00111,cm,1783,1851,1,69,+,5',2,0.51,0.0,52.1,1.3e-11,!,=,2,1.000,0.932,",",",Eukaryotic,small,subunit,ribosomal,RNA
1,tRNA,RF00005,Ga0157357_1155920,-,CL00001,cm,5,71,1,70,+,5',2,0.49,0.0,38.0,4.2e-05,!,*,-,-,-,-,-,-,tRNA
1,tRNA,RF00005,Ga0157357_1186164,-,CL00001,cm,2,71,1,70,+,5',2,0.30,0.0,45.6,3.2e-07,!,*,-,-,-,-,-,-,tRNA
