intersect_bp,jaccard,max_containment,f_query_match,f_match_query,match_filename,match_name,match_md5,match_bp,query_filename,query_name,query_md5,query_bp
7700000,0.0328484279680901,0.08236174991977752,0.08236174991977752,0.051809985197147086,GCA_000382605.1.fna,,f8d0f4c8,93490000,1119575.scaffolds.fasta,,db861f34,148620000
10000,6.541933795629989e-05,0.002352941176470588,0.002352941176470588,6.728569506122998e-05,GCA_002928325.1.fna,,a79ac191,4250000,1119575.scaffolds.fasta,,db861f34,148620000
30000,0.00019508388607101054,0.005780346820809248,0.005780346820809248,0.00020185708518368994,GCA_002928355.1.fna,,faaad7ff,5190000,1119575.scaffolds.fasta,,db861f34,148620000
30000,0.00019476725313250664,0.0055147058823529415,0.0055147058823529415,0.00020185708518368994,GCA_002928365.1.fna,,491c7c35,5440000,1119575.scaffolds.fasta,,db861f34,148620000
30000,0.00019475460919241757,0.005504587155963303,0.005504587155963303,0.00020185708518368994,GCA_011752515.1.fna,,5ff02c7c,5450000,1119575.scaffolds.fasta,,db861f34,148620000
30000,0.00019508388607101054,0.005780346820809248,0.005780346820809248,0.00020185708518368994,GCA_011752575.1.fna,,faaad7ff,5190000,1119575.scaffolds.fasta,,db861f34,148620000
10000,6.492241771083555e-05,0.0018450184501845018,0.0018450184501845018,6.728569506122998e-05,GCA_011752615.1.fna,,75037606,5420000,1119575.scaffolds.fasta,,db861f34,148620000
10000,6.480881399870383e-05,0.0017574692442882249,0.0017574692442882249,6.728569506122998e-05,GCA_011752625.1.fna,,efd871c1,5690000,1119575.scaffolds.fasta,,db861f34,148620000
20000,0.00013007284079084288,0.003875968992248062,0.003875968992248062,0.00013457139012245997,GCA_011752635.1.fna,,dea459ea,5160000,1119575.scaffolds.fasta,,db861f34,148620000
10000,6.549646319098769e-05,0.002457002457002457,0.002457002457002457,6.728569506122998e-05,GCA_011752675.1.fna,,68400367,4070000,1119575.scaffolds.fasta,,db861f34,148620000
30000,0.0001944138422655693,0.005244755244755245,0.005244755244755245,0.00020185708518368994,GCA_011752685.1.fna,,5effad17,5720000,1119575.scaffolds.fasta,,db861f34,148620000
290000,0.0018842180495094536,0.05197132616487455,0.05197132616487455,0.0019512851567756696,GCA_011752715.1.fna,,3f9535a0,5580000,1119575.scaffolds.fasta,,db861f34,148620000
290000,0.0018842180495094536,0.05197132616487455,0.05197132616487455,0.0019512851567756696,GCA_011752735.1.fna,,3f9535a0,5580000,1119575.scaffolds.fasta,,db861f34,148620000
490000,0.0032011498007447573,0.09919028340080972,0.09919028340080972,0.003296999058000269,GCA_011752745.1.fna,,e9ee7271,4940000,1119575.scaffolds.fasta,,db861f34,148620000
280000,0.0018232727746304617,0.05353728489483748,0.05353728489483748,0.0018839994617144396,GCA_011752755.1.fna,,c2868438,5230000,1119575.scaffolds.fasta,,db861f34,148620000
110000,0.0007171262794184758,0.022540983606557378,0.022540983606557378,0.0007401426456735298,GCA_011752765.1.fna,,322a110d,4880000,1119575.scaffolds.fasta,,db861f34,148620000
10000,6.513809275664408e-05,0.002036659877800407,0.002036659877800407,6.728569506122998e-05,GCA_011752815.1.fna,,ff3e1930,4910000,1119575.scaffolds.fasta,,db861f34,148620000
20000,0.0001305653479566523,0.004366812227074236,0.004366812227074236,0.00013457139012245997,GCA_011752835.1.fna,,2a5f74a7,4580000,1119575.scaffolds.fasta,,db861f34,148620000
170000,0.0011102403343782655,0.03640256959314775,0.03640256959314775,0.0011438568160409097,GCA_011752845.1.fna,,04760ff8,4670000,1119575.scaffolds.fasta,,db861f34,148620000
10000,6.515506906437321e-05,0.002053388090349076,0.002053388090349076,6.728569506122998e-05,GCA_011752855.1.fna,,f74384a2,4870000,1119575.scaffolds.fasta,,db861f34,148620000
10000,6.515082415792559e-05,0.0020491803278688526,0.0020491803278688526,6.728569506122998e-05,GCA_011752865.1.fna,,0a5d5582,4880000,1119575.scaffolds.fasta,,db861f34,148620000
10000,6.383250351078769e-05,0.0012422360248447205,0.0012422360248447205,6.728569506122998e-05,GCA_011752985.1.fna,,2163b024,8050000,1119575.scaffolds.fasta,,db861f34,148620000
10000,6.377144314775843e-05,0.0012195121951219512,0.0012195121951219512,6.728569506122998e-05,GCA_011753035.1.fna,,f9a0dfd9,8200000,1119575.scaffolds.fasta,,db861f34,148620000
20000,0.00012746160219233955,0.0024067388688327317,0.0024067388688327317,0.00013457139012245997,GCA_011753045.1.fna,,7b878cd7,8310000,1119575.scaffolds.fasta,,db861f34,148620000
10000,6.385696040868455e-05,0.0012515644555694619,0.0012515644555694619,6.728569506122998e-05,GCA_011753075.1.fna,,ed17eed3,7990000,1119575.scaffolds.fasta,,db861f34,148620000
10000,6.413134098634002e-05,0.001366120218579235,0.001366120218579235,6.728569506122998e-05,GCA_011753085.1.fna,,3017937e,7320000,1119575.scaffolds.fasta,,db861f34,148620000
20000,0.00012748597654258032,0.0024154589371980675,0.0024154589371980675,0.00013457139012245997,GCA_011753135.1.fna,,68009c3d,8280000,1119575.scaffolds.fasta,,db861f34,148620000
20000,0.00012749410339771785,0.0024183796856106408,0.0024183796856106408,0.00013457139012245997,GCA_011753145.1.fna,,6761aa32,8270000,1119575.scaffolds.fasta,,db861f34,148620000
