intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4059000,0.04926329587105857,0.012449354529031625,0.04926329587105857,0.015334434571509863,3.6913032766691303,1.0,90.86304626414153,GCA_019149425.1_CENIBiot_Cas_1.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,57dd331d4ea20e1a21e8127f108ff69e,0.012449354529031625,4059000,0,2913000,FG2.fastq.gz,,2b58139f,82394000
587000,0.007124305167852028,0.00011031401643820533,0.006614559312571304,0.010948927520924549,19.629357798165138,1.0,207.6450443887853,GCA_014338645.1_ASM1433864v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b404ebeeb8c725b1bf7e86a81b3eeac0,0.0001188152800903239,545000,1,2368000,FG2.fastq.gz,,2b58139f,82394000
1900000,0.02305993154841372,0.0014918612790730823,0.00571643566279098,0.00058439312155991,1.2123142250530785,1.0,1.7766882629320588,GCA_016432845.1_guava_v11.23_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,95cb7ae2dbd548c35244828bd2f7d1d2,0.006018124055708824,471000,2,1897000,FG2.fastq.gz,,2b58139f,82394000
274000,0.0033254848654028207,0.00048094329732563103,0.0021603514819040224,0.0025944598303929457,14.241573033707866,1.0,162.24458946605492,GCA_022530915.1_ASM2253091v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,8c4f4903b390fb6b329e8ed3eee665ca,0.0007403284464450725,178000,3,1719000,FG2.fastq.gz,,2b58139f,82394000
156000,0.0018933417481855476,0.0003895962224750269,0.0012136806078112483,0.00017194053313846738,1.68,1.0,3.4695244630928883,GCA_009761775.1_UNIPI_FiCari_1.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a30142346aaa3e0b012b2e6cd3f4770c,0.000607770107061042,100000,4,1619000,FG2.fastq.gz,,2b58139f,82394000
484000,0.0058742141418064425,2.008490739304735e-05,0.001177270189576911,0.0003305761440697915,3.329896907216495,1.0,12.101564736080073,GCA_902810645.1_Triticum_aestivum_Cadenza_EIv1.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,fd53a6bd0bcd2d7f2626719d222a5cfb,0.0001002174760642775,97000,5,1522000,FG2.fastq.gz,,2b58139f,82394000
178000,0.0021603514819040224,0.0002293035090833777,0.001128722965264461,0.0008883594212154149,9.333333333333334,1.0,76.30095101273663,GCA_010261695.1_La_Amiga3.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73767c04d625fb0443ae1675113386f4,0.0004388819851273251,93000,6,1429000,FG2.fastq.gz,,2b58139f,82394000
369000,0.0044784814428235065,0.00028695522789913346,0.000983081292327111,0.00018422199979121508,2.2222222222222223,1.0,3.6884872605995187,GCA_019926035.1_SCU_Malt_1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,241d069a8793e7287e741eb6df3c5182,0.001307240482651608,81000,7,1348000,FG2.fastq.gz,,2b58139f,82394000
236000,0.002864286234434546,8.577937300180013e-05,0.0008495764254678738,0.0001852454553456107,2.585714285714286,1.0,8.365734289593568,GCA_001990705.1_Zm-F7-REFERENCE-TUM-1.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,fb48d75ea379419b85761f6d3f229dff,0.0002891990289774976,70000,8,1278000,FG2.fastq.gz,,2b58139f,82394000
331000,0.004017282811855232,3.181395629733e-05,0.0007160715586086365,0.0005506190882648539,9.11864406779661,1.0,20.506373334014725,GCA_910594505.1_hordeum_vulgare_accession_hor_337_contigs_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,84cf0563c97674146150abf4f478ae67,0.0001784816870240039,59000,9,1219000,FG2.fastq.gz,,2b58139f,82394000
