intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
13990000,0.009459093982420555,0.10874465604352895,0.009459093982420555,0.009459093982420555,,,,GCA_022457215.1.fna,input_sig/GCA_022457215.1.fna.k51.sig,61a8610e5b1824da60ba94cea13b0942,0.10874465604352895,13990000,0,22040000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
6560000,0.004435429344151453,0.8961748633879781,0.004435429344151453,0.004435429344151453,,,,GCA_011753085.1.fna,input_sig/GCA_011753085.1.fna.k51.sig,3017937ecd1c380344c7c1062832e2f7,0.8961748633879781,6560000,1,15480000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
5420000,0.003664638269100744,0.6113116726835138,0.0034347532116294796,0.0034347532116294796,,,,GCA_011753045.1.fna,input_sig/GCA_011753045.1.fna.k51.sig,7b878cd72981707a942b35d7c2904ac8,0.6522262334536703,5080000,2,10400000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
3980000,0.0026910074374577415,0.8189300411522634,0.0026910074374577415,0.0026910074374577415,,,,GCF_011044475.1.fna,input_sig/GCF_011044475.1.fna.k51.sig,0a3a4ba8cd342941787f000be36b100e,0.8189300411522634,3980000,3,6420000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
2110000,0.0014266396213657878,0.4271255060728745,0.0014266396213657878,0.0014266396213657878,,,,GCA_011752745.1.fna,input_sig/GCA_011752745.1.fna.k51.sig,e9ee7271a108a5cb0d4a949cda15c65f,0.4271255060728745,2110000,4,4310000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
8240000,0.00557133198106829,0.019039469461974542,0.0012035158891142664,0.0012035158891142664,,,,GCA_000382605.1.fna,input_sig/GCA_000382605.1.fna.k51.sig,f8d0f4c8aeaf1197cd6a346e63a4192c,0.08813776874532035,1780000,5,2530000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
1240000,0.0008384043272481406,0.2206148282097649,0.0008248816768086545,0.0008248816768086545,,,,GCF_009648975.1.fna,input_sig/GCF_009648975.1.fna.k51.sig,23562a2acc2d90fe535110e38d33904a,0.22423146473779385,1220000,6,1310000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
590000,0.0003989181879648411,0.09635974304068523,0.00030425963488843813,0.00030425963488843813,,,,GCA_011752845.1.fna,input_sig/GCA_011752845.1.fna.k51.sig,04760ff86fa214b2a2b4772ac5a1949f,0.12633832976445397,450000,7,860000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
1160000,0.000784313725490196,0.023297491039426525,8.789722785665991e-05,8.789722785665991e-05,,,,GCA_011752715.1.fna,input_sig/GCA_011752715.1.fna.k51.sig,3f9535a0c8ccbf51c0959fa59f2f6024,0.2078853046594982,130000,8,730000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
80000,5.409060175794456e-05,0.01094391244870041,5.409060175794456e-05,5.409060175794456e-05,,,,GCF_003290485.1_ASM329048v1_genomic.fna,input_sig/GCF_003290485.1_ASM329048v1_genomic.fna.k51.sig,4a6141005d6c5a12249a62e2f60b41af,0.01094391244870041,80000,9,650000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
