intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
17021000,0.3884122130436767,0.15745023310885814,0.3884122130436767,0.8648675619946026,82.99435990834851,8.0,5908.574173836329,"GCA_022457215.1 Leucoagaricus gongylophorus strain=LEU18496, HybridAssembly_LEU18496",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,49e72065873690f56cbf53e83438fb8f,0.15745023310885814,17021000,0,921000,FG3.fastq.gz,,fe45ed7a,43822000
9930000,0.22659851216284058,0.005151018496839147,0.010542649810597417,0.0030250378359316455,10.694805194805195,4.0,45.76582515627549,"GCA_000382605.1 Leucoagaricus gongylophorus Ac12 strain=Ac12, LAG Assembly",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,6095686dfa38e959cbd064e7b1756f76,0.11071344950998428,462000,1,459000,FG3.fastq.gz,,fe45ed7a,43822000
111000,0.0025329743051435353,0.0018608442916386062,0.0023960567751357765,0.002502191790215065,38.923809523809524,20.0,54.43680394349733,"GCA_900068925.1 Infundibulicybe gibba, Clitocybe_gibba-8",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,8c4756c7bf6608c130f6e64f54687a0b,0.001967178251160812,105000,2,354000,FG3.fastq.gz,,fe45ed7a,43822000
98000,0.0022363196567933914,0.0006292306225569645,0.0007530464150426726,0.003096056736754975,153.24242424242425,24.0,369.1424977630307,"GCA_900068935.1 Gymnopilus junonius, Gymnopilus_junonius-8",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,e17c1e1426dc3e763f165a04b4c04f9f,0.001868624273047955,33000,3,321000,FG3.fastq.gz,,fe45ed7a,43822000
94000,0.0021450413034548857,0.0004867364322219518,0.0005020309433617818,0.0008926341155208134,66.27272727272727,15.0,114.77257425732374,"GCA_900068955.1 Clitocybe nebularis, Clitocybe_nebularis-8",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,ee442c7f6b4584de94e8a1fd3c26cc8e,0.0020796920285847034,22000,4,299000,FG3.fastq.gz,,fe45ed7a,43822000
21000,0.0004792113550271553,0.0005219527172244397,0.0003879330016886495,0.001252626474866656,120.3529411764706,18.0,241.11577428487863,"GCA_022684705.1 Beauveria bassiana ecotype=Costa Rica, /strain=ECA_27, ASM2268470v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,0d23390632a3a2f4afddbbd4e537d92a,0.000644765121277249,17000,5,282000,FG3.fastq.gz,,fe45ed7a,43822000
90000,0.00205376295011638,0.00031357792411414236,0.0003651134133540231,0.00031223827086118987,31.875,11.0,51.10268461636825,"GCA_001179705.1 Baeospora myosura, Baeospora_myosura-8",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,b635cc97e55051e875af6e4bee5469a6,0.0017638758231420509,16000,6,266000,FG3.fastq.gz,,fe45ed7a,43822000
244000,0.005567979553648852,0.0005120983228779926,0.0003651134133540231,6.183542226858858e-05,6.3125,1.0,11.655035124357198,"GCA_019327925.1 Leucocoprinus sp. KB1807203, ASM1932792v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,b5898af61a7208d43ba558668a3056de,0.007809499423889386,16000,7,250000,FG3.fastq.gz,,fe45ed7a,43822000
22000,0.0005020309433617818,2.2481172018434562e-05,0.00034229382501939663,0.0001904041220349609,20.733333333333334,4.0,45.292334401701524,"GCA_003724095.1 Austropuccinia psidii strain=Apsidii_AM, ASM372409v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,d1d5149049b4777f5d472220355a9204,3.297238562703736e-05,15000,8,235000,FG3.fastq.gz,,fe45ed7a,43822000
21000,0.0004792113550271553,8.77051936092149e-05,0.00027383506001551735,7.346782843792703e-06,1.0,1.0,0.0,"GCA_016946835.1 Neocallimastix sp. JGI-2020a strain=sp3, ASM1694683v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,360d9c6746cff78a7965173397647f0e,0.00015348408881612607,12000,9,223000,FG3.fastq.gz,,fe45ed7a,43822000
13000,0.00029665464835014374,0.00019953924574165108,0.0002510154716808909,7.959014747442096e-06,1.1818181818181819,1.0,0.38569460791993504,"GCA_022457145.1 Colletotrichum magnum strain=WT, ASM2245714v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,40f8ddbcb685b526d8d5582bee5ab375,0.00023581910860376946,11000,10,212000,FG3.fastq.gz,,fe45ed7a,43822000
52000,0.001186618593400575,0.00026402957131198697,0.0002510154716808909,0.00023203589148311954,34.45454545454545,27.0,37.13945130148272,"GCA_900068945.1 Entoloma clypeatum, Entoloma_clypeatum-8",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,2f709a81570fad05a3a4e41bb707cc4b,0.0012481397916566655,11000,11,201000,FG3.fastq.gz,,fe45ed7a,43822000
13000,0.00029665464835014374,0.00030985915492957747,0.0002510154716808909,4.469292896640561e-05,6.636363636363637,2.0,10.19155378708474,"GCA_000222875.2 Periglandula ipomoeae IasaF13 strain=IasaF13, PerIpo_1.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,f20de7136d0ad33c7fff93c09c04e636,0.00036619718309859154,11000,12,190000,FG3.fastq.gz,,fe45ed7a,43822000
20000,0.00045639176669252886,0.0003618183014275377,0.0002510154716808909,0.00010101826410214967,15.0,1.0,42.38996450705156,"GCA_000697215.1 Cunninghamella bertholletiae 175 strain=175, CunBer175-1.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,c28cc0df8249c9adaab6e3952f44e754,0.0006578514571409776,11000,13,179000,FG3.fastq.gz,,fe45ed7a,43822000
16000,0.0003651134133540231,0.000323530363324598,0.00022819588334626443,0.0033127868306468597,541.1,2.0,1018.5647205749864,"GCA_001276145.1 Mucor circinelloides strain=WJ11, ASM127614v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,7727fa8b8b2c2c2458635992082699cc,0.0005176485813193568,10000,14,169000,FG3.fastq.gz,,fe45ed7a,43822000
