intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
50977000,0.0446739520984322,0.13773621611106007,0.0446739520984322,0.0049965205487027655,1.9956843282264551,1.0,7.598370517970286,GCA_022530915.1_ASM2253091v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,8c4f4903b390fb6b329e8ed3eee665ca,0.13773621611106007,50977000,0,34785000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
9955000,0.008724114662296577,0.011429611797786903,0.008417390389890369,0.3581193016894235,759.1521082769391,359.0,969.4224301489944,GCA_002180455.1_ASM218045v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d956f9f6a1df8936ddc8a86ff740ca56,0.011846099473916566,9605000,1,25180000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
4635000,0.004061905721722213,0.009861366472964449,0.003219728505201167,0.006130847701796511,33.97659227000544,9.0,525.0455101167674,GCA_009867345.1_ASM986734v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e634882be6ebe1736bb645a200a7bf3e,0.012440782145397447,3674000,2,21506000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
4503000,0.003946226853271871,0.0014890351025486708,0.0019297338509670578,0.0041597234394885624,38.463215258855584,21.0,115.67086932015614,GCA_021461685.1_ASM2146168v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,2a21ee2ea96dab2ed61840693100701d,0.003045015924966696,2202000,3,19304000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1773000,0.0015537775285034484,0.00022832108819498064,0.001367990254931688,0.0006208447151999495,8.09801409352979,1.0,113.96206816885183,GCA_023213395.1_ASM2321339v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,67f24e02b95870df5db1623ebffbb7f1,0.0002593294614796289,1561000,4,17743000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1666000,0.0014600075366535505,0.0035726966092668204,0.0012698384877617016,0.0004035662546315944,5.670807453416149,3.0,66.62630235161262,GCA_010261695.1_La_Amiga3.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73767c04d625fb0443ae1675113386f4,0.004107738130461369,1449000,5,16294000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
3288000,0.0028814554504903206,0.0022806338730378965,0.0011725630756557327,0.10031993074592864,1526.6150971599402,1763.5,981.32610042608,GCA_002813485.1_ASM281348v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,552dccd73e76599a21f769da83fc9f08,0.005604427634191781,1338000,6,14956000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
4050000,0.0035492380092718365,0.0036576444769568397,0.0010866802793819943,0.011207472493082231,184.02822580645162,6.0,1297.3486971301274,GCA_002573525.1_SJ18_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c6856d9aba99d13739b57ee6a09aa7c2,0.011946338815867097,1240000,7,13716000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1114000,0.0009762595413157595,0.0012259796961943217,0.0008150102095364958,0.00010967061538181213,2.401075268817204,2.0,4.85082843215523,GCA_023529015.1_Yrk_Pnu_10X_1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c55cac35c182bafceb47ec1a0fb5ea32,0.0014685391199574993,930000,8,12786000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1616000,0.0014161897834526636,0.0015494606684980806,0.0007063421815982964,0.00023152139763092807,5.84863523573201,2.0,41.25310024440752,GCA_023376185.1_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,224c62fd568fb581780bfe68067845a6,0.0031066109681053325,806000,9,11980000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1848000,0.0016195041583047787,0.00014128290545663727,0.0006116958346843807,0.000545209808040079,15.904011461318051,1.0,71.35871858037063,GCA_014338645.1_ASM1433864v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b404ebeeb8c725b1bf7e86a81b3eeac0,0.0003740556006932173,698000,10,11282000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
984000,0.0008623333829934536,0.000308783743689713,0.0004925115459779684,0.0028963258084622593,104.932384341637,9.0,983.9469970161094,GCA_904848325.1_MorexV3_illumina_tritex_scaffolds_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,be5ae4f95caff07df2224c0ccd026a3d,0.0005406462700901736,562000,11,10720000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
903000,0.0007913486228080168,0.0010018745940839583,0.0004758607997616314,0.00019586494139841774,7.34438305709024,1.0,49.02182398888939,GCA_900235935.1_Canthatch-K_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,196da83a94b63f32ff99eb47305daeb0,0.001666100844305367,543000,12,10177000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
596000,0.0005223076181545715,0.0013971929426750743,0.000367192771823432,5.6775293945980665e-05,2.7589498806682577,1.0,4.186765698221942,GCA_003254925.1_ASM325492v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73a901abe080a83f6c433d60ffaeb5b4,0.0019874152597478384,419000,13,9758000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1248000,0.0010936911198941362,0.00019357983577527916,0.0003146114679823677,0.000324591624298431,18.409470752089135,1.0,208.57101559277683,GCA_910594505.1_hordeum_vulgare_accession_hor_337_contigs_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,84cf0563c97674146150abf4f478ae67,0.0006729460586282685,359000,14,9399000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1016000,0.0008903767450420213,0.000672174344415262,0.0002742991350375518,0.00019286901325766962,12.54632587859425,1.0,148.51589106436188,GCA_020877215.1_ASM2087721v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b01a18813b3ca6e8804662db73563bbf,0.002181882217015675,313000,15,9086000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1463000,0.00128210745865795,0.0007591872752325011,0.0002699173597174631,0.01045898159365598,691.4123376623377,137.5,871.7247693418753,GCA_003482435.1_Corteva_Sorghum_ONT_TX430_1.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,5a5c647771a72abd22a15d39df45edf2,0.00360613955735438,308000,16,8778000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
414000,0.0003628109965033433,0.0016717700655494723,0.0002550193236291616,0.0007578715924571174,53.02749140893471,21.0,63.34560687916015,GCA_000512025.1_FNI_r1.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c031cdca2d3bb9f9e0cfa19960e9ff9a,0.002378394526245641,291000,17,8487000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
564000,0.0004942642561060039,0.0009313607945758659,0.00023486315715675363,0.00020003959536503397,15.197761194029852,1.0,164.15287421909713,GCA_002141455.1_Co_S7_2014_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a1af95f9e475528b31792ecebfb4d3db,0.0019600279408238373,268000,18,8219000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
705000,0.0006178303201325049,2.4931149110919063e-05,0.00022960502677264722,5.35829115009212e-05,4.16412213740458,1.0,12.698491637915593,GCA_000404065.3_Ptaeda2.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,09600f102d08c3df5838f4fbf029ac81,6.708572566106084e-05,262000,19,7957000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1081000,0.0009473398242031742,0.0007955172129640782,0.00021996512106845208,0.00011109490908806943,9.01195219123506,8.0,11.214490509344085,GCA_000004655.2_ASM465v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e32dc1176a23ed090bfaf5fad864a8d2,0.003426111980932942,251000,20,7706000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
885000,0.0007755742316556977,5.0936981635975754e-05,0.0002155833457483634,2.8142079092601144e-05,2.3292682926829267,1.0,5.0341634760532745,GCA_902810645.1_Triticum_aestivum_Cadenza_EIv1.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,fd53a6bd0bcd2d7f2626719d222a5cfb,0.00018324889734893716,246000,21,7460000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
773000,0.0006774224644857111,4.462056534256289e-05,0.00017001288241944105,0.0001199844663581581,12.592783505154639,1.0,153.00489901692666,GCA_900000045.1_Synthetic_W7984_assembly_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,21c0f44e1c6d8b9a3a20c356765c036b,0.0001777922526278408,194000,22,7266000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1048000,0.0009184201070905889,0.00047502803984957444,0.00015774391152319274,0.0001660530007191701,18.783333333333335,6.0,36.163252527024355,GCA_009936405.1_ASM993640v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,30b2405466d3e463ee999d369e6079cd,0.002765718809790856,180000,23,7086000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
534000,0.0004679736041854718,0.000401772312470516,0.00015599120139515727,2.3574516517362215e-05,2.696629213483146,1.0,7.239722656526023,GCA_000230855.2_Pigeonpea-Version-2.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d9b4e1f98df5b1e3d5129e9e3e015c18,0.001205316937411548,178000,24,6908000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
691000,0.0006055613492362566,5.575302350997526e-05,0.0001454749406269444,1.939986255074599e-05,2.3795180722891565,1.0,6.124752447146744,GCA_020310875.1_C.richardii_v2_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,12ab57d25356857e669764306bf388db,0.00023208035689995725,166000,25,6742000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
835000,0.0007317564784548108,2.790443954528695e-05,0.00014372223049890893,0.0005335698905096314,66.2439024390244,1.0,334.7962271028931,GCA_004151065.1_LarixSibirica0.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b309a98d23e9e98a80fb2411d43bd10d,0.0001420744330506988,164000,26,6578000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
207000,0.00018140549825167165,0.07267297162767546,0.00012794783934658965,1.699329732293193e-05,2.3698630136986303,1.0,2.239170891782183,GCA_001889245.1_ASM188924v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,88175749d1f08a550016675552477d17,0.10303633648581384,146000,27,6432000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
694000,0.0006081904144283098,0.00029046562266216966,0.0001218133538984655,8.987784422244344e-06,1.316546762589928,1.0,0.6351340562400933,GCA_003016355.1_Bruz_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,0408241f5c451c308f397d67246b4edb,0.0014502384325722716,139000,28,6293000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
302000,0.0002646592293333567,0.00039891766524932355,0.00011304980325828813,8.59487581362164e-06,1.3565891472868217,1.0,0.7238832576700002,GCA_000219495.2_MedtrA17_4.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,100d2e7b0fae1f08d8710cbcb357645a,0.0009339002705836877,129000,29,6164000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
659000,0.000577517987187689,1.6348430001514786e-05,0.00011217344819427039,8.855177766834182e-05,14.0859375,1.0,139.51092180272516,GCA_905187595.1_allium_cepa_DHCU066619_genome_sequence_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b4f071bddb5128cc0bcd4b00ead6e5f3,8.416887008592377e-05,128000,30,6036000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
1243000,0.0010893093445740476,0.00011415160246019534,0.00010954438300221717,0.004008158943712355,652.88,3.0,966.4179683760024,GCA_003544955.1_Sspon.HiC_chr_asm_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,59e0fb7f42cf48af6ae0dfc05ba0f358,0.0011351235348641825,125000,31,5911000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
776000,0.0006800515296777642,0.0006262109420995729,0.00010253354249007528,0.0012141858277963098,211.2991452991453,25.0,336.7143217086465,GCA_900006705.1_sca_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c8bf25d7967b207db9f02751b9564677,0.004153330692899732,117000,32,5794000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
773000,0.0006774224644857111,2.852629678064617e-05,0.0001007808323620398,7.548756643163692e-05,13.365217391304348,1.0,117.09240724166702,GCA_900067735.1_IWGSC_CSS_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,6492bb06e583da3127eff9355d2979f8,0.00019174632531686515,115000,33,5679000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
767000,0.0006721643341016046,0.0003913667889546083,0.0001007808323620398,0.000599774991062557,106.19130434782609,2.0,302.33071139866087,GCA_019338905.1_ASM1933890v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,8d6effdaf6563113fe51ad7fe9186093,0.0026102463228537785,115000,34,5564000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
652000,0.0005713835017395648,6.184966300071779e-05,9.990447729802207e-05,2.1609973474248696e-05,3.8596491228070176,1.0,11.747248422116572,GCA_904848315.1_MorexV3_clr_wtdbg2_scaffolds_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,91892f4c241472dc19454aa21338c2a1,0.0003537366690918245,114000,35,5450000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
602000,0.0005275657485386779,6.397933346813256e-05,9.289363678588016e-05,1.6158366529608683e-05,3.1037735849056602,2.0,6.5400496871966,GCA_944222845.1_aegilops_speltoides_cv_tivon_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,81441a121df0ea132d13ea1816f9dd50,0.000363354327809583,106000,36,5344000,AttbisABBM1_FD_11254.5.198435.CGATGT.fastq.gz,,e225fc0c,1141090000
