Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
gb|AJ871876.1|+|0-876|ARO:3002415|OXY-6-3	OXY-6-3	3002415	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella oxytoca	1	0	1	6.51	57	0.00	*	876	OXY beta-lactamase	monobactam; cephalosporin; penam	antibiotic inactivation
gb|EU487198.1|+|216-642|ARO:3002804|FosA2	FosA2	3002804	protein homolog model	CARD	CARD curation	no data	no data	Enterobacter cloacae	13	0	13	100.00	426	58.08	*	426	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
gb|U36911.1|+|1429-2290|ARO:3000979|TEM-116	TEM-116	3000979	protein homolog model	CARD	CARD curation	no data	no data	Staphylococcus aureus	8	0	8	60.98	525	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|U00096.1|+|3660413-3663527|ARO:3000796|mdtF	mdtF	3000796	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	52	0	52	3.56	111	6.50	*	3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
gb|X63451.1|+|0-1653|ARO:3002828|srmB	srmB	3002828	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces ambofaciens	123	0	123	2.00	33	15.10	*	1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
gb|BA000007.3|-|4903688-4905062|ARO:3000830|cpxA	cpxA	3000830	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	926	0	926	43.67	600	43.20	*	1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
gb|CT025801.2|+|0-3180|ARO:3000777|adeF	adeF	3000777	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	19	0	19	50.91	1619	58.16	*	3180	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
gb|KP143090.1|-|1199-1619|ARO:3003209|fosA5	fosA5	3003209	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	3	0	3	90.00	378	24.00	*	420	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation
gb|AF190693.1|+|208-1069|ARO:3000944|TEM-78	TEM-78	3000944	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	11.73	101	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AB008454.1|+|153-1290|ARO:3002493|SRT-1	SRT-1	3002493	protein homolog model	CARD	CARD curation	no data	no data	Serratia marcescens	2	0	2	17.50	199	0.00	*	1137	SRT beta-lactamase	cephalosporin	antibiotic inactivation
gb|KC783461.1|+|0-861|ARO:3001383|TEM-206	TEM-206	3001383	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AE006468.2|-|2039654-2040377|ARO:3000826|sdiA	sdiA	3000826	protein homolog model	CARD	CARD curation	no data	no data	Salmonella enterica	6	0	6	20.61	149	49.83	*	723	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
gb|AJ252200.1|+|81-1266|ARO:3003055|smeD	smeD	3003055	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	35	0	35	4.22	50	58.14	*	1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
gb|BX664015.1|-|103017-103833|ARO:3002641|APH(3')-Ia	APH(3')-Ia	3002641	protein homolog model	CARD	CARD curation	no data	no data	Serratia marcescens	2	0	2	33.46	273	60.00	*	816	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
gb|Y14574.2|+|0-861|ARO:3000888|TEM-17	TEM-17	3000888	protein homolog model	CARD	CARD curation	no data	no data	Capnocytophaga ochracea	1	0	1	17.54	151	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
gb|AE004091.2|+|2813193-2814612|ARO:3000805|OprN	OprN	3000805	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	746	0	746	48.70	691	33.32	*	1419	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
gb|X80277.1|+|0-1149|ARO:3003553|CepS	CepS	3003553	protein homolog model	CARD	CARD curation	no data	no data	Aeromonas sobria	1	0	1	2.61	30	26.00	*	1149	CepS beta-lactamase	cephalosporin	antibiotic inactivation
gb|CP013924.1|+|2063742-2065140|ARO:3003811|adeC	adeC	3003811	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	6	0	6	42.85	599	42.33	*	1398	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux
gb|AJ871865.1|+|0-876|ARO:3002390|OXY-1-2	OXY-1-2	3002390	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella oxytoca	1877	0	1877	11.76	103	2.38	*	876	OXY beta-lactamase	monobactam; cephalosporin; penam	antibiotic inactivation
gb|AF491278.1|+|183-1050|ARO:3002409|OXY-3-1	OXY-3-1	3002409	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella oxytoca	1621	0	1621	7.04	61	27.81	*	867	OXY beta-lactamase	monobactam; cephalosporin; penam	antibiotic inactivation
gb|AY589493.1|+|166-1027|ARO:3000975|TEM-112	TEM-112	3000975	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	14.40	124	0.00	*	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
