intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
20484000,0.041443439133742294,0.1894842003996152,0.041443439133742294,0.041443439133742294,,,,"GCA_022457215.1 Leucoagaricus gongylophorus strain=LEU18496, HybridAssembly_LEU18496",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,49e72065873690f56cbf53e83438fb8f,0.1894842003996152,20484000,0,13766000,AttbisABBM2_FD_113142.assembled.fna,Ga0157367_1000001,0b506831,494264000
7362000,0.014894873994464496,0.09245977415748684,0.0148928507841963,0.0148928507841963,,,,"GCA_001013415.1 Puccinia arachidis strain=MRf11, ASM101341v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,4af773e2a6b63626906a6dc3b629f1de,0.09247233492017636,7361000,1,6405000,AttbisABBM2_FD_113142.assembled.fna,Ga0157367_1000001,0b506831,494264000
13803000,0.027926371331919785,0.030103354851657358,0.005462667724131233,0.005462667724131233,,,,"GCA_000382605.1 Leucoagaricus gongylophorus Ac12 strain=Ac12, LAG Assembly",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,6095686dfa38e959cbd064e7b1756f76,0.1538950396360839,2700000,2,3705000,AttbisABBM2_FD_113142.assembled.fna,Ga0157367_1000001,0b506831,494264000
668000,0.001351504459155431,0.022607836913201423,0.0012968777819141188,0.0012968777819141188,,,,"GCA_900010545.1 Microbotryum lychnidis-dioicae, MvSl-576-A2-G1-20131224",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,5f7719366ba75844e8cd95cbfddcdb02,0.023560117095192748,641000,3,3064000,AttbisABBM2_FD_113142.assembled.fna,Ga0157367_1000001,0b506831,494264000
633000,0.0012806920997685447,0.015036331806518142,0.0012685528381593642,0.0012685528381593642,,,,"GCA_016618355.2 Astraeus odoratus, ASM1661835v2",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,82d8f6e6f738e030dababdede9409399,0.015180220149164248,627000,4,2437000,AttbisABBM2_FD_113142.assembled.fna,Ga0157367_1000001,0b506831,494264000
472000,0.0009549552465888674,0.03541087136305541,0.0009529320363206707,0.0009529320363206707,,,,"GCA_900178035.1 Saccharomyces cerevisiae, L528",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,28444601eb145fbcd70e1aad111d48fe,0.03548605368017442,471000,5,1966000,AttbisABBM2_FD_113142.assembled.fna,Ga0157367_1000001,0b506831,494264000
239000,0.000483547254099024,0.00013773874973980964,0.00045117588980787593,0.00045117588980787593,,,,"GCA_006912095.1 Massospora platypediae, Mplat_NP02_megahit",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,a0ebc114cce059d9ce69be7f9581c8cd,0.00014762135061800226,223000,6,1743000,AttbisABBM2_FD_113142.assembled.fna,Ga0157367_1000001,0b506831,494264000
377000,0.000762750271110176,0.003308111912722154,0.0003803635304209896,0.0003803635304209896,,,,"GCA_011421375.1 Fusarium oxysporum strain=EtdFoc-189, ASM1142137v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,0559f50fbf6dd49b2e6c34275b92f269,0.006633820165405596,188000,7,1555000,AttbisABBM2_FD_113142.assembled.fna,Ga0157367_1000001,0b506831,494264000
175000,0.00035406179693443183,0.0014886448854415008,0.00026908696567016816,0.00026908696567016816,,,,"GCA_019425655.1 Rhizophagus prolifer strain=CMCC/AM-1901, ASM1942565v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,16ab0d244111f43d7512a77ba47188bf,0.001958743270317764,133000,8,1422000,AttbisABBM2_FD_113142.assembled.fna,Ga0157367_1000001,0b506831,494264000
196000,0.00039654921256656364,0.008696365575518911,0.00021446028842885583,0.00021446028842885583,,,,"GCA_900178075.1 Saccharomyces cerevisiae, L181",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,ced9699ea668c04323c3b4b6e6e3fb7f,0.016080072196242513,106000,9,1316000,AttbisABBM2_FD_113142.assembled.fna,Ga0157367_1000001,0b506831,494264000
