intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
13290000,0.024827199701102184,0.10330353672755538,0.024827199701102184,0.024827199701102184,,,,GCA_022457215.1.fna,input_sig/GCA_022457215.1.fna.k51.sig,61a8610e5b1824da60ba94cea13b0942,0.10330353672755538,13290000,0,6480000,11231.4.197613.ATGTCA.fastq.gz.abundtrim,,277f9883,535300000
2920000,0.005454885111152625,0.6008230452674898,0.005454885111152625,0.005454885111152625,,,,GCF_011044475.1.fna,input_sig/GCF_011044475.1.fna.k51.sig,0a3a4ba8cd342941787f000be36b100e,0.6008230452674898,2920000,1,3560000,11231.4.197613.ATGTCA.fastq.gz.abundtrim,,277f9883,535300000
8030000,0.015000934055669718,0.018397689592469783,0.0032131515038296282,0.0032131515038296282,,,,GCA_000382605.1.fna,input_sig/GCA_000382605.1.fna.k51.sig,f8d0f4c8aeaf1197cd6a346e63a4192c,0.0858915392020537,1720000,2,1840000,11231.4.197613.ATGTCA.fastq.gz.abundtrim,,277f9883,535300000
610000,0.0011395479170558565,0.14352941176470588,0.0011395479170558565,0.0011395479170558565,,,,GCA_002928325.1.fna,input_sig/GCA_002928325.1.fna.k51.sig,a79ac191490384b6201aa780a4f57d89,0.14352941176470588,610000,3,1230000,11231.4.197613.ATGTCA.fastq.gz.abundtrim,,277f9883,535300000
580000,0.0010835045768727816,0.07923497267759563,0.0010835045768727816,0.0010835045768727816,,,,GCA_011753085.1.fna,input_sig/GCA_011753085.1.fna.k51.sig,3017937ecd1c380344c7c1062832e2f7,0.07923497267759563,580000,4,650000,11231.4.197613.ATGTCA.fastq.gz.abundtrim,,277f9883,535300000
380000,0.0007098823089856155,0.02527075812274368,0.00039230338128152435,0.00039230338128152435,,,,GCA_011753045.1.fna,input_sig/GCA_011753045.1.fna.k51.sig,7b878cd72981707a942b35d7c2904ac8,0.0457280385078219,210000,5,440000,11231.4.197613.ATGTCA.fastq.gz.abundtrim,,277f9883,535300000
170000,0.0003175789277040912,0.02867383512544803,0.0002988978143097329,0.0002988978143097329,,,,GCA_011752715.1.fna,input_sig/GCA_011752715.1.fna.k51.sig,3f9535a0c8ccbf51c0959fa59f2f6024,0.03046594982078853,160000,6,280000,11231.4.197613.ATGTCA.fastq.gz.abundtrim,,277f9883,535300000
50000,9.340556697179151e-05,0.008097165991902834,7.472445357743322e-05,7.472445357743322e-05,,,,GCA_011752745.1.fna,input_sig/GCA_011752745.1.fna.k51.sig,e9ee7271a108a5cb0d4a949cda15c65f,0.010121457489878543,40000,7,240000,11231.4.197613.ATGTCA.fastq.gz.abundtrim,,277f9883,535300000
30000,5.604334018307491e-05,0.0036855036855036856,5.604334018307491e-05,5.604334018307491e-05,,,,GCA_011753055.1.fna,input_sig/GCA_011753055.1.fna.k51.sig,45f831a8998afb204d0220c3b1fc2784,0.0036855036855036856,30000,8,210000,11231.4.197613.ATGTCA.fastq.gz.abundtrim,,277f9883,535300000
70000,0.00013076779376050812,0.0010799136069114472,5.604334018307491e-05,5.604334018307491e-05,,,,ICBG2047.fna,input_sig/ICBG2047.fna.k51.sig,731bd2168ec0e826ecdc9dd777c6936e,0.0025197984161267097,30000,9,180000,11231.4.197613.ATGTCA.fastq.gz.abundtrim,,277f9883,535300000
