intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
22841000,0.013601298140621975,0.21128727891659882,0.013601298140621975,0.3060841706844359,256.0405411321746,151.0,908.3699534126986,"GCA_022457215.1 Leucoagaricus gongylophorus strain=LEU18496, HybridAssembly_LEU18496",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,49e72065873690f56cbf53e83438fb8f,0.21128727891659882,22841000,0,26351000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
8899000,0.005299152933470293,0.11175310564857498,0.005297961978771233,0.03352614473515696,71.99842643587726,23.0,84.33452843998461,"GCA_001013415.1 Puccinia arachidis strain=MRf11, ASM101341v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,4af773e2a6b63626906a6dc3b629f1de,0.111778227173954,8897000,1,17454000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
15126000,0.009007190388995579,0.037551147829771106,0.0020055677132181085,0.024423783616754877,138.55552256532067,135.0,390.1098745954942,"GCA_000382605.1 Leucoagaricus gongylophorus Ac12 strain=Ac12, LAG Assembly",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,6095686dfa38e959cbd064e7b1756f76,0.16864568351339598,3368000,2,14086000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
1196000,0.0007121909100382594,0.02095724089389407,0.0007092135232906079,0.0003722277680135447,5.971452560873216,1.0,18.476822556315152,"GCA_011421375.1 Fusarium oxysporum strain=EtdFoc-189, ASM1142137v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,0559f50fbf6dd49b2e6c34275b92f269,0.02104522259370051,1191000,3,12895000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
1013000,0.0006032185550742114,0.018297312813674835,0.0005883316213359534,0.0006008924359622478,11.620445344129555,7.0,67.11301323551682,"GCA_009298065.1 Fusarium oxysporum strain=RBG6475, ASM929806v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,8adb0fd28f778e444edbf47a833c6847,0.018760301498231383,988000,4,11907000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
924000,0.0005502210709660132,0.015314246993054378,0.0005383115239754068,0.00020909026057566238,4.41924778761062,1.0,41.93953856457409,"GCA_008131165.1 Colletotrichum truncatum, ASM813116v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,8114da992ab7d63207c3698d46dca18b,0.015653057767236998,904000,5,11003000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
731000,0.0004352939425066619,0.05465754454552289,0.0004329120331085406,0.0022024871953804817,57.88445667125172,36.0,75.00250609623521,"GCA_900178035.1 Saccharomyces cerevisiae, L528",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,28444601eb145fbcd70e1aad111d48fe,0.05495827381399895,727000,6,10276000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
889000,0.000529379363732452,0.015180220149164248,0.0003769371622526908,0.00037767091872690356,11.399684044233807,10.0,22.55643720315458,"GCA_016618355.2 Astraeus odoratus, ASM1661835v2",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,82d8f6e6f738e030dababdede9409399,0.021319456102064798,633000,7,9643000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
623000,0.0003709823887573876,0.01570920183019827,0.00036800500200973604,0.0035099424643268203,108.51618122977347,8.0,1072.1103741074944,"GCA_900068985.1 Pterula multifida, Pterula_subulata-8",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,52708a3c7de62afa321928bd6e29fa93,0.015836298932384342,618000,8,9025000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
603000,0.00035907284176678127,0.004165996696437708,0.00033942208923228083,0.0003313517996757243,11.10701754385965,1.0,101.63983947398748,"GCA_016946835.1 Neocallimastix sp. JGI-2020a strain=sp3, ASM1694683v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,360d9c6746cff78a7965173397647f0e,0.004407185978863048,570000,9,8455000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
545000,0.0003245351554940229,0.0002767128245893934,0.00026677385258958215,0.0002767109405916213,11.801339285714286,2.0,54.95272560826935,"GCA_006912095.1 Massospora platypediae, Mplat_NP02_megahit",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,a0ebc114cce059d9ce69be7f9581c8cd,0.00033662609241343614,448000,10,8007000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
343000,0.0002042487308888988,0.005018627420794976,0.0001941256159468834,5.4693197071731465e-05,3.205521472392638,1.0,10.300579241165357,"GCA_018398735.1 Podosphaera cerasi cultivar=Bing, WSU_PS_Poc_1.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,8a12f0446eeb345eb805cf5090511900,0.005280334985683057,326000,11,7681000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
326000,0.0001941256159468834,0.004157512722823216,0.00017804772750956485,4.8150948618175065e-05,3.076923076923077,1.0,16.890284433907468,"GCA_020740365.1 Calonectria ilicicola strain=GDGZ125, ASM2074036v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,69a3fa10f8626e173cee829a21fc49ae,0.004532940293111599,299000,12,7382000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
302000,0.0001798341595581558,0.00276462621581993,0.00014708290533398834,0.00038452719510623066,29.74493927125506,15.0,29.549857078104335,"GCA_019425655.1 Rhizophagus prolifer strain=CMCC/AM-1901, ASM1942565v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,16ab0d244111f43d7512a77ba47188bf,0.0033802312436340843,247000,13,7135000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
238000,0.0001417236091882155,0.006222775357809583,0.0001250502434013666,1.894635152149932e-05,1.723809523809524,1.0,1.1380454262858972,"GCA_003206725.1 Blastomyces emzantsi strain=MRL_BACNE1992, ASM320672v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,548cb07d8f281bd39abc519ec6fc88c9,0.007052478738850861,210000,14,6925000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
245000,0.00014589195063492773,0.0015207441311088144,0.00012266833400324535,9.761034692706142e-05,9.053398058252426,1.0,28.51114691067229,"GCA_900069095.1 Tubaria furfuracea, Tubaria_l100.fa",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,c2eea0b8c5ca39e963d68e4a5ac2ebaf,0.0018086520005905803,206000,15,6719000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
302000,0.0001798341595581558,0.013618836656001313,9.884924002203266e-05,0.0004281247388007305,49.27710843373494,34.0,45.47614580658718,"GCA_900178075.1 Saccharomyces cerevisiae, L181",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,ced9699ea668c04323c3b4b6e6e3fb7f,0.024776437771761424,166000,16,6553000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
200000,0.00011909546990606345,0.0018580710683331603,9.587185327438107e-05,1.9103365484384673e-05,2.267080745341615,1.0,7.2623916495697936,"GCA_003521225.1 Tuber microsphaerosporum strain=MG111, ASM352122v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,e43e37bd5ca80a6b98bf1d69bb214bc7,0.002308162817805168,161000,17,6392000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
319000,0.0001899572745001712,0.0003185605122940009,9.348994387625981e-05,2.899524514616194e-05,3.5286624203821657,1.0,17.227795830177893,"GCA_009809945.1 Gigaspora margarita strain=BEG34, UNITO_GmarBEG34_1.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,1328a1cc3041d0a16d305e951ad193b9,0.0006472662638330337,157000,18,6235000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
419000,0.00024950500945320294,0.0020439149731371173,8.336682893424441e-05,1.9365055422526928e-05,2.642857142857143,1.0,8.051682546942267,"GCA_000412615.1 Pecoramyces ruminatium strain=C1A, Orpinomyces sp. Strain C1A",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,c111f9be8b3f0811c402c93a6bbaa792,0.006117145526746088,140000,19,6095000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
255000,0.0001518467241302309,0.011273864384463463,8.158039688565347e-05,0.0003613414665868268,50.394160583941606,32.0,48.447783263298,"GCA_900178025.1 Saccharomyces cerevisiae, L561",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,e3fe6e7eef9a30561390a4dd9d98fadc,0.02098420013166557,137000,20,5958000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
343000,0.0002042487308888988,0.002688447883103823,7.800753278847156e-05,3.1402792577070694e-05,4.580152671755725,1.0,9.901772683048609,"GCA_011764055.1 Rhizopus oryzae strain=GL1, ASM1176405v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,61b12e2d200de1b56f1029980c4b7852,0.007039218503088637,131000,21,5827000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
1014000,0.0006038140324237417,0.004479243818996226,7.56256233903503e-05,0.00048543483525388453,73.03149606299213,8.0,313.88532779981614,"GCA_900010545.1 Microbotryum lychnidis-dioicae, MvSl-576-A2-G1-20131224",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,5f7719366ba75844e8cd95cbfddcdb02,0.03576341127922971,127000,22,5700000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
271000,0.00016137436172271598,0.0003934785763816097,7.264823664269871e-05,6.08690796118887e-05,9.532786885245901,1.0,35.04030101914022,"GCA_004125335.1 Hemileia vastatrix, ASM412533v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,ba3225fd264e2cf6d45dc30f37b5526f,0.0008740384770443954,122000,23,5578000,AttbisABBM2_FD_11254.5.198435.TTAGGC.fastq.gz,,d5865e8a,1679325000
