intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
3480000,0.008427986728342739,0.8188235294117647,0.008427986728342739,0.008427986728342739,,,,GCA_002928325.1.fna,input_sig/GCA_002928325.1.fna.k51.sig,a79ac191490384b6201aa780a4f57d89,0.8188235294117647,3480000,0,8640000,1119567.scaffolds.fasta,,9551481b,412910000
3230000,0.00782252791165145,0.6646090534979424,0.00782252791165145,0.00782252791165145,,,,GCF_011044475.1.fna,input_sig/GCF_011044475.1.fna.k51.sig,0a3a4ba8cd342941787f000be36b100e,0.6646090534979424,3230000,1,5410000,1119567.scaffolds.fasta,,9551481b,412910000
2310000,0.005594439466227507,0.41544117647058826,0.005473347702889249,0.005473347702889249,,,,GCA_002928365.1.fna,input_sig/GCA_002928365.1.fna.k51.sig,491c7c35d5b8bd48b204845fe4dd6ed2,0.42463235294117646,2260000,2,3150000,1119567.scaffolds.fasta,,9551481b,412910000
1240000,0.003003075730788792,0.3463687150837989,0.003003075730788792,0.003003075730788792,,,,GCA_011753235.1.fna,input_sig/GCA_011753235.1.fna.k51.sig,f7337aa93ac767847d1e1e7f22ac5c16,0.3463687150837989,1240000,3,1910000,1119567.scaffolds.fasta,,9551481b,412910000
2290000,0.005546002760892204,0.12790697674418605,0.0015984112760650021,0.0015984112760650021,,,,GCA_011752635.1.fna,input_sig/GCA_011752635.1.fna.k51.sig,dea459ea695d83936aaf965dce2796cc,0.4437984496124031,660000,4,1250000,1119567.scaffolds.fasta,,9551481b,412910000
3240000,0.007846746264319101,0.07862407862407862,0.0007749872853648495,0.0007749872853648495,,,,GCA_011752675.1.fna,input_sig/GCA_011752675.1.fna.k51.sig,684003673069dd77e08162eee740329b,0.7960687960687961,320000,5,930000,1119567.scaffolds.fasta,,9551481b,412910000
310000,0.000750768932697198,0.06275303643724696,0.000750768932697198,0.000750768932697198,,,,GCA_011752745.1.fna,input_sig/GCA_011752745.1.fna.k51.sig,e9ee7271a108a5cb0d4a949cda15c65f,0.06275303643724696,310000,6,620000,1119567.scaffolds.fasta,,9551481b,412910000
2290000,0.005546002760892204,0.055876685934489405,0.0007023322273618949,0.0007023322273618949,,,,GCA_002928355.1.fna,input_sig/GCA_002928355.1.fna.k51.sig,faaad7ff39d4b3a81d3e732c46e191be,0.441233140655106,290000,7,330000,1119567.scaffolds.fasta,,9551481b,412910000
100000,0.00024218352667651545,0.000777302759424796,0.00024218352667651545,0.00024218352667651545,,,,GCA_022457215.1.fna,input_sig/GCA_022457215.1.fna.k51.sig,61a8610e5b1824da60ba94cea13b0942,0.000777302759424796,100000,8,230000,1119567.scaffolds.fasta,,9551481b,412910000
2300000,0.005570221113559855,0.014678899082568808,0.00019374682134121237,0.00019374682134121237,,,,GCA_011752515.1.fna,input_sig/GCA_011752515.1.fna.k51.sig,5ff02c7c8a39597507e8ab1bf06be035,0.42201834862385323,80000,9,150000,1119567.scaffolds.fasta,,9551481b,412910000
140000,0.00033905693734712165,0.010706638115631691,0.00012109176333825773,0.00012109176333825773,,,,GCA_011752845.1.fna,input_sig/GCA_011752845.1.fna.k51.sig,04760ff86fa214b2a2b4772ac5a1949f,0.029978586723768737,50000,10,100000,1119567.scaffolds.fasta,,9551481b,412910000
30000,7.265505800295464e-05,0.004497751124437781,7.265505800295464e-05,7.265505800295464e-05,,,,GCA_011752945.1.fna,input_sig/GCA_011752945.1.fna.k51.sig,231cbdcc552fc7bc7453e646a626c502,0.004497751124437781,30000,11,70000,1119567.scaffolds.fasta,,9551481b,412910000
40000,9.687341067060618e-05,0.004366812227074236,4.843670533530309e-05,4.843670533530309e-05,,,,GCA_011752835.1.fna,input_sig/GCA_011752835.1.fna.k51.sig,2a5f74a708a3490ec0509732f872d84f,0.008733624454148471,20000,12,50000,1119567.scaffolds.fasta,,9551481b,412910000
70000,0.00016952846867356082,0.0017482517482517483,2.4218352667651546e-05,2.4218352667651546e-05,,,,GCA_011752685.1.fna,input_sig/GCA_011752685.1.fna.k51.sig,5effad1723a84a98ceb21c3cc914f5a7,0.012237762237762238,10000,13,40000,1119567.scaffolds.fasta,,9551481b,412910000
40000,9.687341067060618e-05,0.0017921146953405018,2.4218352667651546e-05,2.4218352667651546e-05,,,,GCA_011752715.1.fna,input_sig/GCA_011752715.1.fna.k51.sig,3f9535a0c8ccbf51c0959fa59f2f6024,0.007168458781362007,10000,14,30000,1119567.scaffolds.fasta,,9551481b,412910000
10000,2.4218352667651546e-05,0.0012422360248447205,2.4218352667651546e-05,2.4218352667651546e-05,,,,GCA_011752985.1.fna,input_sig/GCA_011752985.1.fna.k51.sig,2163b024cf1f98114e733c6a4cb9f03d,0.0012422360248447205,10000,15,20000,1119567.scaffolds.fasta,,9551481b,412910000
10000,2.4218352667651546e-05,0.00020403999183840033,2.4218352667651546e-05,2.4218352667651546e-05,,,,GCF_001831195.1_CORC01_genomic.fna,input_sig/GCF_001831195.1_CORC01_genomic.fna.k51.sig,e45774aaf2bf5ce65102588bf9f787a0,0.00020403999183840033,10000,16,10000,1119567.scaffolds.fasta,,9551481b,412910000
10000,2.4218352667651546e-05,0.000343878954607978,2.4218352667651546e-05,2.4218352667651546e-05,,,,ICBG2046.fna,input_sig/ICBG2046.fna.k51.sig,b78f627e07f6ed1f8804e5e6856012a2,0.000343878954607978,10000,17,0,1119567.scaffolds.fasta,,9551481b,412910000
