intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
7011000,0.0084060212578458,0.008342843135271628,0.0084060212578458,0.0351966461891091,122.66153187847668,53.0,349.36661392439333,GCA_002180455.1_ASM218045v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d956f9f6a1df8936ddc8a86ff740ca56,0.008342843135271628,7011000,0,14771000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
2959000,0.0035477702042455744,0.007751833258579975,0.003439862357546655,0.00015576924509378036,1.3265946322760545,1.0,0.8182692694134447,GCA_022530915.1_ASM2253091v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,8c4f4903b390fb6b329e8ed3eee665ca,0.007995006835879451,2869000,1,11902000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
3172000,0.003803152108099683,0.007740047667366732,0.0031461132193107088,0.011628219166263738,108.27705792682927,68.0,717.4900556958555,GCA_002573525.1_SJ18_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c6856d9aba99d13739b57ee6a09aa7c2,0.009356490549118626,2624000,2,9278000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
2211000,0.002650936100570113,0.0015033774858142187,0.0010574968976494075,0.00020934306060291292,5.799319727891157,2.0,81.05670784184703,GCA_002813485.1_ASM281348v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,552dccd73e76599a21f769da83fc9f08,0.003768670772262174,882000,3,8396000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
1210000,0.001450761050063246,0.00017164456135706076,0.0010167317111187046,0.006506701556358222,187.47877358490567,1.0,764.6855189852007,GCA_014338645.1_ASM1433864v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b404ebeeb8c725b1bf7e86a81b3eeac0,0.00024491735759674945,848000,4,7548000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
858000,0.001028721471863029,0.0010480149015854685,0.0009531859791737856,0.00011987601652119881,3.6842767295597483,3.0,6.595000341798809,GCA_023529015.1_Yrk_Pnu_10X_1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c55cac35c182bafceb47ec1a0fb5ea32,0.0011310651390696001,795000,5,6753000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
683000,0.0008189006588373528,0.00029724556109632513,0.0006486460562679471,0.0018690263047024876,84.41219963031423,8.0,772.1524121904553,GCA_904848325.1_MorexV3_illumina_tritex_scaffolds_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,be5ae4f95caff07df2224c0ccd026a3d,0.0003752656529182811,541000,6,6212000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
1470000,0.001762494829415679,0.0017900776607836864,0.0006306614151514607,0.0011575873169291865,53.77186311787072,59.0,28.757892736215062,GCA_019338905.1_ASM1933890v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,8d6effdaf6563113fe51ad7fe9186093,0.005002688519680645,526000,7,5686000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
689000,0.0008260945152839475,5.887156147969076e-05,0.0004148457217536224,0.010086160938033717,712.2572254335261,2.0,1382.1613698596075,GCA_004151065.1_LarixSibirica0.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b309a98d23e9e98a80fb2411d43bd10d,0.0001172326758945287,346000,8,5340000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
730000,0.0008752525343356774,0.0001747071498361851,0.0003884682481161088,0.0001664512663679466,12.552469135802468,2.0,168.14110869200005,GCA_910594505.1_hordeum_vulgare_accession_hor_337_contigs_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,84cf0563c97674146150abf4f478ae67,0.0003936303067296763,324000,9,5016000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
