intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
20767000,0.02489913613773837,0.19210204987789536,0.02489913613773837,0.043640804469979796,51.345933452111524,29.0,177.7768500346648,"GCA_022457215.1 Leucoagaricus gongylophorus strain=LEU18496, HybridAssembly_LEU18496",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,49e72065873690f56cbf53e83438fb8f,0.19210204987789536,20767000,0,11132000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
3961000,0.0047491442308268735,0.04974062025046161,0.004747945254752441,0.0031572125867116146,19.48030303030303,2.0,319.01760205372705,"GCA_001013415.1 Puccinia arachidis strain=MRf11, ASM101341v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,4af773e2a6b63626906a6dc3b629f1de,0.04975318101315112,3960000,1,7172000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
14011000,0.016798853778872844,0.03130748904572365,0.0033667248170062766,0.0034515206900929533,30.03311965811966,27.0,59.7273002806484,"GCA_000382605.1 Leucoagaricus gongylophorus Ac12 strain=Ac12, LAG Assembly",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,6095686dfa38e959cbd064e7b1756f76,0.15621411289873008,2808000,2,4364000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
559000,0.000670227625607731,0.014107778342653787,0.0006654317213100013,0.0018514684996196627,81.50990990990991,7.0,762.5433388309725,"GCA_900068985.1 Pterula multifida, Pterula_subulata-8",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,52708a3c7de62afa321928bd6e29fa93,0.014209456024402644,555000,3,3809000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
379000,0.00045441193220989277,0.01234437272951716,0.00041964162605135215,0.003744232629375853,261.3857142857143,230.5,1008.542570712201,"GCA_900010545.1 Microbotryum lychnidis-dioicae, MvSl-576-A2-G1-20131224",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,5f7719366ba75844e8cd95cbfddcdb02,0.01336719218424858,350000,4,3459000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
225000,0.0002697696167472978,0.005113068538359635,0.00026377473637513566,1.2278185372604863e-05,1.3636363636363635,1.0,0.9460662356907413,"GCA_003049155.1 Annulohypoxylon stygium strain=MG137, ASM304915v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,1a2a7aca16bfb27162e4717a6e58b992,0.005229274641504172,220000,5,3239000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
219000,0.00026257576030070317,0.003248252717140306,0.0002529839517052437,0.00017295870461542717,20.028436018957347,1.0,253.1668785321366,"GCA_018398735.1 Podosphaera cerasi cultivar=Bing, WSU_PS_Poc_1.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,8a12f0446eeb345eb805cf5090511900,0.003371409218264109,211000,6,3028000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
175000,0.00020982081302567607,0.013006540861589354,0.0002074228608768112,2.8035189934114438e-05,3.959537572254335,3.0,4.617581857845754,"GCA_900178035.1 Saccharomyces cerevisiae, L528",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,28444601eb145fbcd70e1aad111d48fe,0.013156905495827381,173000,7,2855000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
189000,0.00022660647806773017,0.0012571077750654135,0.00020622388480237878,2.1404969832907813e-05,3.0406976744186047,1.0,6.742228565161398,"GCA_016946835.1 Neocallimastix sp. JGI-2020a strain=sp3, ASM1694683v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,360d9c6746cff78a7965173397647f0e,0.0013813567993451346,172000,8,2683000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
152000,0.00018224436331373007,0.0016229587096918618,0.00017385153079270304,0.0007743851514501887,130.4896551724138,2.0,1515.202834343749,"GCA_019425655.1 Rhizophagus prolifer strain=CMCC/AM-1901, ASM1942565v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,16ab0d244111f43d7512a77ba47188bf,0.0017013084405045722,145000,9,2538000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
148000,0.00017744845901600034,0.002571575518601063,0.00016186177004837867,0.006781446417712543,1227.3703703703704,2.0,2065.17553999023,"GCA_011424605.1 Fusarium oxysporum strain=EtdFoc-89, ASM1142460v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,554f4c7010799d24e44b65b1c1e6c547,0.0028192087166885728,135000,10,2403000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
145000,0.00017385153079270304,0.0007972833308725823,0.00012948941603870294,0.0030277186583152088,684.9814814814815,2.0,1341.8053343211227,"GCA_900069095.1 Tubaria furfuracea, Tubaria_l100.fa",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,c2eea0b8c5ca39e963d68e4a5ac2ebaf,0.0010704266942270781,108000,11,2295000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
103000,0.00012349453566654078,0.000934805941211093,9.71170620290272e-05,4.50200130328845e-06,1.3580246913580247,1.0,0.8059752466147884,"GCA_003521225.1 Tuber microsphaerosporum strain=MG111, ASM352122v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,e43e37bd5ca80a6b98bf1d69bb214bc7,0.0011887038511696616,81000,12,2214000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
107000,0.0001282904399642705,4.3854041396979754e-05,8.512730128470286e-05,1.4815677016276536e-05,5.098591549295775,1.0,12.908295105214666,"GCA_006912095.1 Massospora platypediae, Mplat_NP02_megahit",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,a0ebc114cce059d9ce69be7f9581c8cd,6.608989337291315e-05,71000,13,2143000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
113000,0.00013548429641086512,0.0013134401871652266,7.673446876367583e-05,0.00013677898505081817,52.21875,1.0,394.7042986824915,"GCA_011764055.1 Rhizopus oryzae strain=GL1, ASM1176405v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,61b12e2d200de1b56f1029980c4b7852,0.002319042830463603,64000,14,2079000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
80000,9.591808595459477e-05,0.001866832607342875,7.553549268924338e-05,3.274182766027964e-06,1.2698412698412698,1.0,0.5692197167314638,"GCA_003206725.1 Blastomyces emzantsi strain=MRL_BACNE1992, ASM320672v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,548cb07d8f281bd39abc519ec6fc88c9,0.002370581088689365,63000,15,2016000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
76000,9.112218165686503e-05,0.0011933174224343676,7.073958839151364e-05,0.00014881160671597094,61.6271186440678,1.0,450.95976363431976,"GCA_019925775.1 Aureobasidium melanogenum strain=EXF-8258, ASM1992577v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,146c715b73fe9ab0813401806a45d1b9,0.0015371546458476599,59000,16,1957000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
131000,0.00015706586575064895,0.0010270518110958276,6.714266016821635e-05,5.074983287343344e-06,2.2142857142857144,2.0,3.1550089750511106,"GCA_003957845.1 Oidium heveae strain=HO-73, ASM395784v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,811fed6e00560fff0b0d12e2f1447ae2,0.0024025676295277394,56000,17,1901000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
76000,9.112218165686503e-05,0.0013579645904327551,6.354573194491904e-05,4.297364880411702e-06,1.9811320754716981,2.0,1.5720502901089208,"GCA_003017125.1 Pyricularia oryzae, ASM301712v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,7208d20281ef4d96096cc5e99a3813af,0.0019472699787337622,53000,18,1848000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
266000,0.0003189276357990276,0.0016003072589937269,5.9948803721621736e-05,3.0981954423539604e-05,15.14,8.0,14.613705895494132,"GCA_019327925.1 Leucocoprinus sp. KB1807203, ASM1932792v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,b5898af61a7208d43ba558668a3056de,0.008513634617846627,50000,19,1798000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
96000,0.00011510170314551373,0.0007886029726903362,5.5152899423891996e-05,0.002075586309954277,1102.4782608695652,2.0,1591.9016347578772,"GCA_011033955.1 Fusarium oxysporum strain=EtdFoc-204, ASM1103395v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,a03d0e8d627a71f6ddd5fe252641160f,0.0016457801169189625,46000,20,1752000,AttcapACBM1_FD_11231.4.197613.ATGTCA.fastq.gz,,60c8a777,834045000
