intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
3501000,0.005985126933925977,0.004166066726085575,0.005985126933925977,0.005985126933925977,,,,GCA_002180455.1_ASM218045v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d956f9f6a1df8936ddc8a86ff740ca56,0.004166066726085575,3501000,0,14429000,AttsexASBM1_FD_111477.assembled.fna,Ga0157363_1000001,2240f0bd,584950000
1774000,0.0030327378408410975,0.001065894808761258,0.002752371997606633,0.002752371997606633,,,,GCA_000347455.1_ASM34745v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,383cae64eeb6253e86e6b31637ae0746,0.0011744704290325913,1610000,1,12819000,AttsexASBM1_FD_111477.assembled.fna,Ga0157363_1000001,2240f0bd,584950000
1443000,0.0024668775108983676,0.0002250810757418061,0.0019010171809556373,0.0019010171809556373,,,,GCA_014338645.1_ASM1433864v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b404ebeeb8c725b1bf7e86a81b3eeac0,0.0002920791297620739,1112000,2,11707000,AttsexASBM1_FD_111477.assembled.fna,Ga0157363_1000001,2240f0bd,584950000
1200000,0.002051457389520472,0.0018814492291898972,0.001817249337550218,0.001817249337550218,,,,GCA_001687015.1_ASM168701v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,0dc1cb25e7c7b4bf1bceb809ce434656,0.0021239313970158762,1063000,3,10644000,AttsexASBM1_FD_111477.assembled.fna,Ga0157363_1000001,2240f0bd,584950000
2276000,0.003890930848790495,0.0015204225820252641,0.0015249166595435507,0.0015249166595435507,,,,GCA_002813485.1_ASM281348v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,552dccd73e76599a21f769da83fc9f08,0.0038794638976339703,892000,4,9752000,AttsexASBM1_FD_111477.assembled.fna,Ga0157363_1000001,2240f0bd,584950000
930000,0.0015898794768783658,0.0016836343278940056,0.0013881528335755193,0.0013881528335755193,,,,GCA_000260855.1_EUC_r1.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,0e001094b49882ecc71135097ef05a0a,0.0019283004001741692,812000,5,8940000,AttsexASBM1_FD_111477.assembled.fna,Ga0157363_1000001,2240f0bd,584950000
922000,0.0015762030942815626,0.0016138606933506683,0.0012223266945892812,0.0012223266945892812,,,,GCA_000230855.2_Pigeonpea-Version-2.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d9b4e1f98df5b1e3d5129e9e3e015c18,0.0020810902926843584,715000,6,8225000,AttsexASBM1_FD_111477.assembled.fna,Ga0157363_1000001,2240f0bd,584950000
641000,0.001095820155568852,0.0009630760284925135,0.0007248482776305667,0.0007248482776305667,,,,GCA_014858505.1_Ccitriodora_v2_1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,8a5ac8a5ad1d265f4cf96b1efc0c729a,0.0014559710713766536,424000,7,7801000,AttsexASBM1_FD_111477.assembled.fna,Ga0157363_1000001,2240f0bd,584950000
685000,0.0011710402598512693,0.00027347464258967863,0.0006667236515941533,0.0006667236515941533,,,,GCA_024704795.1_ASM2470479v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,571e1770f92148b38017b63373df3302,0.0004803336671126407,390000,8,7411000,AttsexASBM1_FD_111477.assembled.fna,Ga0157363_1000001,2240f0bd,584950000
770000,0.0013163518249423027,0.00093940469850287,0.0006513377211727498,0.0006513377211727498,,,,GCA_010261695.1_La_Amiga3.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73767c04d625fb0443ae1675113386f4,0.0018985344300451704,381000,9,7030000,AttsexASBM1_FD_111477.assembled.fna,Ga0157363_1000001,2240f0bd,584950000
