contig	cluster	completeness	purity	coverage_stddev	gc_content_stddev	coverage	gc_content	length	superkingdom	phylum	class	order	family	genus	species	taxid	x_1	x_2
scaffold00001	bin_0001	98.56115107913669	98.54014598540147	19.788616348351752	4.902028788436699	10.79942823312301	40.83706244099654	187489	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	unclassified	unclassified	33958	-18.308316138857275	-20.76642000810393
scaffold00002	bin_0001	98.56115107913669	98.54014598540147	19.788616348351752	4.902028788436699	13.742247680322128	42.5671831232493	182784	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	-18.3061069319213	-20.765713365351
scaffold00003	bin_0001	98.56115107913669	98.54014598540147	19.788616348351752	4.902028788436699	15.41620239110177	39.59923601060069	151311	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	-18.306964452712013	-20.76771850683416
scaffold00004	bin_0001	98.56115107913669	98.54014598540147	19.788616348351752	4.902028788436699	10.788898860680549	41.32580885596507	131482	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	-18.308418776097447	-20.766188191252887
scaffold00011	bin_0001	98.56115107913669	98.54014598540147	19.788616348351752	4.902028788436699	14.284180228052696	41.728938337208014	72264	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	-18.30854663683533	-20.766016753622537
scaffold00013	bin_0001	98.56115107913669	98.54014598540147	19.788616348351752	4.902028788436699	12.7350102451777	41.5572670105278	70765	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	-18.30841157981793	-20.766036299615426
scaffold00020	bin_0001	98.56115107913669	98.54014598540147	19.788616348351752	4.902028788436699	15.697581032220906	41.35283012830768	62506	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	-18.30858903845916	-20.766121450685432
scaffold00021	bin_0001	98.56115107913669	98.54014598540147	19.788616348351752	4.902028788436699	12.31359522434046	42.21869182874382	62316	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	weissella_cibaria	137591	-18.30822169667955	-20.76582408529253
scaffold00034	bin_0001	98.56115107913669	98.54014598540147	19.788616348351752	4.902028788436699	11.791799592071545	42.5640221048411	57363	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	-18.308667431415355	-20.765475819531744
scaffold00035	bin_0001	98.56115107913669	98.54014598540147	19.788616348351752	4.902028788436699	12.792924890159703	40.60429597600948	57356	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	-18.308405245609272	-20.76639905816776
scaffold00039	bin_0001	98.56115107913669	98.54014598540147	19.788616348351752	4.902028788436699	14.30692124105012	42.06719295024784	54470	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	-18.308124220318668	-20.765760389516995
scaffold00051	bin_0001	98.56115107913669	98.54014598540147	19.788616348351752	4.902028788436699	9.137709400314227	40.74965822604012	49009	bacteria	firmicutes	bacilli	lactobacillales	lactobacillaceae	weissella	unclassified	46255	-18.30807438833581	-20.766576826024
