intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
42616000,0.02545571621678933,0.39421298009324357,0.02545571621678933,0.1486882270558609,66.58898066453914,28.0,340.3657202983124,"GCA_022457215.1 Leucoagaricus gongylophorus strain=LEU18496, HybridAssembly_LEU18496",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,49e72065873690f56cbf53e83438fb8f,0.39421298009324357,42616000,0,30489000,AttsexASBM1_FD_11231.7.197622.GTTTCG.fastq.gz,,fc43bd48,1674123000
5539000,0.0033085979942931313,0.06954894301181967,0.00330740333894224,0.006100671213731926,21.02817410149901,25.0,21.979038419021993,"GCA_001013415.1 Puccinia arachidis strain=MRf11, ASM101341v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,4af773e2a6b63626906a6dc3b629f1de,0.0695740645371987,5537000,1,24952000,AttsexASBM1_FD_11231.7.197622.GTTTCG.fastq.gz,,fc43bd48,1674123000
4773000,0.002851044994901808,0.14517987453591089,0.0027094783358212033,0.002510731177755502,10.563932980599647,4.0,132.55759410099378,"GCA_019327925.1 Leucocoprinus sp. KB1807203, ASM1932792v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,b5898af61a7208d43ba558668a3056de,0.15276533094354117,4536000,2,20416000,AttsexASBM1_FD_11231.7.197622.GTTTCG.fastq.gz,,fc43bd48,1674123000
19391000,0.011582780954565466,0.03826470883366224,0.00205002858212927,0.008803487630805672,48.95600233100233,34.0,238.96513138932232,"GCA_000382605.1 Leucoagaricus gongylophorus Ac12 strain=Ac12, LAG Assembly",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,6095686dfa38e959cbd064e7b1756f76,0.21619783478832882,3432000,3,16984000,AttsexASBM1_FD_11231.7.197622.GTTTCG.fastq.gz,,fc43bd48,1674123000
2468000,0.0014742047029997199,0.04326939996480732,0.0014688287539207094,0.0020140132102877,15.631557543716958,14.0,28.89181480352451,"GCA_011421375.1 Fusarium oxysporum strain=EtdFoc-189, ASM1142137v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,0559f50fbf6dd49b2e6c34275b92f269,0.04342776702445891,2459000,4,14525000,AttsexASBM1_FD_11231.7.197622.GTTTCG.fastq.gz,,fc43bd48,1674123000
1053000,0.0006289860422442079,0.007491485287453772,0.0006122608673317313,0.0013264151209332724,24.697560975609758,2.0,494.211488494455,"GCA_016946835.1 Neocallimastix sp. JGI-2020a strain=sp3, ASM1694683v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,360d9c6746cff78a7965173397647f0e,0.0076961307392086065,1025000,5,13500000,AttsexASBM1_FD_11231.7.197622.GTTTCG.fastq.gz,,fc43bd48,1674123000
1011000,0.0006038982798754931,0.007482584304296899,0.0005800051728576693,0.0009083965613912756,17.854788877445934,8.0,156.19863283432338,"GCA_010015925.1 Podosphaera xanthii, POXAN_niab_assembly",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,a5f1c1678d3bce27d6179dd853813289,0.007790826706121694,971000,6,12529000,AttsexASBM1_FD_11231.7.197622.GTTTCG.fastq.gz,,fc43bd48,1674123000
1005000,0.0006003143138228195,0.0005287191469833052,0.0005113124901814264,0.0009626268458141844,21.462616822429908,3.0,85.3676135523275,"GCA_006912095.1 Massospora platypediae, Mplat_NP02_megahit",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,a0ebc114cce059d9ce69be7f9581c8cd,0.000620750867661474,856000,7,11673000,AttsexASBM1_FD_11231.7.197622.GTTTCG.fastq.gz,,fc43bd48,1674123000
840000,0.0005017552473742968,0.026946002186717454,0.0004563583440404319,0.0015441222047759642,38.57329842931937,2.0,302.2253261536854,"GCA_900010545.1 Microbotryum lychnidis-dioicae, MvSl-576-A2-G1-20131224",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,5f7719366ba75844e8cd95cbfddcdb02,0.02962649455084118,764000,8,10909000,AttsexASBM1_FD_11231.7.197622.GTTTCG.fastq.gz,,fc43bd48,1674123000
552000,0.00032972487684596654,0.013675648195221149,0.0003213622893897282,0.00014178468565061958,5.029739776951673,4.0,5.1258373445194145,"GCA_900068985.1 Pterula multifida, Pterula_subulata-8",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,52708a3c7de62afa321928bd6e29fa93,0.014031520081342145,538000,9,10371000,AttsexASBM1_FD_11231.7.197622.GTTTCG.fastq.gz,,fc43bd48,1674123000
796000,0.0004754728296546908,0.011151346555073263,0.00027775736908220003,0.0002376177196694604,9.75268817204301,6.0,18.590930795081093,"GCA_016618355.2 Astraeus odoratus, ASM1661835v2",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,82d8f6e6f738e030dababdede9409399,0.019089186791050147,465000,10,9906000,AttsexASBM1_FD_11231.7.197622.GTTTCG.fastq.gz,,fc43bd48,1674123000
355000,0.00021205132478318499,0.002465672523254097,0.00019950744359882756,0.00013664983746371613,7.808383233532934,1.0,64.56621111962627,"GCA_900069095.1 Tubaria furfuracea, Tubaria_l100.fa",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-fungi-k31.zip,c2eea0b8c5ca39e963d68e4a5ac2ebaf,0.0026206998375904325,334000,11,9572000,AttsexASBM1_FD_11231.7.197622.GTTTCG.fastq.gz,,fc43bd48,1674123000
