intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
228983000,0.12790017013661198,0.42227529229520894,0.12790017013661198,0.03271647868795808,3.1339662769725263,2.0,17.10765474777977,GCA_019915205.1_ASM1991520v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,6a1aea9369cb35274ddd0c99ea04153f,0.42227529229520894,228983000,0,302047000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
209486000,0.11700997471968792,0.12510315370420286,0.03370112482307691,0.006405431767478555,2.328642932909043,1.0,21.78931169187371,GCA_000260855.1_EUC_r1.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,0e001094b49882ecc71135097ef05a0a,0.4343569221837484,60336000,1,241711000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
45660000,0.025503735073947428,0.11905544941063467,0.025477482871834514,0.005032992297808059,2.420296845197641,1.0,11.605625254508398,GCA_015476505.1_Embrapa_Uruz_1.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,07566b36347c7d393f234dea2452797c,0.11917812509787953,45613000,2,196098000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
209719000,0.11714011861526895,0.07240299044982579,0.0186407391726423,0.002806835664004898,1.844814670542055,1.0,2.27628489047571,GCA_014182705.1_ASM1418270v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,20b4fea34608567a1882a6b50d2465ce,0.4549870480372461,33373000,3,162725000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
187611000,0.1047915295873489,0.04368559329150521,0.01220392263755316,0.001672922745799856,1.6794818984850566,1.0,2.386231538135961,GCA_000612305.1_Egrandis1_0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,4a256ceb759bacb648907080af04ad81,0.37511546720731315,21849000,4,140876000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
19290000,0.010774574016128906,0.0502477668559818,0.010387493674336406,0.0014256429263907154,1.6815077700704415,1.0,3.1930296803606093,GCA_022530915.1_ASM2253091v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,8c4f4903b390fb6b329e8ed3eee665ca,0.05212020340118777,18597000,5,122279000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
193792000,0.10824397344394261,0.028323047162859247,0.0068696985912062945,0.0009226035592519876,1.6454183266932272,1.0,1.3493898101743451,GCA_019915185.1_ASM1991518v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,79c38584b5bd1063e6b851eaf5c763b9,0.4462785556374355,12299000,6,109980000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
12126000,0.00677306814513111,0.013692924826354388,0.006427321057729151,0.06815189564098655,129.91127140001737,8.0,248.22846713475855,GCA_002180455.1_ASM218045v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d956f9f6a1df8936ddc8a86ff740ca56,0.01442951303070942,11507000,7,98473000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
160767000,0.0897976122784342,0.019082262244616052,0.0048611258508227,0.0006374385020240793,1.606572446282891,1.0,1.6049197621560556,GCA_014182385.1_ASM1418238v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,23521ace75b788aa8c16aab467db48f1,0.3524989146593346,8703000,8,89770000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
44770000,0.025006618906277405,0.01669445942048974,0.004462315801703153,0.0008926965604443925,2.4509951182876457,1.0,63.09299093911988,GCA_003016355.1_Bruz_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,0408241f5c451c308f397d67246b4edb,0.09355500666608156,7989000,9,81781000,AttlaeALBM1_FD_11231.5.197616.GTCCGC.fastq.gz,,ef480f00,1790326000
