intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
8271000,0.003816626574629562,0.009842198769338416,0.003816626574629562,0.005546779984989992,16.31314230443719,12.0,205.13773161607185,GCA_002180455.1_ASM218045v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d956f9f6a1df8936ddc8a86ff740ca56,0.009842198769338416,8271000,0,42886000,AttsexASBM3_FD_11231.8.197625.GAGTGG.fastq.gz,,8791a5aa,2167097000
5178000,0.0023893715878892364,0.0021463203521750597,0.0014646321784396361,0.0032270365627213764,24.73156899810964,12.0,488.21431931129183,GCA_021461685.1_ASM2146168v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,2a21ee2ea96dab2ed61840693100701d,0.0035014640149850216,3174000,1,39712000,AttsexASBM3_FD_11231.8.197625.GAGTGG.fastq.gz,,8791a5aa,2167097000
3089000,0.0014254091994959155,0.006700295297676214,0.0013778801779523483,0.0012774046104797744,10.406229068988614,1.0,54.336761698213095,GCA_004799145.1_ASM479914v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,026f45495c96e46a2b0d32dea5b6af26,0.0069314173390896934,2986000,2,36726000,AttsexASBM3_FD_11231.8.197625.GAGTGG.fastq.gz,,8791a5aa,2167097000
2268000,0.0010465613675806852,0.00391325194556117,0.0009791901331597064,0.00015116071035091978,1.7327992459943449,1.0,3.097648706396021,GCA_019915205.1_ASM1991520v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,6a1aea9369cb35274ddd0c99ea04153f,0.004182495481872165,2122000,3,34604000,AttsexASBM3_FD_11231.8.197625.GAGTGG.fastq.gz,,8791a5aa,2167097000
4551000,0.0021000444373279093,0.005510064421738207,0.0008619826431396472,0.0005450747507595446,7.09796573875803,2.0,15.258849229277546,GCA_002573525.1_SJ18_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c6856d9aba99d13739b57ee6a09aa7c2,0.013424145173089175,1868000,4,32736000,AttsexASBM3_FD_11231.8.197625.GAGTGG.fastq.gz,,8791a5aa,2167097000
2075000,0.0009575021330378844,0.0007736384921593976,0.0008375259621512097,0.0004110157144651879,5.508539944903581,2.0,37.65301650050427,GCA_021442155.1_ASM2144215v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,51f96419206143d57631203f09326881,0.0008844627389701103,1815000,5,30921000,AttsexASBM3_FD_11231.8.197625.GAGTGG.fastq.gz,,8791a5aa,2167097000
1866000,0.000861059749517442,0.001123936773004887,0.0007240100466199713,0.0004812312416012692,7.460803059273423,1.0,28.224221043807912,GCA_023525975.1_ASM2352597v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d5a59e90b9f66c937aafa9f660d40d0a,0.001336689622961835,1569000,6,29352000,AttsexASBM3_FD_11231.8.197625.GAGTGG.fastq.gz,,8791a5aa,2167097000
2474000,0.0011416194106678196,0.002186124938282339,0.0006497171100324536,0.00021352426694660792,3.6889204545454546,1.0,27.108181672832814,GCA_019022655.1_ASM1902265v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,128cbe0090b51679dfa5ebeddf4c2554,0.003841245097521667,1408000,7,27944000,AttsexASBM3_FD_11231.8.197625.GAGTGG.fastq.gz,,8791a5aa,2167097000
1445000,0.0006667906420432495,0.002173495896557832,0.0005435843434788567,0.00013989662695789503,2.8887945670628183,1.0,37.01837785325675,GCA_900235935.1_Canthatch-K_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,196da83a94b63f32ff99eb47305daeb0,0.0026661303654720433,1178000,8,26766000,AttsexASBM3_FD_11231.8.197625.GAGTGG.fastq.gz,,8791a5aa,2167097000
1276000,0.000588806130966911,0.0027171745373324825,0.0005029770241018284,0.0001453642294807866,3.2440366972477066,1.0,5.927937760334232,GCA_013103745.1_ASM1310374v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a17b417ddf71d02abdde6edadbff6e5e,0.003180839183152521,1090000,9,25676000,AttsexASBM3_FD_11231.8.197625.GAGTGG.fastq.gz,,8791a5aa,2167097000
