intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4857000,0.039484273764134915,0.9756930494174367,0.039484273764134915,0.039484273764134915,,,,"GCA_000220605.2 Pantoea agglomerans strain=Sl1_M5, ASM22060v2",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,67e15477d4bae08ce593bbe742fbd119,0.9756930494174367,4857000,0,26601000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
4511000,0.036671517181390285,0.8631740548838994,0.036565835575680224,0.036565835575680224,,,,"GCA_016005725.1 Serratia marcescens strain=SER00179, ASM1600572v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,e4fc492818aac7ee83f975d7ba7a26c3,0.865668777585876,4498000,1,22103000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
3537000,0.02875352610742129,0.8265402843601896,0.02835518774743722,0.02835518774743722,,,,"GCA_002928325.1 Pantoea sp. ICBG 1758 strain=ICBG 1758, ASM292832v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,8ddbe0f1f6ed052daa015de77bbfa950,0.8381516587677725,3488000,2,18615000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
3389000,0.0275503816731837,0.7212041884816754,0.026875645267496404,0.026875645267496404,,,,"GCA_002095485.1 Pantoea wallisii strain=LMG 26277, ASM209548v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,552367cf3c443e81d532837ba3ad5946,0.7393106457242583,3306000,3,15309000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
3275000,0.026623635284649342,0.6434040691314811,0.02390843095332938,0.02390843095332938,,,,"GCA_007679955.1 Pantoea agglomerans strain=DE0059, ASM767995v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,fb15133dfdb2dd511d97f59eb7ab4ac6,0.7164734193830672,2941000,4,12368000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
2797000,0.022737803936233345,0.5546633724521309,0.021900480444838267,0.021900480444838267,,,,"GCA_000738765.1 Pantoea sp. NGS-ED-1003 strain=NGS-ED-1003, ASM73876v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,b01b989c7c3a97031ef01d0166c455e2,0.575869878525839,2694000,5,9674000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
1235000,0.010039752542455553,0.2547634339541854,0.009673931599613043,0.009673931599613043,,,,"GCA_019132875.1 Erwiniaceae bacterium CMYE1 strain=CMYE1, ASM1913287v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,a75287f96fe29a0da07a837f45d7d592,0.2643973453222008,1190000,6,8484000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
854000,0.006942468559722301,0.1625934154716219,0.006544130199738235,0.006544130199738235,,,,"GCA_001011355.1 Klebsiella aerogenes strain=GN03543, ASM101135v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,ee3bd0a56c282e37e9b3bcee8c5ff509,0.1724904059785902,805000,7,7679000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
3445000,0.02800562551316549,0.11278381046396842,0.0037151149084228238,0.0037151149084228238,,,,"GCA_001881025.1 Pantoea sp. Ae16 strain=Ae16, ASM188102v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,54127d543ea795c82906770e1c0870ec,0.8501974333662389,457000,8,7222000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
3067000,0.024932729593288405,0.08921611087050671,0.0033492939655803138,0.0033492939655803138,,,,"GCA_001485375.1 Type-F symbiont of Plautia stali, F_1.0",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,864341bde06d3e0e0e1e508aca22eb37,0.6641403204850584,412000,9,6810000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
