intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4616000,0.003726352074074971,0.9138784399128885,0.003726352074074971,0.15201368416034908,820.0439774696707,821.0,1046.0615357540778,"GCA_017052115.1 Pantoea stewartii subsp. indologenes strain=PANS 07-6, ASM1705211v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,e3c23af48347ce2225d58d58eb1336f3,0.9138784399128885,4616000,0,97236000,AttcapACBM3_FD_11231.5.197616.GTAGAG.fastq.gz,,64a853e0,1238745000
4599000,0.003712628507077728,0.8706684340087105,0.003711821238430831,0.004511911253751276,24.434971726837755,21.0,20.667398919778186,"GCA_003057735.2 Pseudomonas sp. RIT 411 strain=RIT 411, ASM305773v2",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,25364a8ba9aea8c3689e4c4e86cc1df3,0.8708577920848324,4598000,1,92638000,AttcapACBM3_FD_11231.5.197616.GTAGAG.fastq.gz,,64a853e0,1238745000
4600000,0.0037134357757246245,0.5077523703290574,0.0036746868806735848,0.05452006547957791,298.2458260105448,23.0,945.6611065099939,"GCA_900068885.1 Pantoea vagans strain=PaVv9, PaVv9.fasta",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,735d9d5152207b8006b7fd0003ce1529,0.5131065253764641,4552000,2,88086000,AttcapACBM3_FD_11231.5.197616.GTAGAG.fastq.gz,,64a853e0,1238745000
4334000,0.0034987023156501135,0.5359307359307359,0.003497895047003217,0.00041957818978917443,2.4112624048003695,2.0,1.8673485557904748,"GCA_011753045.1 Burkholderia sp. Ap-955 strain=Ap-955, ASM1175304v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,d279daaa71de9ecab7aaa02270c0baee,0.5360544217687074,4333000,3,83753000,AttcapACBM3_FD_11231.5.197616.GTAGAG.fastq.gz,,64a853e0,1238745000
4319000,0.0034865932859466636,0.8604244147888864,0.003174987588244554,0.38285562072733925,2423.992880752606,2851.0,1428.4612824092035,"GCA_007679955.1 Pantoea agglomerans strain=DE0059, ASM767995v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,fb15133dfdb2dd511d97f59eb7ab4ac6,0.9448698315467075,3933000,4,79820000,AttcapACBM3_FD_11231.5.197616.GTAGAG.fastq.gz,,64a853e0,1238745000
3549000,0.0028649964278362377,0.6679916713988264,0.002848851054898304,0.0006933401078397872,4.892320770756588,4.0,10.22807466955472,"GCA_000695995.1 Serratia sp. FS14 strain=FS14, ASM69599v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,f0270ed0a63fe84c926335177a804acd,0.6717773992049971,3529000,5,76291000,AttcapACBM3_FD_11231.5.197616.GTAGAG.fastq.gz,,64a853e0,1238745000
3406000,0.0027495570113300156,0.8555639286611404,0.0027495570113300156,0.0007641800702046516,5.586905460951263,5.0,6.01397315924969,"GCA_000788125.1 Acinetobacter sp. neg1 strain=neg1, ac.159.2",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,69843d9b280637d14a65cdf89bf90d3c,0.8555639286611404,3406000,6,72885000,AttcapACBM3_FD_11231.5.197616.GTAGAG.fastq.gz,,64a853e0,1238745000
4342000,0.003505160464825287,0.6495659037095501,0.0026575283855837964,0.001523099349553409,11.520959902794655,9.0,12.954560667654938,"GCA_014522265.1 Pseudomonas psychrotolerans strain=KNF2016, ASM1452226v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,c10368aca38603ea12504b9bc46e8138,0.8567482241515391,3292000,7,69593000,AttcapACBM3_FD_11231.5.197616.GTAGAG.fastq.gz,,64a853e0,1238745000
3699000,0.002986086724870736,0.4325587606837607,0.0026147431472982735,0.0002316354324946361,1.7807965421426366,1.0,1.126509216471433,"GCA_001527645.1 Burkholderia stagnalis strain=MSMB1966, ASM152764v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,15cd4f89bdb7fdc566a7257ac81d36ea,0.49399038461538464,3239000,8,66354000,AttcapACBM3_FD_11231.5.197616.GTAGAG.fastq.gz,,64a853e0,1238745000
3912000,0.0031580349466597242,0.5751081030268848,0.002469434790856875,0.004561346624313151,37.13076168682576,17.0,218.88834098089114,"GCA_016658625.1 Pantoea sp. S62 strain=S62, ASM1665862v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,533bca3224fe56c7eb4df399cfe895ee,0.7354765933446137,3059000,9,63295000,AttcapACBM3_FD_11231.5.197616.GTAGAG.fastq.gz,,64a853e0,1238745000
