intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
475000,0.0007596086496237138,0.0018264313454070058,0.0007596086496237138,0.0007596086496237138,,,,"GCA_003640625.1 Plasmopara obducens strain=PA1-1, ASM364062v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,9c3e6b6322f38622fb32c9b943118532,0.0018264313454070058,475000,0,1377000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
398000,0.0006364720895794487,0.0012428622610581451,0.0006268770329526228,0.0006268770329526228,,,,"GCA_009731375.1 Paulinella micropora strain=MYN1, PmicroMYN1_1.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,55b86d1a457576dc7b722a939775d0b6,0.0012618856630131165,392000,1,985000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
321000,0.0005133355295351835,0.0002900754196090984,0.0002318805351482916,0.0002318805351482916,,,,"GCA_004523865.1 Nephromyces sp. ex Molgula occidentalis, ASM452386v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,ad6fc4de5b99575aa255510de485b129,0.0006421669634104867,145000,2,840000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
103000,0.00016471513876051058,0.0013386191628481697,0.00012473573614873618,0.00012473573614873618,,,,"GCA_000318465.2 Phytophthora lateralis MPF4 strain=MPF4, MPF4_v2.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,6326779a8412ca0bbcba967fdc89d7c2,0.0017676637663251473,78000,3,762000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
71000,0.00011354150341743933,0.001065751445086705,9.435139016378762e-05,9.435139016378762e-05,,,,"GCA_900092245.1 Acytostelium leptosomum, ASM90009224v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,3e2ce51a8fb67a45fbb75ad2dcb7cff9,0.001282514450867052,59000,4,703000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
182000,0.0002910500510137177,3.6584250480168285e-05,7.676045301460687e-05,7.676045301460687e-05,,,,"GCA_905237085.1 Polarella glacialis, Pgla_CCMP1383",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,0a11c405ad29bbf73087b69d861026b6,0.00013871528307063809,48000,5,655000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
45000,7.196292470119394e-05,0.0006669703279541905,6.556622028331004e-05,6.556622028331004e-05,,,,"GCA_000252605.1 Pseudoperonospora cubensis, ASM25260v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,dfc0f3aeb81135e5b79bb7dde23e4ff0,0.0007320406038521603,41000,6,614000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
53000,8.475633353696176e-05,0.00021013270688642597,6.236786807436809e-05,6.236786807436809e-05,,,,"GCA_003640485.1 Plasmopara obducens strain=H12-14-11, ASM364048v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,51d003d9989562ae241ddbed6f67cca3,0.0002855649606405276,39000,7,575000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
206000,0.00032943027752102116,5.717350983132133e-05,5.43719875520132e-05,5.43719875520132e-05,,,,"GCA_905221605.1 Symbiodinium natans, Snat_CCMP2548",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,3261c17d06e6b49255d90a885bed112b,0.0003464042066250645,34000,8,541000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
191000,0.0003054426359539565,3.5859942099985795e-05,4.157857871624539e-05,4.157857871624539e-05,,,,"GCA_905231925.1 Symbiodinium microadriaticum, Smic_04-503SCI.03",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,71d9d2102bf3879dee1fa824a9cc339b,0.0002634326515806649,26000,9,515000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
56000,8.955386185037469e-05,0.0003386434507767634,3.8380226507303435e-05,3.8380226507303435e-05,,,,"GCA_000826325.1 Acanthamoeba palestinensis, Acanthamoeba palestinensis",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,cb71f4c616eba4168bcef6bc949d1002,0.0007901680518124479,24000,10,491000,AttsexASBM2_FD_111476.assembled.fna,Ga0157364_1000001,e827cdea,625322000
