intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4581000,0.02712448486570982,0.8898601398601399,0.02712448486570982,0.057047047158565525,5.58895437677363,5.0,4.954078602804422,"GCA_900558315.1 Enterobacter hormaechei strain=2485STDY5477954, 9776_8#23",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,0bf0b68b092b61dc39d6f670434a9c1f,0.8898601398601399,4581000,0,59195000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
4106000,0.024311970063000333,0.7921826625386997,0.0242409170574582,0.18182729693296643,19.932828529555447,20.0,6.318847046995892,"GCA_016008645.1 Serratia marcescens strain=SER00046, ASM1600864v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,ef3a61384af6ecda7de70e4d3f19407d,0.7945046439628483,4094000,1,55101000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
3910000,0.02315143763914547,0.6326161931351618,0.02280801477902515,0.018241775381290317,2.1253894080996885,2.0,2.862024283609572,"GCA_016516145.1 Klebsiella sp. S69 strain=S69, S69",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,04e5f1c5679ac5b90e861534ccb71618,0.6421415667597307,3852000,2,51249000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
3413000,0.02020865899294207,0.7256656481885639,0.019687603618966414,0.025668163233475563,3.4646616541353383,3.0,2.1553987293571826,"GCA_000330845.1 Enterobacteriaceae bacterium strain FGI 57 strain=FGI 57, ASM33084v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,8aa7aae4817b9cea43e4118748cd82fc,0.7448712352684417,3325000,3,47924000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
2932000,0.017360617687461513,0.546345139412208,0.01717114300601582,0.014313566025333943,2.2151724137931033,2.0,1.9177692153585457,"GCA_009830025.1 Pantoea sp. Taur strain=Taur, ASM983002v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,aa661470763018fdb132668c7d97aaf4,0.5523737754333082,2900000,4,45024000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
2316000,0.013713230069631946,0.4270058708414873,0.012919804841078112,0.007825224763538731,1.609532538955087,1.0,1.1910377445262685,"GCA_011752635.1 Pantoea sp. Cy-640 strain=Cy-640, ASM1175263v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,05f016d6d9e7e8e738a274e8d1f0713a,0.4532289628180039,2182000,5,42842000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
2006000,0.011877694093126806,0.35899731423455683,0.011871773009331628,0.014794844085961609,3.311720698254364,3.0,3.080481110494792,"GCA_017744435.1 Pseudomonas sp., ASM1774443v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,b4fd9333582057a17f21319a23acfa21,0.3591763652641003,2005000,6,40837000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
1990000,0.01178295675240396,0.33400884303610906,0.010734924920657477,0.00653067590601709,1.616657473800331,1.0,1.1027161332551634,"GCA_022141245.1 Klebsiella aerogenes strain=278559, PDT001244098.1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,bb14f2f6d669d9eeb06e5fac12e98912,0.36661753868828295,1813000,7,39024000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
2101000,0.012440197053668703,0.326989305782128,0.010681635166500876,0.012502088880471475,3.110310421286031,3.0,1.7811292517386708,"GCA_001485335.1 Type-D symbiont of Plautia stali, D_1.0",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,c9c1d621c435857ec807da3edcc505bb,0.3808229110023564,1804000,8,37220000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
1700000,0.010065842451802379,0.3399478853477651,0.010042158116621666,0.0057196332482926885,1.513561320754717,1.0,0.8740520773818995,"GCA_902156535.1 Stenotrophomonas maltophilia, A1_134082_basrhin",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,e9e4a1f8bedd4eeb37240daab1ad244a,0.34074964922830225,1696000,9,35524000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
