intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
3382000,0.020025105395291554,0.009077610618281374,0.020025105395291554,0.06891411637570882,9.145180366646954,3.0,10.117139412286136,GCA_009867345.1_ASM986734v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e634882be6ebe1736bb645a200a7bf3e,0.009077610618281374,3382000,0,9320000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
2751000,0.01628890152053432,0.0005299121009820579,0.015501397375775662,0.01943605797618119,3.331932773109244,2.0,3.2347987576286754,GCA_014338645.1_ASM1433864v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b404ebeeb8c725b1bf7e86a81b3eeac0,0.0005568327692137667,2618000,1,6702000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
1716000,0.010160579792525224,0.0029876634984689994,0.009994789446260243,0.007179064404362697,1.9087677725118484,1.0,2.0217933239202748,GCA_001687015.1_ASM168701v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,0dc1cb25e7c7b4bf1bceb809ce434656,0.0030372218977327034,1688000,2,5014000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
722000,0.004275022500118421,0.0016193925950397621,0.00325067500355265,0.004552088323436682,3.721311475409836,1.0,12.200089630276155,GCA_002573525.1_SJ18_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,c6856d9aba99d13739b57ee6a09aa7c2,0.0021296929938409985,549000,3,4465000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
1578000,0.009343470228790679,0.0017376134227161679,0.0029605418975889347,0.002192488942859371,1.968,1.0,2.6726346551670694,GCA_002141455.1_Co_S7_2014_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,a1af95f9e475528b31792ecebfb4d3db,0.005483907962092226,500000,4,3965000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
462000,0.002735540713372176,0.0008825447987414143,0.002315143763914547,0.004532035070910529,5.202046035805626,5.0,3.2012778631290333,GCA_000230855.2_Pigeonpea-Version-2.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d9b4e1f98df5b1e3d5129e9e3e015c18,0.0010428022941650471,391000,5,3574000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
449000,0.0026585666240348635,0.0012826896253820864,0.002303301596324191,0.001341339780082664,1.5475578406169666,1.0,0.8580035713227161,GCA_000149285.1_OrySat_Sep2003_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73688dd917b38744bb1c0664ba677dff,0.0014805337835387066,389000,6,3185000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
715000,0.004233574913552177,0.0008037950963567864,0.0019302733172279853,0.002531166096634396,3.4846625766871164,2.0,4.255427178200515,GCA_010261695.1_La_Amiga3.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,73767c04d625fb0443ae1675113386f4,0.0017629248278990867,326000,7,2859000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
621000,0.003676993036805457,0.0008430580822647203,0.0015750082895173133,0.011207540022949833,18.909774436090224,18.5,12.304078819164753,GCA_000004655.2_ASM465v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,e32dc1176a23ed090bfaf5fad864a8d2,0.0019681919890465836,266000,8,2593000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
546000,0.0032329117521671166,0.0003645311218445275,0.0011842167590355738,0.0021523824378070653,4.83,5.0,3.3198042110943833,GCA_900235945.1_Canthatch-W_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,39129f194483f72b6f6bd6db3fd87669,0.00099516996263556,200000,9,2393000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
327000,0.0019361944010231633,0.0004252093296939996,0.0011723745914452182,0.0010717349405643876,2.4292929292929295,2.0,2.1840908944923854,GCA_020877215.1_ASM2087721v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b01a18813b3ca6e8804662db73563bbf,0.0007022396505552417,198000,10,2195000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
434000,0.0025697503671071953,3.0456674869550998e-05,0.0010598739993368386,0.0010427691313599447,2.6145251396648046,2.0,3.3362761787639985,GCA_004151065.1_LarixSibirica0.1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,b309a98d23e9e98a80fb2411d43bd10d,7.384467538203985e-05,179000,11,2016000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
453000,0.0026822509592155748,0.00018682447186387755,0.0009296101558429255,0.0010917881930905405,3.121019108280255,1.0,5.331495552027679,GCA_002180455.1_ASM218045v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,d956f9f6a1df8936ddc8a86ff740ca56,0.0005390540493906786,157000,12,1859000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
273000,0.0016164558760835583,0.00010097525264849673,0.0008526360665056132,0.002938915564666169,9.159722222222221,2.0,10.485216573323898,GCA_024704795.1_ASM2470479v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,571e1770f92148b38017b63373df3302,0.00019143224981277505,144000,13,1715000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
488000,0.0028894888920468,7.387308496159677e-05,0.0008111884799393681,0.0012923207183520682,4.233576642335766,4.0,3.5044555034288587,GCA_910594505.1_hordeum_vulgare_accession_hor_337_contigs_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,84cf0563c97674146150abf4f478ae67,0.0002631391639507973,137000,14,1578000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
322000,0.0019065889820472739,8.858474043318615e-05,0.0007756619771683009,0.0007731642918416685,2.648854961832061,1.0,3.7496537532204575,GCA_021461685.1_ASM2146168v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,2a21ee2ea96dab2ed61840693100701d,0.00021774264442355677,131000,15,1447000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
159000,0.0009414523234332812,0.00021647272188027864,0.0007519776419875894,0.002063256871024164,7.291338582677166,7.0,3.5893767937138525,GCA_002813485.1_ASM281348v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,552dccd73e76599a21f769da83fc9f08,0.0002710170297556245,127000,16,1320000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
347000,0.0020546160769267206,5.7892444842973174e-05,0.0005328975415660082,0.0004099776072013458,2.0444444444444443,1.0,1.9602217057778109,GCA_019775975.1_OSU_SAla_1.0_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,24b444ede46220a92a1a738fffee434c,0.0002232075373390188,90000,17,1230000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
440000,0.0026052768698782624,0.00016340466106989682,0.0005032921225901188,0.0007174608126023551,3.788235294117647,3.0,2.886455663539258,GCA_023376185.1_v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,224c62fd568fb581780bfe68067845a6,0.0008458594220088777,85000,18,1145000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
84000,0.000497371038794941,0.0012297137679400676,0.0004500023684335181,0.0004723655039493767,2.789473684210526,2.0,1.9284285221643434,GCA_002317545.1_ASM231754v1_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,5c9268a69d9a21af6f8be6424f0e2a83,0.0013591573224600749,76000,19,1069000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
155000,0.0009177679882525697,0.000210629004722524,0.0004500023684335181,0.0011564042290081438,6.828947368421052,6.0,5.896895164082306,GCA_000510995.2_Spinach-1.0.3_genomic.fna.gz,db/sourmash/genbank-2022.08-plant-k31.sbt.zip,0ad17484f3194ff500a7ea02a3c8641d,0.0004295723122630424,76000,20,993000,reverse/11465.2.TCAG.2009_10_03_02_06_45.F3GY48O02.fastq.gz.abundtrim,11465.1.TCAG.2009_10_03_02_06_45.F3GY48O01,82323ec2,168888000
