intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4531000,0.014874611392159887,0.897050089091269,0.014874611392159887,0.014874611392159887,,,,"GCA_017052115.1 Pantoea stewartii subsp. indologenes strain=PANS 07-6, ASM1705211v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,e3c23af48347ce2225d58d58eb1336f3,0.897050089091269,4531000,0,30410000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
3823000,0.01255035077294797,0.7237265669380799,0.012547067918966032,0.012547067918966032,,,,"GCA_003057735.2 Pseudomonas sp. RIT 411 strain=RIT 411, ASM305773v2",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,25364a8ba9aea8c3689e4c4e86cc1df3,0.7239159250142019,3822000,1,26588000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
3221000,0.010574072675821453,0.6956902209582149,0.010439475662562005,0.010439475662562005,,,,"GCA_007679955.1 Pantoea agglomerans strain=DE0059, ASM767995v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,fb15133dfdb2dd511d97f59eb7ab4ac6,0.7046598118573616,3180000,2,23408000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
3057000,0.010035684622783663,0.6397974256172189,0.00995361327323522,0.00995361327323522,,,,"GCA_009755685.1 Enterobacter asburiae strain=AEB30, ASM975568v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,b1e7ced572f7f546ce2ec4926abeff9b,0.645072800168812,3032000,3,20376000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
2352000,0.0077212725655175585,0.4603080568720379,0.007652332631896866,0.007652332631896866,,,,"GCA_001716895.1 Serratia marcescens strain=UENF-22GI, ASM171689v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,380d3e2fee416ab1333fbe4194077b7c,0.46445497630331756,2331000,4,18045000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
1792000,0.005882874335632425,0.17690327326222877,0.0031581055306241033,0.0031581055306241033,,,,"GCA_913775755.1 uncultured Pseudomonas sp., S1C62909_SP162_cleaned",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,a8383e1cd91c46860663365269f455c3,0.32953291651342403,962000,5,17083000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
4491000,0.014743297232882379,0.17949251247920134,0.0028331029864122675,0.0028331029864122675,,,,"GCA_017051935.1 Pantoea stewartii subsp. indologenes strain=PANS 07-14, ASM1705193v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,7db75d5e893e4e6951c9a831eb3dad67,0.9340682196339434,863000,6,16220000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
3781000,0.012412470905706584,0.14303303919556742,0.002288149225410603,0.002288149225410603,,,,"GCA_913777085.1 uncultured Pseudomonas sp., SP29_3_metabat2_genome_mining.23",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,1cda99e3248b7f8f2c81dc3caa731b66,0.7759080648471167,697000,7,15523000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
1472000,0.0048323610614123495,0.11215124816446402,0.0020058237829639575,0.0020058237829639575,,,,"GCA_001512295.1 Pseudomonas sp. EpS/L25 strain=EpSL25, ASM151229v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,b172705e27cbf5a141c550248a6fd078,0.2701908957415565,611000,8,14912000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
508000,0.0016676898228243707,0.06913950634119732,0.001664406968842433,0.001664406968842433,,,,"GCA_011753085.1 Burkholderia sp. Tr-862 strain=Tr-862, ASM1175308v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,511616c2c2b80ad2d7f8056b5c617fb8,0.06927587617618983,507000,9,14405000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
1589000,0.005216454977299064,0.09299740644683216,0.0016479926989327442,0.0016479926989327442,,,,"GCA_016008605.1 Serratia marcescens strain=SER00047, ASM1600860v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,6d98596b128a7f1784609ff8bced9614,0.29436828454983327,502000,10,13903000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
4406000,0.014464254644417671,0.10149682181669059,0.00162501272105918,0.00162501272105918,,,,"GCA_014218605.1 Pantoea stewartii strain=NRRL B-133, ASM1421860v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,a88fff0087c0a810dfcc419f72ccf124,0.9034242362107853,495000,11,13408000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
3076000,0.01009805884844048,0.0978778692074491,0.0014838499998358573,0.0014838499998358573,,,,"GCA_001485375.1 Type-F symbiont of Plautia stali, F_1.0",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,864341bde06d3e0e0e1e508aca22eb37,0.6660892161108705,452000,12,12956000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
1095000,0.0035947251102218226,0.07469112691875703,0.0013098587387931572,0.0013098587387931572,,,,"GCA_001476875.1 Pseudomonas psychrotolerans strain=SB5, ASM147687v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,46b4a349aba1a129dbccab7c3c841f8d,0.20497940846125046,399000,13,12557000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
2804000,0.009205122565353416,0.07562168772931105,0.0012179388272989006,0.0012179388272989006,,,,"GCA_000568175.1 Enterobacter asburiae C1 strain=C1, De novo Assembly",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,815917664874c5d4f2783daaf471b694,0.5715450468813698,371000,14,12186000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
4393000,0.01442157754265248,0.07449164485604994,0.0012146559733169629,0.0012146559733169629,,,,"GCA_011044475.1 Pantoea stewartii strain=ZJ-FGZX1, ASM1104447v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,7a5359ce1020b18bf1885dfa219739c5,0.884437286088182,370000,15,11816000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
2018000,0.006624799335550354,0.056822361162191984,0.001014401880418761,0.001014401880418761,,,,"GCA_020888725.1 Serratia marcescens strain=TE4, ASM2088872v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,7db1a002840ba75d28600293a1dd71f2,0.3710923133504965,309000,16,11507000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
3787000,0.012432168029598211,0.05222841225626741,0.0009848561945813212,0.0009848561945813212,,,,"GCA_012985915.1 Pseudomonas psychrotolerans strain=DSM 15758, ASM1298591v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,3152c287da4ceb5fa84dc22157c3ba53,0.6592966573816156,300000,17,11207000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
350000,0.001148998893678208,0.05623130608175474,0.0009257648229064419,0.0009257648229064419,,,,"GCA_014852515.1 Pantoea sp. PNT03 strain=PNT03, ASM1485251v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,daed9232e28ea5d32f216be6484ef999,0.06979062811565304,282000,18,10925000,AttbisABBM1_FD_113149.assembled.fna,Ga0157366_1000001,fa393385,304613000
