intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
2910000,0.023656420970482313,0.011189295189756605,0.023656420970482313,0.023656420970482313,,,,"GCA_003640625.1 Plasmopara obducens strain=PA1-1, ASM364062v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,9c3e6b6322f38622fb32c9b943118532,0.011189295189756605,2910000,0,433000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
83000,0.0006747364056872963,0.0013908959537572254,0.0006259602799749616,0.0006259602799749616,,,,"GCA_900092245.1 Acytostelium leptosomum, ASM90009224v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,3e2ce51a8fb67a45fbb75ad2dcb7cff9,0.0014992774566473987,77000,1,356000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
92000,0.0007479005942557982,0.0010983541849010623,0.0005202786742649031,0.0005202786742649031,,,,"GCA_000318465.2 Phytophthora lateralis MPF4 strain=MPF4, MPF4_v2.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,6326779a8412ca0bbcba967fdc89d7c2,0.0015788841407952771,64000,2,292000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
48000,0.00039020900569867735,0.0006606209837247012,0.0003576915885571209,0.0003576915885571209,,,,"GCA_000258005.2 Hammondia hammondi strain=H.H.34, HHA1 v02",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,c8bda741a45f3b4ab80122c5ada99cfe,0.0007206774367905832,44000,3,248000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
45000,0.00036582094284251,0.00010110634855954092,0.0002682686914178407,0.0002682686914178407,,,,"GCA_003640505.1 Plasmopara halstedii, ASM364050v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,5905a6d59272b14945d51be7ae4ba091,0.00013787229349028306,33000,4,215000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
31000,0.00025200998284706245,0.0005480607082630691,0.0002113632114201169,0.0002113632114201169,,,,"GCA_002893405.1 Cyclospora cayetanensis strain=CDC:HCFL47:13, ASM289340v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,8651de2acd70c36d61b6b4cf7a53a1f6,0.0006534569983136593,26000,5,189000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
30000,0.00024388062856167333,8.053728876469806e-05,0.00018697514856394956,0.00018697514856394956,,,,"GCA_019918135.1 Paulinella micropora strain=KR01, ASM1991813v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,034e5f98491a1ff5013d87a0a3f7d026,0.00010504863751917138,23000,6,166000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
28000,0.00022762191999089513,0.0008909312576198069,0.00015445773142239313,0.00015445773142239313,,,,"GCA_917563895.1 Entamoeba histolytica HM-1:IMSS strain=Rahman, Assembly 1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,505c743e0d67a7bc0ca1aafdd563b0cc,0.0013129513270186627,19000,7,147000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
32000,0.00026013933713245156,8.08202718793946e-05,0.00012194031428083667,0.00012194031428083667,,,,"GCA_003640485.1 Plasmopara obducens strain=H12-14-11, ASM364048v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,51d003d9989562ae241ddbed6f67cca3,0.00017241658000937516,15000,8,132000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
25000,0.0002032338571347278,0.00024401353461738677,0.00012194031428083667,0.00012194031428083667,,,,"GCA_000252605.1 Pseudoperonospora cubensis, ASM25260v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,dfc0f3aeb81135e5b79bb7dde23e4ff0,0.0004066892243623113,15000,9,117000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
48000,0.00039020900569867735,0.00021484407278256126,0.00010568160571005845,0.00010568160571005845,,,,"GCA_003724065.1 Plasmopara halstedii strain=pathotype 710, Plhal710r1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,6db309350de9b84e2facf8d3ab08acff,0.0007932704225817647,13000,10,104000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
17000,0.0001381990228516149,0.00014110143782365141,8.129354285389112e-05,8.129354285389112e-05,,,,"GCA_000826325.1 Acanthamoeba palestinensis, Acanthamoeba palestinensis",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,cb71f4c616eba4168bcef6bc949d1002,0.0002398724443002074,10000,11,94000,AttlaeALBM2_FD_111481.assembled.fna,Ga0157361_1000001,ddbc7cc3,123011000
