intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
4380000,0.048969734914973785,0.8508158508158508,0.048969734914973785,0.048969734914973785,,,,"GCA_900558315.1 Enterobacter hormaechei strain=2485STDY5477954, 9776_8#23",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,0bf0b68b092b61dc39d6f670434a9c1f,0.8508158508158508,4380000,0,41539000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
4086000,0.04568272531109198,0.788312693498452,0.04554856165379068,0.04554856165379068,,,,"GCA_016008645.1 Serratia marcescens strain=SER00046, ASM1600864v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,ef3a61384af6ecda7de70e4d3f19407d,0.7906346749226006,4074000,1,37465000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
2748000,0.03072347752199725,0.44243718180325176,0.03011974106414141,0.03011974106414141,,,,"GCA_016516145.1 Klebsiella sp. S69 strain=S69, S69",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,04e5f1c5679ac5b90e861534ccb71618,0.4513056331088849,2694000,2,34771000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
2686000,0.030030298625940543,0.5700567437800087,0.02920295607258254,0.02920295607258254,,,,"GCA_000330845.1 Enterobacteriaceae bacterium strain FGI 57 strain=FGI 57, ASM33084v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,8aa7aae4817b9cea43e4118748cd82fc,0.5862068965517241,2612000,3,32159000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
1812000,0.020258712252496,0.3357196684250188,0.019923303109242757,0.019923303109242757,,,,"GCA_009830025.1 Pantoea sp. Taur strain=Taur, ASM983002v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,aa661470763018fdb132668c7d97aaf4,0.3413715146948003,1782000,4,30377000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
1573000,0.01758661941124515,0.2868884540117417,0.016390326800308577,0.016390326800308577,,,,"GCA_011752635.1 Pantoea sp. Cy-640 strain=Cy-640, ASM1175263v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,05f016d6d9e7e8e738a274e8d1f0713a,0.30782778864970645,1466000,5,28911000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
1662000,0.018581666536229776,0.25847380822911004,0.01594311460930425,0.01594311460930425,,,,"GCA_001485335.1 Type-D symbiont of Plautia stali, D_1.0",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,c9c1d621c435857ec807da3edcc505bb,0.3012506797172376,1426000,6,27485000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
1404000,0.01569714790425187,0.28158264711789516,0.015674787294701654,0.015674787294701654,,,,"GCA_902157215.1 Stenotrophomonas maltophilia, A1_175746_seinemaritime",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,6ed1188787bda67d584eea2500ab5f44,0.2819843342036554,1402000,7,26083000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
1195000,0.013360464206254263,0.21360787824529992,0.013338103596704046,0.013338103596704046,,,,"GCA_017744435.1 Pseudomonas sp., ASM1774443v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,b4fd9333582057a17f21319a23acfa21,0.21396598030438674,1193000,8,24890000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
1114000,0.0124548595194705,0.18036109064112013,0.010945518374830899,0.010945518374830899,,,,"GCA_022141245.1 Klebsiella aerogenes strain=278559, PDT001244098.1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,bb14f2f6d669d9eeb06e5fac12e98912,0.20523212969786292,979000,9,23911000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
932000,0.010420044050400814,0.14052089642640825,0.010375322831300382,0.010375322831300382,,,,"GCA_014851745.1 Achromobacter sp. ACM01 strain=ACM01, ASM1485174v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,33dbbb1ce502f4816ce8c8995cffca07,0.14112658994548757,928000,10,22983000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
944000,0.010554207707702112,0.1336882579118604,0.010106995516697786,0.010106995516697786,,,,"GCA_002079985.1 Pseudomonas sp. T strain=T, ASM207998v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,30746fa31a3d2512de17d15f74eda910,0.1396036675539781,904000,11,22079000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
796000,0.008899522600986103,0.14204139900071378,0.008899522600986103,0.008899522600986103,,,,"GCA_002420705.1 Sphingobacterium sp. UBA5670, ASM242070v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,da30557c8e660ef1521dece35ccf57e3,0.14204139900071378,796000,12,21283000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
1068000,0.011940565499815524,0.11732933233308328,0.008742998334134588,0.008742998334134588,,,,"GCA_016658545.1 Pseudomonas sp. S37 strain=S37, ASM1665854v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,8103cd32c04049f543e7670a008daf2a,0.16024006001500374,782000,13,20501000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
987000,0.011034960813031763,0.15093572009764036,0.008295786143130262,0.008295786143130262,,,,"GCA_900185935.1 Enterobacter soli, Enterobacter_soli_LMG_25861T_ERS954912",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,8fb9b26d57e38b9581e6c920dcc57a4a,0.20077298616761594,742000,14,19759000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
863000,0.00964860302091835,0.15029609965284868,0.008228704314479612,0.008228704314479612,,,,"GCA_000330865.1 Serratia sp. FGI94 strain=FGI94, ASM33086v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,81edef83585953df4f43b5c6372d749a,0.17623034510925056,736000,15,19023000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
721000,0.00806099974285299,0.16594663278271918,0.007300739018145635,0.007300739018145635,,,,"GCA_008631385.1 Pantoea sp. M_9 strain=M_9, ASM863138v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,b11f18d2a5402519f5886d1806d6ce1e,0.18322744599745872,653000,16,18370000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
519000,0.00580257817828114,0.08796536796536797,0.00567959482575495,0.00567959482575495,,,,"GCA_004366165.1 Herbaspirillum seropedicae strain=AG215, ASM436616v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,a29f7208a9f3c5f63989e90dc870e20d,0.08987012987012986,508000,17,17862000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
2395000,0.026776829936384066,0.09194924069065946,0.004941694710597811,0.004941694710597811,,,,"GCA_021172065.1 Pseudocitrobacter sp. G163CM, ASM2117206v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,c87c7bd2538ac10779cc88d347fc205d,0.49823174537133347,442000,18,17420000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
3987000,0.04457587513835627,0.08448275862068966,0.004930514405822703,0.004930514405822703,,,,"GCA_016005525.1 Serratia marcescens strain=SER00188, ASM1600552v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,40b20f139252f0b7bdc6e898ab7f274e,0.7637931034482759,441000,19,16979000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
673000,0.007524345113647798,0.0628625176359931,0.0044833022148183755,0.0044833022148183755,,,,"GCA_016648105.1 Pseudomonas sp. S31 strain=S31, ASM1664810v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,28f622b5a372e2616e49b42715a8bf16,0.10550242984793855,401000,20,16578000,AptfungaCombined_FD_2029527003.a.fna,APTF_contig00515,a5f3c825,89443000
