intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
5710000,0.01862798830775655,0.8603284616543619,0.01862798830775655,0.01862798830775655,,,,"GCA_014851985.1 Pseudomonas sp. PDM17 strain=PDM17, ASM1485198v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,09dc39a9ecec314c3ccb43e75fe23a96,0.8603284616543619,5710000,0,85085000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
5207000,0.01698702891742353,0.8534666448123258,0.01698702891742353,0.01698702891742353,,,,"GCA_022100815.1 Klebsiella oxytoca strain=223556, PDT001243854.1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,f9123ad664dac73d73217a66a99a5578,0.8534666448123258,5207000,1,79878000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
4254000,0.01387801440651425,0.8406087304765719,0.013695323102620316,0.013695323102620316,,,,"GCA_003944645.1 Enterobacter huaxiensis strain=WCHEHu045002, ASM394464v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,d445403f5085a083c7672d1b5b022048,0.8518221866239487,4198000,2,75680000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
4109000,0.013404974423217454,0.7757736852097968,0.013329940494832446,0.013329940494832446,,,,"GCA_002220715.1 Serratia marcescens strain=UMH7, ASM222071v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,20d9fadab68f819976aab260a290879c,0.7801404974368711,4086000,3,71594000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
3924000,0.012801440651424993,0.48534322820037107,0.012801440651424993,0.012801440651424993,,,,"GCA_011753045.1 Burkholderia sp. Ap-955 strain=Ap-955, ASM1175304v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,d279daaa71de9ecab7aaa02270c0baee,0.48534322820037107,3924000,4,67670000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
3688000,0.012031527299300553,0.6134132135130638,0.01202500260987577,0.01202500260987577,,,,"GCA_002157685.1 Comamonas testosteroni strain=R2, ASM215768v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,5b65ef302957350c01afc3ebcb47896e,0.6137460475952737,3686000,5,63984000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
3613000,0.011786851445871176,0.5937655446857901,0.011682456415074642,0.011682456415074642,,,,"GCA_001679645.1 Pseudomonas fluorescens strain=BW11P2, ASM167964v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,1de489f79532ff7913127432ccfbffba,0.599071464102139,3581000,6,60403000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
3455000,0.01127140098131329,0.6474293842714895,0.010393830253679924,0.010393830253679924,,,,"GCA_009648915.1 Enterobacter cancerogenus strain=MiY-F, ASM964891v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,79fa690ffaac6ba64f866a5aaf381375,0.7020930705141232,3186000,7,57217000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
3208000,0.010465601837352541,0.6872410032715376,0.010279648188746215,0.010279648188746215,,,,"GCA_900106975.1 Pseudomonas kuykendallii strain=NRRL B-59562, IMG-taxon 2671180037 annotated assembly",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,75e8d48cbc0abfecfc4a676e83addc0c,0.6996728462377317,3151000,8,54066000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
3061000,0.009986037164630963,0.44621155288822206,0.009702213174652887,0.009702213174652887,,,,"GCA_016658545.1 Pseudomonas sp. S37 strain=S37, ASM1665854v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,8103cd32c04049f543e7670a008daf2a,0.459264816204051,2974000,9,51092000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
2938000,0.009584768765006786,0.5700624512099922,0.009529308904896127,0.009529308904896127,,,,"GCA_014395975.1 Diaphorobacter ruginosibacter strain=DSM 27467, ASM1439597v1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,3cc9d024366cffe9e93a692c528df9af,0.5733801717408274,2921000,10,48171000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
3359000,0.010958215888923687,0.6140868831716575,0.009499947802484601,0.009499947802484601,,,,"GCA_016431985.1 Enterobacter hormaechei subsp. steigerwaltii strain=ECC062, PDT000924737.1",db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,bb611aebef5176f2da7364b4b33ca97f,0.7083509067903838,2912000,11,45259000,MycgoeldiiGarden_89861.assembled.fna,Ga0131695_1000001,e450a38e,306528000
