intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
1788000,0.0015259436015341366,0.4296011532916867,0.0015259436015341366,0.0016803199035269885,1.2281879194630871,1.0,1.8368736401983132,"GCA_003133065.1 Acetobacteraceae bacterium, 20111000_S3S",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,34c6f38d0f6ad71c20eb6ee798ecb6a1,0.4296011532916867,1788000,0,20097000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
1728000,0.00147473744040883,0.5260273972602739,0.00147473744040883,0.001348234822410999,1.0196759259259258,1.0,0.16196675062903448,"GCA_903970485.1 Acidobacteriaceae bacterium, BOG_genome_mining.207",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,cd5cf6a0bed7e7c891be4cfa36da1de1,0.5260273972602739,1728000,1,18369000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
730000,0.0006230082936912303,0.16766329346826128,0.0006221548576724751,0.0006871253521708723,1.2318244170096022,1.0,1.3777686546518826,"GCA_003139935.1 Acetobacteraceae bacterium, 20110800_S1S",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,1622e98cb35241c6dadd7282754efd38,0.16789328426862926,729000,2,17640000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
545000,0.00046512263022153495,0.19653804543815362,0.00046512263022153495,0.0005226131576088037,1.2532110091743118,1.0,0.8470747080274063,"GCA_003136615.1 Caulobacteraceae bacterium, 20110800_S3S",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,5de0e6a9a8148abbb0f002a6754bd14e,0.19653804543815362,545000,3,17095000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
540000,0.00046085545012775937,0.15814226925338037,0.00045914857809024916,0.0004239058408715627,1.029739776951673,1.0,0.2000193465028194,"GCA_003136655.1 Candidatus Eremiobacteraeota bacterium, 20110800_S3S",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,0af2e823d795a6a6c5a9380cd8398107,0.15873015873015872,538000,4,16557000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
428000,0.00036527061602718706,0.3154016212232867,0.00036527061602718706,0.0003412671570915468,1.0420560747663552,1.0,0.33919569054129917,"GCA_021804845.1 Proteobacteria bacterium, ASM2180484v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,e5f89b0f3d31018ea282d5ceccea264f,0.3154016212232867,428000,5,16129000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
334000,0.00028504763026420673,0.18689320388349515,0.00026285829377657385,0.0002463857053441213,1.0454545454545454,1.0,0.22334264314181612,"GCA_017302665.1 Rickettsiales bacterium, ASM1730266v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,39382ac6946786a6d2b0265dbc4e070a,0.20266990291262135,308000,6,15821000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
231000,0.0001971437203324304,0.03864896656024198,0.00019629028431367528,0.00019741463347448224,1.1217391304347826,1.0,0.5460980336733071,"GCA_013289985.1 Betaproteobacteria bacterium, ASM1328998v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,59088e25aed45564f8106db293acfd83,0.038817005545286505,230000,7,15591000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
173000,0.00014764443124463402,0.035867697594501716,0.00014252381513210337,0.00016221667556817922,1.2694610778443114,1.0,0.7848652636077098,"GCA_903970625.1 Solirubrobacterales bacterium 70-9, MOSS_genome_mining.3",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,11279e00b5eeaf967f146192e2898683,0.03715635738831615,167000,8,15424000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
145000,0.00012374822271949093,0.02293940832146812,0.00012374822271949093,0.00011707146868835575,1.0551724137931036,1.0,0.25675186853774185,"GCA_003163855.1 Bryobacterales bacterium, 20120700_S1S",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,fc3c66ad688d9dc8e9278090deab8cf2,0.02293940832146812,145000,9,15279000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
