Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
gb|EU408351.1|+|16572-17454|ARO:3002511|LRA-12	LRA-12	3002511	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	2	0	2	23.02	203	47.50	*	882	subclass B3 LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|Z50108.1|+|238-1768|ARO:3003026|fusH	fusH	3003026	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces lividans	1	0	1	3.73	57	30.00	*	1530	fusidic acid inactivation enzyme	fusidane antibiotic	antibiotic inactivation
gb|EU408350.1|-|11679-12585|ARO:3002488|LRA-9	LRA-9	3002488	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	22	0	22	60.60	549	18.23	*	906	subclass B3 LRA beta-lactamase	cephalosporin; penam	antibiotic inactivation
gb|U00096.1|+|3660413-3663527|ARO:3000796|mdtF	mdtF	3000796	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	9	0	9	3.60	112	15.11	*	3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
gb|X63451.1|+|0-1653|ARO:3002828|srmB	srmB	3002828	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces ambofaciens	197	0	197	9.86	163	25.31	*	1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
gb|JX028276.1|-|35585-36821|ARO:3002883|rgt1438	rgt1438	3002883	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces sp.	122	0	122	45.39	561	47.97	*	1236	rifampin glycosyltransferase	rifamycin antibiotic	antibiotic inactivation
gb|CT025801.2|+|0-3180|ARO:3000777|adeF	adeF	3000777	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	6	0	6	1.70	54	52.83	*	3180	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux
gb|EU523697.1|+|686-1973|ARO:3000572|tet(42)	tet(42)	3000572	protein homolog model	CARD	CARD curation	no data	no data	Micrococcus sp.	4	0	4	4.04	52	52.00	*	1287	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
gb|X59968.1|+|507-1686|ARO:3002690|Sliv_cmlR	Streptomyces lividans cmlR	3002690	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces lividans	5	0	5	36.64	432	37.80	*	1179	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
gb|Y10693.2|+|0-828|ARO:3001416|OXA-21	OXA-21	3001416	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	1	0	1	5.68	47	15.00	*	828	OXA beta-lactamase	carbapenem; cephalosporin; penam	antibiotic inactivation
