intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
302000,0.0002577376776640432,0.0009575112317335709,0.0002577376776640432,0.00036881338501821876,1.596026490066225,1.0,1.6485145147248603,"GCA_009731375.1 Paulinella micropora strain=MYN1, PmicroMYN1_1.0",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,55b86d1a457576dc7b722a939775d0b6,0.0009575112317335709,302000,0,1462000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
242000,0.00020653151653873662,0.0027752081406105457,0.0001971437203324304,0.00035963130904266143,2.034632034632035,1.0,4.623356356458003,"GCA_015143705.1 Dinobryon sp. LO226KS strain=LO226KS, ASM1514370v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,c13b7f1198cf0699372db4b77cfdef19,0.002907360909211048,231000,1,1231000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
164000,0.00013996350707583803,0.0004411913391689058,0.00012289478670073583,0.00016068632957225298,1.4583333333333333,1.0,0.9637527921850314,"GCA_003640505.1 Plasmopara halstedii, ASM364050v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,5905a6d59272b14945d51be7ae4ba091,0.0005024679140534761,144000,2,1087000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
143000,0.00012204135068198072,0.0009304003569699328,8.363672983800077e-05,0.00011554112269242954,1.5408163265306123,1.0,1.5463476874059368,"GCA_015148605.1 Chromulina nebulosa strain=CCAC 4401 B, ASM1514860v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,9a3d8d75b256ba95b35df43535189419,0.0013576250106806164,98000,3,989000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
163000,0.00013911007105708292,4.2681625560196336e-05,4.779241705028616e-05,4.82058988716759e-05,1.125,1.0,0.38090587513752755,"GCA_905237085.1 Polarella glacialis, Pgla_CCMP1383",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,0a11c405ad29bbf73087b69d861026b6,0.0001242340172555715,56000,4,933000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
85000,7.254206159418434e-05,0.0010544153643381661,4.779241705028616e-05,5.738797484723321e-05,1.3392857142857142,1.0,0.6886006958806729,"GCA_015148585.1 Pedospumella encystans strain=1006, ASM1514858v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,d4bdf10eef012818df1c6778b7a57478,0.0016004518922990022,56000,5,877000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
118000,0.00010070545021310297,9.20239262208174e-05,3.925805686273506e-05,4.284968788593413e-05,1.2173913043478262,1.0,0.6888251964241243,"GCA_004523865.1 Nephromyces sp. ex Molgula occidentalis, ASM452386v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,ad6fc4de5b99575aa255510de485b129,0.000236061375957749,46000,6,831000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
110000,9.387796206306209e-05,0.0005496976662835441,3.755118482522484e-05,5.2031763861491445e-05,1.5454545454545454,1.0,1.587659017870271,"GCA_015144965.1 Chromulinospumella sphaerica strain=JBC27, ASM1514496v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,792e49b1775670b0fb3f8a44fcc7d7a1,0.0013742441657088602,44000,7,787000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
76000,6.486113742538836e-05,0.00023168477938759785,3.669774880646973e-05,4.744072587371279e-05,1.441860465116279,1.0,0.9717480193384269,"GCA_003640485.1 Plasmopara obducens strain=H12-14-11, ASM364048v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,51d003d9989562ae241ddbed6f67cca3,0.00040948937752226597,43000,8,744000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
76000,6.486113742538836e-05,0.0005644057512946057,3.4137440750204395e-05,4.2084514887971024e-05,1.375,1.0,0.9404121436902014,"GCA_000826325.1 Acanthamoeba palestinensis, Acanthamoeba palestinensis",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-protozoa-k31.zip,cb71f4c616eba4168bcef6bc949d1002,0.0010723709274597507,40000,9,704000,S1TSphfallax_3_FD/S1TSphfallax_3_FD_187694.assembled.fna,S1TSphfallax_3_assembly,419a4960,1171734000
