intersect_bp,jaccard,max_containment,f_query_match,f_match_query,match_filename,match_name,match_md5,match_bp,query_filename,query_name,query_md5,query_bp
8240000,0.0052677001758031005,0.08813776874532035,0.08813776874532035,0.00557133198106829,GCA_000382605.1.fna,,f8d0f4c8,93490000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
80000,5.393852356776364e-05,0.018823529411764704,0.018823529411764704,5.409060175794456e-05,GCA_002928325.1.fna,,a79ac191,4250000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
50000,3.368954411308906e-05,0.009633911368015413,0.009633911368015413,3.380662609871535e-05,GCA_002928355.1.fna,,faaad7ff,5190000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
40000,2.6946914578280787e-05,0.007352941176470588,0.007352941176470588,2.704530087897228e-05,GCA_002928365.1.fna,,491c7c35,5440000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
50000,3.368364322285098e-05,0.009174311926605505,0.009174311926605505,3.380662609871535e-05,GCA_011752515.1.fna,,5ff02c7c,5450000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
10000,6.7374094660603e-06,0.0019011406844106464,0.0019011406844106464,6.76132521974307e-06,GCA_011752525.1.fna,,62b7c670,5260000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
20000,1.346166790065289e-05,0.002976190476190476,0.002976190476190476,1.352265043948614e-05,GCA_011752535.1.fna,,5618546d,6720000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
20000,1.3462211572117067e-05,0.003003003003003003,0.003003003003003003,1.352265043948614e-05,GCA_011752565.1.fna,,b82c8899,6660000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
50000,3.368954411308906e-05,0.009633911368015413,0.009633911368015413,3.380662609871535e-05,GCA_011752575.1.fna,,faaad7ff,5190000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
10000,6.7366832613631005e-06,0.0018450184501845018,0.0018450184501845018,6.76132521974307e-06,GCA_011752615.1.fna,,75037606,5420000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
30000,2.0206646639634663e-05,0.005272407732864675,0.005272407732864675,2.0283975659229208e-05,GCA_011752625.1.fna,,efd871c1,5690000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
30000,2.021386266701704e-05,0.005813953488372093,0.005813953488372093,2.0283975659229208e-05,GCA_011752635.1.fna,,dea459ea,5160000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
60000,4.0458257193140975e-05,0.014742014742014743,0.014742014742014743,4.0567951318458416e-05,GCA_011752675.1.fna,,68400367,4070000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
30000,2.0206238339316625e-05,0.005244755244755245,0.005244755244755245,2.0283975659229208e-05,GCA_011752685.1.fna,,5effad17,5720000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
1160000,0.0007819767833789486,0.2078853046594982,0.2078853046594982,0.000784313725490196,GCA_011752715.1.fna,,3f9535a0,5580000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
1160000,0.0007819767833789486,0.2078853046594982,0.2078853046594982,0.000784313725490196,GCA_011752735.1.fna,,3f9535a0,5580000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
2110000,0.0014239150239906061,0.4271255060728745,0.4271255060728745,0.0014266396213657878,GCA_011752745.1.fna,,e9ee7271,4940000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
1210000,0.0008159026850615635,0.23135755258126195,0.23135755258126195,0.0008181203515889114,GCA_011752755.1.fna,,c2868438,5230000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
110000,7.413547921847726e-05,0.022540983606557378,0.022540983606557378,7.437457741717377e-05,GCA_011752765.1.fna,,322a110d,4880000,11254.5.198435.TTAGGC.fastq.gz.abundtrim,,5d2a8d52,1479000000
