intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
33620000,0.023370917736037927,0.2613291877186164,0.023370917736037927,0.023370917736037927,,,,GCA_022457215.1.fna,input_sig/GCA_022457215.1.fna.k51.sig,61a8610e5b1824da60ba94cea13b0942,0.2613291877186164,33620000,0,25710000,11231.7.197622.GTTTCG.fastq.gz.abundtrim,,7f51c214,1438540000
3780000,0.0026276641594950435,0.8094218415417559,0.0026276641594950435,0.0026276641594950435,,,,GCA_011752845.1.fna,input_sig/GCA_011752845.1.fna.k51.sig,04760ff86fa214b2a2b4772ac5a1949f,0.8094218415417559,3780000,1,21930000,11231.7.197622.GTTTCG.fastq.gz.abundtrim,,7f51c214,1438540000
3560000,0.002474731324815438,0.8376470588235294,0.002474731324815438,0.002474731324815438,,,,GCA_002928325.1.fna,input_sig/GCA_002928325.1.fna.k51.sig,a79ac191490384b6201aa780a4f57d89,0.8376470588235294,3560000,2,18370000,11231.7.197622.GTTTCG.fastq.gz.abundtrim,,7f51c214,1438540000
3460000,0.0024052163999610716,0.7119341563786008,0.0024052163999610716,0.0024052163999610716,,,,GCF_011044475.1.fna,input_sig/GCF_011044475.1.fna.k51.sig,0a3a4ba8cd342941787f000be36b100e,0.7119341563786008,3460000,3,14910000,11231.7.197622.GTTTCG.fastq.gz.abundtrim,,7f51c214,1438540000
2610000,0.0018143395386989586,0.45104895104895104,0.0017934850612426488,0.0017934850612426488,,,,GCA_011752685.1.fna,input_sig/GCA_011752685.1.fna.k51.sig,5effad1723a84a98ceb21c3cc914f5a7,0.4562937062937063,2580000,4,12330000,11231.7.197622.GTTTCG.fastq.gz.abundtrim,,7f51c214,1438540000
11610000,0.00807068277559192,0.023852818483260242,0.001550182824252367,0.001550182824252367,,,,GCA_000382605.1.fna,input_sig/GCA_000382605.1.fna.k51.sig,f8d0f4c8aeaf1197cd6a346e63a4192c,0.12418440474917103,2230000,5,10100000,11231.7.197622.GTTTCG.fastq.gz.abundtrim,,7f51c214,1438540000
2150000,0.001494570884368874,0.38517179023508136,0.0014806678993980007,0.0014806678993980007,,,,GCF_009648975.1.fna,input_sig/GCF_009648975.1.fna.k51.sig,23562a2acc2d90fe535110e38d33904a,0.3887884267631103,2130000,6,7970000,11231.7.197622.GTTTCG.fastq.gz.abundtrim,,7f51c214,1438540000
2180000,0.001515425361825184,0.3889908256880734,0.001473716406912564,0.001473716406912564,,,,GCA_011752515.1.fna,input_sig/GCA_011752515.1.fna.k51.sig,5ff02c7c8a39597507e8ab1bf06be035,0.4,2120000,7,5850000,11231.7.197622.GTTTCG.fastq.gz.abundtrim,,7f51c214,1438540000
1560000,0.0010844328277281132,0.43575418994413406,0.0010844328277281132,0.0010844328277281132,,,,GCA_011753235.1.fna,input_sig/GCA_011753235.1.fna.k51.sig,f7337aa93ac767847d1e1e7f22ac5c16,0.43575418994413406,1560000,8,4290000,11231.7.197622.GTTTCG.fastq.gz.abundtrim,,7f51c214,1438540000
1530000,0.0010635783502718035,0.22847100175746923,0.000903694023106761,0.000903694023106761,,,,GCA_011752625.1.fna,input_sig/GCA_011752625.1.fna.k51.sig,efd871c192ddb1665cf4f4d8d38070f1,0.2688927943760984,1300000,9,2990000,11231.7.197622.GTTTCG.fastq.gz.abundtrim,,7f51c214,1438540000
