intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
1452000,0.0007802671931499849,0.2817229336437718,0.0007802671931499849,0.0009330613411731073,1.4566115702479339,1.0,1.2106809233477418,"GCA_013289875.1 Acidobacteria bacterium, ASM1328987v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,5ad4983606b855e1718fdf08e8329e76,0.2817229336437718,1452000,0,69022000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
1138000,0.0006115317257608009,0.2275737507525587,0.0006093822293609386,0.0007345376515618079,1.4682539682539681,1.0,0.8557086767003105,"GCA_013289715.1 Acidobacteria bacterium, ASM1328971v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,64ded85ca70a5254e8eef9a1ff7ad799,0.22837648003210917,1134000,1,67888000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
1120000,0.0006018589919614208,0.15213257267046998,0.0006018589919614208,0.0014898099995941294,3.0151785714285713,2.0,3.0889697144329,"GCA_003136255.1 Actinobacteria bacterium, 20111000_P1S",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,d5a6baf4801b174ce2b4ebd8bb298cb1,0.15213257267046998,1120000,2,66768000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
1167000,0.0006271155746598019,0.17062567924235367,0.0005905741358621442,0.000697038732413007,1.437670609645132,1.0,1.1264381917274684,"GCA_013287185.1 Acidobacteria bacterium, ASM1328718v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,26d87bc7ff783d2fc7fe4a8db57a6c3c,0.18118304611085234,1099000,3,65669000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
1012000,0.000543822589165141,0.22384428223844283,0.000543822589165141,0.0006904212760926303,1.5464426877470356,1.0,1.072849072372624,"GCA_003131995.1 Rhizobiales bacterium, 20120500_P31",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,f7e883920626102744247f538c431a82,0.22384428223844283,1012000,4,64657000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
932000,0.0005008326611678966,0.10633540372670808,0.0004599922295705145,0.0008726219067803339,2.310747663551402,1.0,2.6846180747648916,"GCA_003168295.1 Actinobacteria bacterium, 20110700_P1S",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,534fd927aebe6f237c90b1c711379652,0.11577639751552796,856000,5,63801000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
831000,0.00044655787707137564,0.3353510895883777,0.00044655787707137564,0.0005717482260805424,1.55956678700361,1.0,1.2758996467575554,"GCA_013289905.1 Alphaproteobacteria bacterium, ASM1328990v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,644d4d6dc1b396491f0663d61a678c73,0.3353510895883777,831000,6,62970000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
726000,0.00039013359657499245,0.11009870918754745,0.0003895962224750269,0.0004693982349920502,1.4675862068965517,1.0,0.8761107439541073,"GCA_903970195.1 Betaproteobacteria bacterium, BOG_172_sub",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,35892df898a48f830b368bea2cea89be,0.110250569476082,725000,7,62245000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
699000,0.0003756244958759225,0.1950741673663588,0.0003745497476759914,0.000465868924954516,1.51506456241033,1.0,0.860492520285491,"GCA_013285605.1 Acidobacteria bacterium, ASM1328560v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,84ba82ce4464031f4887b5ca690f1726,0.19563392107472713,697000,8,61548000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
691000,0.00037132550307619804,0.10734375,0.00036917600667633584,0.00046145728740759823,1.522561863173217,1.0,1.2300224794816959,"GCA_013289955.1 Acidobacteria bacterium, ASM1328995v1",/home/gotting/projects/fungal_associations_metagenomics/db/sourmash/genbank-2022.03-bacteria-k31.sbt.zip,3eb012f0737452d644bfc3d8feb28fcb,0.10796875,687000,9,60861000,MicForSoiBWH17_O_FD/MicForSoiBWH17_O_FD_7149.1.62787.CAACTA.fastq.gz,MicForSoiBWH17_O_read,b2a2f162,1860901000
