intersect_bp,jaccard,max_containment,f_query_match,f_match_query,match_filename,match_name,match_md5,match_bp,query_filename,query_name,query_md5,query_bp
180000,9.719222462203023e-05,0.0019253396085142796,0.0019253396085142796,0.00010234890742541323,GCA_000382605.1.fna,,f8d0f4c8,93490000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
140000,7.941910596777853e-05,0.03294117647058824,0.03294117647058824,7.960470577532141e-05,GCA_002928325.1.fna,,a79ac191,4250000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
30000,1.700824900076537e-05,0.005780346820809248,0.005780346820809248,1.7058151237568874e-05,GCA_002928355.1.fna,,faaad7ff,5190000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
30000,1.7005838671277137e-05,0.0055147058823529415,0.0055147058823529415,1.7058151237568874e-05,GCA_002928365.1.fna,,491c7c35,5440000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
30000,1.7005742272307283e-05,0.005504587155963303,0.005504587155963303,1.7058151237568874e-05,GCA_011752515.1.fna,,5ff02c7c,5450000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
10000,5.669127067814098e-06,0.0019011406844106464,0.0019011406844106464,5.686050412522957e-06,GCA_011752525.1.fna,,62b7c670,5260000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
30000,1.700824900076537e-05,0.005780346820809248,0.005780346820809248,1.7058151237568874e-05,GCA_011752575.1.fna,,faaad7ff,5190000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
10000,5.668612890425713e-06,0.0018450184501845018,0.0018450184501845018,5.686050412522957e-06,GCA_011752615.1.fna,,75037606,5420000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
20000,1.1335555102133351e-05,0.0035149384885764497,0.0035149384885764497,1.1372100825045914e-05,GCA_011752625.1.fna,,efd871c1,5690000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
20000,1.133896123776101e-05,0.003875968992248062,0.003875968992248062,1.1372100825045914e-05,GCA_011752635.1.fna,,dea459ea,5160000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
110000,6.240603636569938e-05,0.02702702702702703,0.02702702702702703,6.254655453775253e-05,GCA_011752675.1.fna,,68400367,4070000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
10000,5.667649059170256e-06,0.0017482517482517483,0.0017482517482517483,5.686050412522957e-06,GCA_011752685.1.fna,,5effad17,5720000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
20000,1.1336261867649143e-05,0.0035842293906810036,0.0035842293906810036,1.1372100825045914e-05,GCA_011752715.1.fna,,3f9535a0,5580000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
20000,1.1336261867649143e-05,0.0035842293906810036,0.0035842293906810036,1.1372100825045914e-05,GCA_011752735.1.fna,,3f9535a0,5580000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
30000,1.7010660013608526e-05,0.006072874493927126,0.006072874493927126,1.7058151237568874e-05,GCA_011752745.1.fna,,e9ee7271,4940000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
30000,1.7007863302133355e-05,0.0057361376673040155,0.0057361376673040155,1.7058151237568874e-05,GCA_011752755.1.fna,,c2868438,5230000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
20000,1.1340761532136884e-05,0.004098360655737705,0.004098360655737705,1.1372100825045914e-05,GCA_011752765.1.fna,,322a110d,4880000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
220000,0.0001247773858003335,0.047109207708779445,0.047109207708779445,0.00012509310907550506,GCA_011752845.1.fna,,04760ff8,4670000,11231.6.197619.GTGGCC.fastq.gz.abundtrim,,8759887c,1758690000
